Hereby|a formal phrase, action or law|I hereby sentence you to life in prison after all the charges against you have been proven true.|
Hilarious|very funny; causing great merriment and laughter|The baby finds it hilarious whenever his mother sings to him in a funny voice.|
Hilarious|incredibly funny|We laughed nonstop while watching the hilarious sitcom.|
Hilarity|loud laughter or fun|The hilarity of the comedy show was interrupted by a brawl in the audience.|
Hinder|to hold back or to make difficult to accomplish|Tight, restrictive clothing will work to hinder your athletic performance.|
Hindering|holding back; making it difficult to accomplish something|Jared’s large work truck was hindering him from going through the drive-thru.|
Hindering|to slow down the progress of something|Isn’t it suspicious how the widow is hindering the investigation of her husband’s death?|
Hindrance|a person or thing that hinders|My youngest sister is always more of a hindrance than a help when she tries to assist me with a task.|
Hindsight|knowledge that is gained after an event has happened|In hindsight, I wished I had taken my friend’s key when I discovered she had wrecked her car on the way home.|
Hinduism|the top religion of India which supports a belief in numerous gods and the idea a person returns to life in a different form after dying|In India, my family and I follow the religious practices of Hinduism by praying to many gods.|
Hint|something that suggests something indirectly or secretly|I could not tell my brother flat out that my mother was angry, so I had to use my facial expression as hint for him to be quiet.|
Hinterland|the beyond a major town or port|As the sun set, animals moved away from the coast and into the distant hinterland.|
Hiraeth|wanting to go back to a home that was never home|Cindy’s hiraeth to return to her childhood was strong because she wanted to change a big mistake that she made.|
Hirsute|hairy|The hirsute teenager was warned that he would be expelled from school if he did not take a haircut and pay attention to his grooming.|
Historic|old and related to the past or history|The historic home has been around since the pre-Civil War ear.|
Historical|based or centered around history|The historical book was based on things that happened in the early 19th century.|
Histrionic|over the top with emotional responses|When John does not take his psychiatric medicine, he might have a histrionic outburst about the smallest of things.|
Hitch|to fasten or hook|The boater needed to hitch his sailboat to his pick-up truck so that he could tow it to the lake.|
Hitherto|up until this time or point|Hitherto Jim got married and became a devoted spouse, his greatest pleasure had been picking up women.|
Hoard|to collect a large amount of something|Rob loves to hoard money because he is a penny-pincher.|
Hoard|to stockpile or store things excessively|Because he was starved when he was little, the abused child tries to hoard secret piles of food in his bedroom.|
Hoarding|to gather, collect and store an overabundance of food or other items to be used in the future|After finding out that the homeowner was hoarding lots of personal items, no one could walk around the mess or stand the horrible odor.|
Hoarse|afflicted by a dry, quite harsh voice|Jessica was unable to sing with the choir because her voice sounded hoarse.|
Hoary|incredibly old|The hoary house was built in the eighteenth century and is now part of a museum.|
Hoax|a ploy or story used to trick a person or group|The woman used a pregnancy hoax to trick her boyfriend into marrying her.|
Hobble|to walk awkwardly because of pain or injury|After falling and hurting her ankle badly, the volleyball player had to hobble over to a bench.|
Hobby|a fun event or exercise done in someone’s free time|Shopping has become a hobby for many women and girls, but it seems to be a very expensive way of spending their time.|
Hobnob|to interact with those from another social class|Middle class donors hobnob with celebrities at the charity gala.|
Hodgepodge|a concoction or assortment of various things|After many people dug through the different appetizers, the large platter was just a hodgepodge of different foods scattered all over the place.|
Hogwash|nonsense; gibberish|Marty told everyone he knew that he had been abducted by aliens, but every body thought his silly talk was hogwash.|
Hoist|to lift up or elevate|We grabbed the flag and began to hoist it up the flagpole.|
Hoity-toity|having an arrogant and vain attitude|When the underdressed girl entered the hoity-toity boutique, the workers refused to wait on her because they thought she didn’t have enough money to buy their outfits.|
Holiday|a special day of celebration|A holiday gathering is being planned so that we can celebrate Christmas as a family.|
Holistic|focused on the whole aspect of something and not just one of its individual parts|The holistic treatment prescribed by my doctor includes herbs and vitamins that will improve the overall functioning of my body.|
Hollow|empty on the inside|The empty inside of the hollow tree is the perfect home for squirrels and other forest animals.|
Holocaust|the extermination of a large group of individuals or other living things by deliberate or natural means|The forest fire was a holocaust that destroyed thousands of trees.|
Hologram|a picture taken by a camera using light and not a lens to show a 3-dimensional item|Since the photographer wanted the photograph to capture every facet of the tree, he took a hologram with a special camera.|
Homage|an act performed to show respect|As a sign of homage for the late president, government flags will be flown half-mast today.|
Homebody|a person who prefers staying at home over going to other places|Although I enjoy going out on dates sometimes, I’m really a homebody who would rather be at the house.|
Homebrew|beer or some other type of alcoholic drink made at home|During the time that alcohol was outlawed, the bootleggers made homebrew and sold it out of their houses.|
Homely|unattractive and plain in appearance|The homely girl’s classmates thought she needed a makeover to make her more attractive.|
Homeostasis|the tendency of the body to seek and maintain a condition of balance even when things change externally|Homeostasis keeps the body’s temperature regulated at an average temperature of 98.6 degrees.|
Homestead|a house together with surrounding land and buildings, especially on a farm|They relocated to a new homestead, with more farmland and a larger house.|
Homework|schoolwork that a student is required to do at home|Don’t sign up for Mr. Martin’s class unless you want several hours of homework everyday.|
Homily|a brief speech on a moral or religious subject|People around the world watched as the pope delivered a homily on the subject of kindness.|
Homogeneity|the state of being all the same or uniform in look/action|Some parents were worried about the homogeneity of the students’ uniforms and preferred their children to have a unique wardrobe.|
Homogenous|of the same kind or nature|As races have mixed, the world’s population has become more and more homogenous.|
Homologous|being alike in function or structure|While rabbit and bird extremities are shaped in a different manner, the two animals do have bones which are alike or homologous.|
Homonym|a word that shares either the same spelling or pronunciation of another word while having a different significance|While a homonym may be pronounced exactly like another word, it will have a different meaning from that term.|
Homophobia|dislike or prejudice against those who like the same sex (homosexuals)|Some Christians use the Bible to defend their homophobia and mistreatment of gay people.|
Homophone|A word that is pronounced the same as another word but has a different meaning or spelling (ex. “sea” and “see”.) |The English teacher that the word “tea” is a homophone of “tee” and although you might drink the first, you wouldn’t sip on the other.|
Homozygous|matching in kind, often related to genetics |Because Will carries two matching alleles for blue eyes, he is homozygous for that physical characteristic.|
Hone|to perfect a talent or skill|The tennis player practices several hours a day to hone her skills.|
Honorable|deserving of honor and praise because one is honest and full of integrity|The honorable judge was known for his honest and fair treatment of everyone who entered his courtroom.|
Honorarium|a small amount of money paid to someone for a service for which no official charge is made|Each coach was paid an honorarium to cover their expenses and costs while away at games.|
Honorary|a title or acclaim without having to go through the normal route to achieve it|After his untimely death, the student was given an honorary degree.|
Honorific|giving honor or respect|The keynote speaker gave an honorific speech in which he expressed the respect he has for the president.|
Hoodwink|to trick or deceive someone|In an attempt to hoodwink the woman into opening the front door, the rapist pretended to be a police officer.|
Hoof|the protective hard covering on the foot of some animals|Dr. Hayman, our local veterinarian, took a look at the goat’s injured left hoof causing it to hold up his left back leg and limp around.|
Hooligan|a young person, especially one who is part of a gang, who is always getting into trouble|The hooligan is part of a teenage gang that runs around the city destroying property.|
Hoopla|excitement or commotion surrounding a situation|Embarrassed by all of the hoopla, the graduate turned red as her parents yelled her name from their seats.|
Hop|to jump lightly using one’s feet|With a little hop, my puppy leaped up onto my bed.|
Hope|a feeling of optimistic desire for something to happen|Even though it looked like the team would lose, the fan held onto hope that they might make a comeback.|
Hopeful|believing a positive result will occur|Danielle is hopeful she’ll get a good job after she graduates from college.|
Hopeless|without hope; having no expectation of good|Sitting in jail, Roy felt that his situation was hopeless without the slightest possibility that he would ever see the light of day.|
Horde|a sizable group of people|The store owner was unprepared for the horde of consumers who rushed into his store.|
Horizon|the distant line separating the sky from the earth|Watching the large sunset past the horizon created a sense of peace and calm for me.|
Horizontal|flat/left-and-right|After gaining weight, the woman felt that wearing clothes with horizontal stripes was off limits.|
Horoscope|a forecast of a person’s future based on the alignment of stars and planets during their birth|I’ve personally never put any stock in horoscopes, as I don’t see how the positions of celestial bodies could have anything to do with my future.|
Horrendous|horrific; terrible|The villagers were shocked that a boy so young could commit such a horrendous crime with no regard for human life.|
Horrid|causing horror or dread|I was jolted out of my sleep because of a horrid dream that left me sweating profusely.|
Horrified|to be stunned for a scared or angry reason|As there were several police cars at my house as I drove up, I was horrified to learn that my father was killed by an intruder.|
Horrify|to fill someone with horror or shock them|Many young boys like to horrify their female counterparts by doing gross things, such as eating dirt or touching worms or other silly shenanigans.|
Horripilation|the raised bumps on a person’s skin usually caused by something cold or alarming|Horripilation occurred on my arms when an eerie noise could be heard in the empty hallway of the haunted house.|
Hortatory|supportive; encouraging|The coach gave his players a hortatory speech to inspire them to play well.|
Horticulture|the science of caring for gardens; gardening|Bob enrolled in a class that teaches horticulture so that he can cultivate his garden.|
Hospice|a residential home that offers care for the seriously ill|In the mountains, a group of nuns operate a hospice where AIDS patients can die with dignity.|
Hospitable|welcoming and warm to visitors|The hospitable host of the bed and breakfast opens the front door for each of her guests.|
Host|a person who receives or entertains guests|The host met the restaurant diners at the door and seated them at the nearest table.|
Hostile|unfriendly; menacing|When the police officer pointed the gun at me, he looked quite hostile.|
Hotel|a place where travelers pay to sleep overnight|While traveling overnight, the Deans became tired and decided to rent a room at an interstate hotel.|
Hound|to constantly chase or bother someone because you want to get something from them|The bill collector continued to hound Javi by constantly calling him about his debt.|
Hour|a period of time that equals 60 minutes|In an hour the clock hand will move from the number 11 to the number 12.|
House|a home or other building where a person lives|The contractor built the family a house with three bedrooms and three bathrooms.|
Household|all of the people who live in the same home|All of the people in my household have brown eyes except my son and me.|
Hovel|a small house that is usually in a rundown state|The homeless man lived in the abandoned hovel near the bridge.|
Hover|to remain near a place or individual|Because I was sick a lot when I was a child, my mother would always hover over me.|
Howbeit|nonetheless; even though|Howbeit I didn’t study last night I still believe I’ll do well on my test today.|
Howitzer|a smaller tank with many tires and a long barreled angled gun protruding out usually used in battle|As the battle ensued, a howitzer crawled by pointing its deadly artillery in the direction of the enemy in order to completely annihilate the snipers in the house.|
Howling|a loud, animalistic repetition of sound|The howling of the wolves on the breeze sent chills up her spine.|
Hub|the central part of an activity or region|The software company hopes to be a technology hub that everybody goes to for their tech needs.|
Hubbub|a loud disturbance coming from a number of sources |If you don’t like the hubbub of noisy drunks and loud televisions, avoid the pub around the corner.|
Hubris|an excess of confidence; having too much pride and personal worth|The leader of the cult had so much hubris he believed the government would never be able to capture him.|
Huddle|to crowd together, typically for warmth or privacy|A football team will often huddle together so they can discuss their game plan without the other team seeing or hearing it.|
Hue|a shade of color|Placing the cloth over the lamp produced a blue hue in our bedroom.|
Huff|to blow air out loudly and with great force|The Big Bad Wolf tried to blow the pig’s house down with a huff and a puff.|
Huge|very large in size|A huge elephant appeared in the grassland and frightened the other animals with its massive size.|
Hulking|very large or heavy|A hulking figure hid in the shadows, scaring passersby with his large frame.|
Hull|the main part of a ship or boat|The hull of a flat bottom boat is shaped differently than the body of other vessels.|
Hullabaloo|an uproar or fuss|After they won the national championship, there was a hullabaloo throughout the arena.|
Humane|feeling or displaying worry about the misery of another |The newspaper article about the lack of humane treatment given to inmates led to the prison warden’s resignation.|
Humanism|the belief individuals are good by nature and can solve all problems through reason |Because of my trust in humanism, I believe someone will return my lost wallet to me.|
Humanitarian|concerned with people's welfare|He was a humanitarian whose focus was eliminating homelessness.|
Humanity|the attribute of being kind |A serial killer normally does not reveal any sign of humanity to his victims.|
Humble|not thinking of yourself as better than other people, or of low social, administrative, or political rank|After twenty years as a humble worker, he finally got the opportunity to lead.|
Humbly|modestly and simply|My sister humbly accepted blame and apologized quickly because she knew she did wrong.|
Humbug|deceptive actions or words|I took the playboy’s words of flattery as the humbug they were.|
Humdrum|without excitement or variety; boring|An exciting vacation would give me time away from my humdrum job.|
Humid|containing sensible moisture (usually describing air or atmosphere)|Summers on the east coast of the United States are much more humid than summers on the west coast.|
Humiliate|to harm an individual’s self-respect or dignity|My rival tried to humiliate me in front of the entire school.|
Humiliation|the condition that occurs when one is made to feel embarrassed or like an idiot|Sarah endured a great deal of humiliation when her peers made fun of her at the prom.|
Humility|the state in which one does not view himself as being better than others|During her speech, Jennifer showed her humility by acknowledging her film crew as the team who deserved the trophy.|
Hummock|a plump mound of dirt|At night, I rest my head on the hummock of dirt in the backyard and stare at the stars.|
Humorous|funny; amusing|The humorous video went viral after a few million-people found the dancing cat to be funny enough to share.|
Hunch|a feeling or suspicion based on intuition and not necessarily facts|The detective had a hunch that the killer was a woman, but had no real evidence to prove his guess.|
Hunch|a feeling or guess based on intuition and not fact|Allie had a hunch that C was the answer, so she guessed on the test.|
Hungrily|in a way that expresses a strong need for something, usually food|The dog stared hungrily as I removed its food from the cupboard.|
Hunky-dory|absolutely pleased and content|Everything was hunky-dory at the wedding with the bride, groom, families and friends watching the ceremony on their perfect day.|
Hurdle|an obstacle or difficulty|The businessman had a great idea for a new restaurant, but lack of money was a hurdle that stood in his way.|
Hurl|to fling or toss something powerfully|When Sarah teased her little brother, he took the book in his hand and decided to hurl it at her breaking her nose.|
Hurly-burly|very busy and noisy|Wanting a much simpler life, the family left the hurly-burly city and moved to a small cottage on the lake with little commotion.|
Hurricane|a large tropical storm with heavy rain and strong winds that spin in a circular manner|Weather forecasters are tracking a hurricane with 75 mile-per-hour winds moving slowly towards the coast.|
Hurried|rushed; sped|Rushing through the hallway, the tardy students hurried past on another to get to class.|
Hurry|to rush or move quickly|On Christmas Eve, busy shoppers rush around the mall looking like last-minute gifts.|
Hurt|to injure something|Don was unable to finish his final football game because he hurt his knee.|
Hurting|being in physical or emotional pain|Even though his knee was hurting, the runner pushed through the pain and finished his meet.|
Hurtle|move at a rapid pace in a wild manner|The force of the truck caused the car to hurtle over the bridge.|
Hurtled|moved at great speed|When the team’s fastest player hurtled down the field, the crowd went wild.|
Husbandry|the breeding and/or cultivation of animals and/or crops |Because we engage in husbandry and produce our own food, we do not have huge grocery store bills.|
Husky|having an appearance that is strong or muscular|The husky man showed off his massive muscles in the mirror as he exercised at the gym.|
Hussar|a soldier from Hungary known for wearing vibrant attire|It was disastrous for the Hungarian leaders to require each Hussar in their unit to wear a bright red jacket as part of his uniform when fighting in battle.|
Hustle|to hurry or rush|The hustle and bustle of the city during Christmastime makes it difficult to travel.|
Hut|a one room, simple shelter made out of natural elements|Building a small hut, the stranded sailors hoped their makeshift shelter would hold up.|
Hybrid|made of mixed components |The hybrid fruit is a product of an orange and a tangerine.|
Hydraulic|activated, transported, or influenced by water |The workers used hydraulic power to pressure wash the house.|
Hydroplane|to skim the surface of water while moving at high speed|As the rain poured, the trucker slowed his speed so he could lesson his chance of making the eighteen wheeler hydroplane.|
Hydrosphere|waters of the Earth|As important parts of the hydrosphere, lakes and rivers are important sources of freshwater.|
Hygiene|practices or conditions that promote health through cleanliness|A major part of your personal hygiene is brushing your teeth every day, which both keeps your teeth healthy and makes you more appealing to others.|
Hype|to promote or publicize something|As a way to hype up his popularity, the high school student spread a rumor that he was the best kisser.|
Hyperactive|extremely or unusually overactive|The hyperactive toddler ran around the daycare smashing toys and knocking things off of the wall.|
Hyperbole|an extravagant exaggeration|The main element of the product’s commercial was a hyperbole describing rapid weight loss.|
Hyperbolic|related to language that is extremely exaggerated|While Jim fought only one attacker during the mugging attempt, he changed his story into a hyperbolic tale by adding a few other attackers.|
Hypercritical|overcritical; always finding fault|The girl’s father is hypercritical, always finding fault in everything she does.|
Hypertonic|a solution that contains more dissolved salt or electrolytes than is found in normal cells and blood|The hypertonic solution was so salty that it could be safely ingested.|
Hyperventilate|to breathe at a very rapid rate|Erratic breathing while exercising can lead you to hyperventilate.|
Hyphenate|to divide by a small line or dash|Some people wrongfully hyphenate words like “un-covered” and “jelly-fish” because it doesn’t need a hyphen in them.|
Hypnosis|a trancelike state of altered consciousness in which a person is more susceptible to suggestions|Placing the patient into a state of hypnosis, the doctor was able to offer suggestions that would help him quit smoking.|
Hypnotic|tending to induce sleep|If I take too high a dosage of the medication, its hypnotic affect will cause me to drift into a deep sleep.|
Hypnotic|mesmerizing; spell-binding|After being placed in a trance, the sound of a spoon clicking against the teacup sent the victims into a hypnotic state.|
Hypnotize|to fascinate in a way that captures one’s full attention|The sway in the woman’s hips seemed to hypnotize the men who drooled as they stared.|
Hypochondriac|one who believes he or she is always ill|Because my uncle is a hypochondriac, he is quick to diagnose himself with a life-threatening illness.|
Hypocorism|is a pet name or nickname|Although his name was Barry, his hypocorism was the Flash.|
Hypocrisy|the practice of professing standards, beliefs, etc, opposite to one's real character or actual behavior|Students protested that the rule about cell phones was just a bunch of hypocrisy because teachers were always using their cell phones.|
Hypocritical|describes behavior that goes against what one claims to believe|The hypocritical protesters shouted threats to the abortion clinic workers but refused to financially support the mothers who give birth to the unwanted infants.|
Hypodermic|associated with the area under the skin|The drug addict stole hypodermic needles from the pharmacy.|
Hypotenuse|the longest side of a right triangle|Using the Pythagorean Theorem, the mathematician was able to find the triangle’s hypotenuse as well as its shorter sides.|
Hypothalamus|a small part of the brain that controls the autonomic nervous system and the secretion of hormones|After an injury to the hypothalamus region of his brain, the patient had trouble with his appetite and metabolism.|
Hypothecate|to pledge property as security for a debt|To get their son out of jail, the family had to hypothecate their property in lieu of a cash bond.|
Hypothermia|a dangerous drop in body temperature brought on by cold temperature|Most victims of the sinking of died not from drowning, but from hypothermia brought on by the icy water.|
Hypothesis|a proposed explanation or theory that is studied through scientific testing|The scientist’s hypothesis did not stand up, since research data was inconsistent with his guess.|
Hypothesize|to come up with an educated guess based on prior knowledge or statistics|Scientists hypothesize that the Big Bang Theory was not actually caused by a giant meteor but ozone depletion.|
Hypothetically|being considered as a possibility but not yet reality|Hypothetically going through a black hole could lead us to an alternate universe, but we have no way of confirming that theory.|
Hypothyroidism|a condition in which the thyroid gland doesn't produce enough of certain important hormones|A diagnosis of hypothyroidism was given to the patient when bloodwork showed her thyroid gland was not producing adequate amounts of hormones.|
Hypotrophy|gradual degeneration of an organ or tissue caused by a loss of cells|Although hypotrophy involves the degeneration of tissue, it is a key part of building body muscle.|
Hypoxia|a medical or scientific condition in which there are low levels of oxygen concertation in the body or water|Sea life is all but suffocated when hypoxia causes oxygen depletion in the water.|
Hysteria|a situation of unrestrained enthusiasm or intense fear|The hostages were in a state of hysteria when they were rescued by the police.|
Hysterical|affected by uncontrolled emotions|The hysterical play kept the audience cackling the entire show.|
Hysterically|done with uncontrolled or extreme emotions|Out of the blue, the insane woman began to cackle hysterically.|
Hysterics|an uncontainable crying or laughing spell|The widow was in a state of hysterics at her husband’s funeral.|
Ibidem|denotes a footnote citation that was already referenced in a prior footnote|Because I had already written the footnote once, when it came up on another page later I simply marked it as Ibidem.|
Icicle|a hanging piece of ice that is formed when dripping water freezes|In order for an icicle to grow, a constant flowing stream of water must be moving over the ice.|
Icon|a person who is very famous or popular|Michael Jackson was a global icon, known around the world for his music and performing abilities.|
Iconic|very famous or popular|Iconic venues in the city draw in site-seers from all over the globe.|
Iconoclast|someone who attacks the beliefs, customs, and opinions that most people in a society accept|Because Jared was an iconoclast and dared to question the company’s mission, he was fired from his job.|
Idea|a thought or opinion|Each idea the intern offered was initially turned down by management, but later used without credit being given.|
Ideal|perfect; model|The ideal environment for the polar bear is somewhere with cold temperatures and plentiful amounts of ice.|
Idealism|believing in or pursuing some perfect vision or belief that is unrealistic|Steeped in idealism, most of the middle-aged woman’s financial goals were either impractical unrealistic.|
Idealist|someone who pursues a certain idea or goal, even when it is unrealistic|An idealist at heart, the woman agreed to the loan terms even though she knew the payments were too expensive for her budget.|
Idealize|regard or represent as perfect or better than in reality |Jay Gatsby like to idealize his past relationship with Daisy as a fairy tale, when in reality they were constantly fighting.|
Ideation|the forming of ideas|Positive ideation can keep your mind centered and focused on the path ahead.|
Identical|an exact copy|The set of identical twins always confuse their teachers and sometimes their parents!|
Identification|something that identifies a person, animal, or thing|Showing identification to the clerk, the passenger was able to board the bus with no problem.|
Identify|to select something based on noticeable characteristics|Eyewitnesses were able to identify the suspect by the unusual tattoo he had in the middle of his forehead.|
Identity|who someone is|With a blonde wig and dark trench coat, the celebrity’s identity was unrecognizable.|
Ideogram|a written symbol that represents an idea or object|An ideogram with a cigarette and an X over it was placed on the door, warning patrons that no smoking was allowed in the building.|
Ideology|principles or beliefs associated with a group or person|When Jeff’s governmental ideology changed, he decided to start his own political party.|
Idiocy|stupidity|The intellectual community is appalled by the idiocy of those who do not acknowledge scientific research.|
Idiom|a phrase or sentence that contains a meaning that is different than its individual words|Even though the Japanese student knew every vocabulary word in the idiom, he failed to know what the expression meant.|
Idiomatic|a phrase that is specific to a particular language or time period|My grandmother loves idiomatic phrases like the pot calling the kettle black.|
Idiopathic|relating to a disease that manifests spontaneously or that has no known cause|Josh’s idiopathic arthritis arrived out of the blue when he was just 25 years old.|
Idiosyncrasy|an odd habit or peculiar behavior; behavior or way of thought specific to an individual|Her worst idiosyncrasy involved repeating back every word that was said to her.|
Idiosyncratic|quirky or peculiar behavior or traits of an individual|The strange bird let out a high-pitched sound that is idiosyncratic to its species.|
Idiot|a stupid person|The senseless idiot was able to solve the math problem one plus one.|
Idle|not in use; inactive|Since the taxi driver has not had any fares in a while, his car has been idle.|
Idleness|inactivity; laziness|The lazy sheep herder’s idleness caused him to fall asleep in the field while a wolf lurked nearby.|
Idly|inactively; lazily|The lazy boy stood idly by as the rest of his siblings helped unload the groceries from the car.|
Idol|hero|Ruby Bridges is an idol for young school girls around the world who admire her courage and bravery.|
Idolize|to adore, admire, or love greatly|The teen had begun to idolize the pop singer and had posters of them plastering her bedroom walls.|
Idyllic|happy, peaceful, picturescue|The tiny town by the sea is an idyllic place for the young couple to raise their twin daughters.|
Iffy|uncertain or unsettled|I am iffy on taking the job offer since the hours are long and the pay is a little low.|
Igneous|solidified from lava or magma|After the volcano erupted and lava covered the ground, many igneous rocks were created.|
Ignite|to arouse or give energy to a situation|The march in Selma was just what Dr. Martin Luther King needed to ignite others around the nation.|
Ignition|the action of setting something on fire|Firefighters suspected arson but could not located an ignition source.|
Ignoble|not deserving respect; not honorable|Because Frank has a habit of not showing up on time, he has an ignoble reputation as someone who is not very responsible.|
Ignominious|very embarrassing; shameful or disgraceful|When the boxer got knocked out in the first round, everyone knew it was the beginning of an ignominious defeat for him.|
Ignominy|public shame or disgrace|After being confronted about the theft, the official left the room in ignominy.|
Ignoramus|someone who is completely uninformed|The reporter proved he was an ignoramus when he gave out false information during the broadcast.|
Ignorance|lack of knowledge; unawareness|The woman’s ignorance regarding Hispanic culture led her to assume that everyone who speaks Spanish is Mexican.|
Ignorant|lacking knowledge; uninformed|My little sister was ignorant of the rules of the playground and pushed and shoved all of the other children.|
Ignore|refusing to acknowledge someone or something|My husband’s ability to ignore the television while sleeping is amazing to a light sleeper like myself.|
Ilk|a type of individual who is similar to others in a certain category|Only famous entertainers, athletes, and people of this ilk are allowed inside the VIP club area.|
Ill-Advised|inadvisable, foolish, or unwise|I think you would be ill-advised to go sky diving without a parachute, but if you don’t believe me I won’t have a chance to say I told you so.|
Ill-fated|destined to fail; cursed with bad luck|Romeo and Juliet’s ill-fated relationship was doomed from the day they laid eyes on one another.|
Illegality|an act that is prohibited by law|One illegality that we are all familiar with is murder, but some people seem to forget that littering and loitering are crimes as well.|
Illegible|not clear enough to be read or understood|The cashier refused to cash my check because she could not understand the check writer’s illegible signature.|
Illegitimate|not authentic, genuine, official, or recognized as the real deal|Deckson is considered an illegitimate son because he was born out of wedlock and not from the same father as the man his mother is married to.|
Illicit|going against what is considered to be normal|I dumped my boyfriend because of his illicit drug habit.|
Illiterate|incapable of writing and reading|The illiterate man could not complete the job application.|
Illness|a disease or sickness of the body|After coming down with a strange illness, the sick girl could no longer walk or talk.|
Illogical|lacking sense or sound reasoning; contrary to logic|An argument cannot be won with illogical reasoning.|
Illogical|lacking sense or clear reasoning|It is illogical to believe that someone could tell your future since there is little scientific proof that psychics are real.|
Illuminate|to bring attention to or shine light upon|Hopefully the justice department’s investigation will illuminate the police corruption in the small town.|
Illusion|something that appears to look like something, but it actually is not|The mirrored walls in the fun house created an optical illusion which made it difficult to walk afterwards.|
