Probity|the quality of a person who is completely honest|The criminal knew he could not buy the judge who was known for his probity.|
Progeny|descendants or offspring|Because the billionaire bachelor did not have a progeny, his entire estate went to charity when he died.|
Prognostic|describes something that would help predict the likely outcome of a disease or illness|Performing a prognostic biopsy will tell us the stage at which the cancer is currently.|
Prognosticate|to forecast the future|Using computer technology, meteorologists attempt to prognosticate the future.|
Program|a group of events or exercises to accomplish a certain goal|The annual piano program included twenty students playing their favorite musical pieces to be judged by a panel.|
Prohibit|to forbid or make something illegal|The U.S. tried to prohibit people from drinking alcohol, but that law failed miserably.|
Prohibition|an act of forbidding or disallowing something|The prohibition of alcohol was repealed.|
Prohibitive|tending to prohibit, preclude, or disallow|The park association was prohibitive of bringing glass on the beach.|
Project|to estimate or forecast something|The weatherman will try to project the weekend weather, but no guess can be 100% accurate.|
Projected|predicted or anticipated|Test scores are projected to decrease over time at the school due to the continuous lack of funding affecting the quality of the education.|
Prokaryote|a single-celled organism (such as bacteria) that lacks a nucleus and cannot be seen with the naked-eye|The scientist studied the prokaryote under the microscope to see if its single-cell would multiply in certain conditions.|
Proliferate|spread rapidly or increase in number|With the popularity of the Zumba craze, health clubs that feature this exercise class have begun to proliferate in most cities.|
Proliferation|rapid increase in the number or amount of something|The doctor explained that proliferation of the cancer cells shows that the cancer is spreading more rapidly than expected.|
Proliferation|a rapid multiplication of parts or the increase in the number of something|The proliferation of the diner’s popularity has made it difficult to find a seat without an hour wait.|
Prolific|producing abundant results or works|Because the huge storm is expected to produce a prolific amount of snow, government offices and schools are being closed.|
Prolixity|long and wordy, using too many words to express a thought or idea|The paper was marked down for the writer’s use of prolixity to lengthen it.|
Prolonged|lengthened in time; extended; drawn out|The meeting was prolonged because we were waiting for our boss to arrive.|
Promenade|a walk taken for pleasure, display, or exercise; a stroll|My date and I went for a promenade in the park.|
Promise|an assurance or vow that something will happen|The husband and wife will promise to love each other for life when they say their vows on their wedding day.|
Promissory|something that implies or guarantees a promise|My friend often makes promissory statements, but he always fails to keep those ludicrous promises that he makes.|
Promontory|a high point of rock or land that juts into a source of water|If we take one more step off the mountain’s promontory, we will fall into the ocean.|
Promote|advance someone to a higher rank or position|Because he had served his country so well, the General decided to promote the Corporal to the rank of Sergeant.|
Promotion|advancement; elevation to the next step|Hoping for a work promotion, Jessica tried to pick up extra shifts and help out the manager as much as possible.|
Prompt|in good time; punctual|Because I take pride in being prompt, I always leave early for work.|
Promptness|the quality of doing something quickly or without delay|Promptness of payment is appreciated, especially when you pay a few days early.|
Promulgate|to make something recognized or known|The purpose of the documentary is to promulgate the importance of raising funds for additional cancer research.|
Prone|inclined to act a certain way|Jack is prone to be quite talkative after he has consumed several beers.|
Prong|each of two or more pointed parts that each project out of certain objects (i.e., a fork) parallelly|Because the prong on the end of the television cord is bent, the metal piece won’t fit into the wall outlet.|
Pronounce|make the sound of (a word or part of a word), typically in the correct or a particular way|Whenever the young reader didn’t know how to pronounce a complicated name, she substituted an easier one.|
Pronouncement|an announcement that is formal and usually given by someone of authority|After a series of incidents occurred on campus, the president of the university made a pronouncement that any harassment would result in severe consequences.|
Pronto|right away or as quickly as possible|The lifeguard rushed into the ocean pronto when he noticed a young child struggling to stay above water.|
Proof|physical evidence that proves an accusation or idea|Forensic investigators perform autopsies to search for proof of foul play.|
Proofread|to look over a work or text in order to edit or amend it|After working for four days on her English essay, the high schooler decided to ask her mom to proofread it so that it would be free of mistakes.|
Propaganda|exaggerated or untruthful claims used to help raise support for an effort|During election season, politicians often try and beat their rivals by airing propaganda on television.|
Propagate|to share broadly|The political candidate hopes to propagate his vision to potential voters.|
Propel|to cause to move in a certain direction|The seat belt stopped him from being able to propel forward during the crash.|
Propellant|thing or substance that causes something else to be driven forward|The student used his teacher’s hurtful words as a propellant to drive him toward success.|
Propensity|a natural inclination or tendency|My mother has a propensity to drink when she gets anxious.|
Proper|suitable or appropriate for the situation|Grandmother didn’t think that Heidi’s dress bathing suit was proper attire for the dinner table.|
Property|possessions owned by a person or a business|Lockers are provided for all the swimmers to put their personal property in while at the waterpark.|
Prophecy|a prediction or foretelling of what's to come|As the Persians suffered one loss after another, Daniel’s prophecy from years before was proven to be true.|
Prophet|a person who speaks for God, or someone who can predict what will happen in the future|In the bible, Noah was a prophet who warned the people that God would bring a flood to wipe out humanity because of all of their thievery and deceit.|
Prophylactic|something used to prevent a disease|Although the medicine has proven to be prophylactic, it does not prevent infection in all cases.|
Prophylaxis|preventive treatment of a disease|A special medication was prescribed before overseas travel as a prophylaxis to prevent malaria.|
Propinquity|nearness in place or time|Since my school is huge and my classes are not in near propinquity to each other, I walk a great deal between the hours of 7 am and 3 pm.|
Propitiate|to make things right by doing something that is requested|Only an idiot believes he can propitiate his way into heaven by giving the church all of his money.|
Propitious|full of promise; favorable|The beautiful Hawaiian weather made it propitious for sun bathing yesterday.|
Proponent|an individual who supports a cause|Because April loves animals, she is a fierce proponent of the animal rights movement.|
Proportion|an amount that is part of a whole|When he discovered the love letter, he blew the situation out of proportion by accusing his partner of infidelity.|
Proportional|related or balanced in size, amount, or degree when compared to something else|Police officers could use proportional force against the violent protestors but could not go overboard.|
Proportionate|balanced in size, amount, or degree when compared to something else|All investors were convinced they would receive a proportionate return of their money, but only ended up with half.|
Proposal|a plan or suggestion|A proposal to increase property taxes has been strongly opposed by homeowners.|
Propose|to suggest a plan of action for others to consider|Each band member was asked to propose a way to increase ticket sales, but no one had a suggestion.|
Proposition|a proposal or plan|The school agreed that teachers in the district were spending too much on their classrooms out of pocket, but had no proposition for additional funding.|
Propound|to bring forth for deliberation or consideration|At the faculty meeting I will propound several ideas for improving faculty morale.|
Proprietary|an object or concept that is used, created, or sold by an individual or company that holds the property rights|The soft drink company uses it proprietary formula to exclusively make its best selling beverage.|
Propriety|following what is socially acceptable in speech and conduct; correctness of behaviour|After Harold wore a clown suit to his cousin’s funeral, we had to question his sense of propriety.|
Proprioception|the body’s unconscious ability to sense the position and location and movement of the body and its parts|Proprioception allows a person to know where their leg is positioned, even when their eyes are closed.|
Propulsion|a force or energy that causes progress or movement|The plane cannot leave the hangar until its propulsion system is fixed.|
Propulsive|having the power to move forward|When she got sick, the force of her stomach tensing was propulsive.|
Prorogue|to defer or discontinue Parliament or other government business for a period of time|The governor was advised to prorogue Parliament for now and call a meeting at a later date.|
Prosaic|commonplace or dull; unimaginative|Because the biggest thing in my hometown is the grocery store, the city really is a prosaic little place.|
Prosecute|to hold trial against someone charged with a crime|DNA evidence was used to prosecute the killer and lock him up for good.|
Prosecution|the process of holding a trial against a person who is accused of a crime|Prosecution of the defendant will be difficult since the evidence against him is all circumstantial.|
Prosecutor|a government attorney who presents the state's case against the defendant during criminal prosecution|A special prosecutor was called in to handle the murder trial of the governor’s son.|
Prosecutor|a member of legal court, typically a lawyer, that argues against the defendant and tries to prove them guilty of pressed charges|We hired a lawyer to be a prosecutor on our behalf, pressing our charges against the defendant for us.|
Prosody|rhyme and sound patterns used in poetry|The main elements of linguistic prosody in poetry are intonation, rhyme, and stress.|
Prospective|likely to happen|Calculating his prospective earnings for the next six months was difficult since business tends to ebb and flow.|
Prospector|an explorer in search of mineral deposits|The gold prospector ventured to the area in 1867 looking to strike it rich.|
Prosper|to be successful|In order for the business to prosper, the company had to reduce the amount of miscellaneous spending.|
Prosperous|successful; well off|The prosperous man never had to worry about having enough money to pay his bills.|
Prosperously|wealthily|Living prosperously, the Jeffersons could now afford to move up to a deluxe apartment in the sky.|
Prosthesis|artificial replacement for a body part|Many young children and even some adults stared at the young veteran soldier as he limped down the aisle of the store wearing a prosthesis where his leg used to be.|
Prostrate|in a flat position where a person’s face is turned downward|When Jill discovered her husband had left her, she fell prostrate on the couch and buried her face against the cushions.|
Protean|changing often; variable|Because the woman’s affections are protean, she has ten ex-husbands.|
Protect|to protect or guard against something|Promising to protect and serve, the police officer’s main goal was to make the city a safer place for its residents.|
Protection|something used to protect or guard|A protection spell was cast by the good witch to shield all the people in the kingdom from evil.|
Protectorate|a small country that is controlled and protected by a larger, stronger one|The protectorate was grateful that they had a watchful eye over their state.|
Protein|a needed nutrient found in certain foods (meat, milk, eggs, and beans) that is made up of many amino acids joined together|Several protein shakes on the market claim to have enough nutrients to build muscle with little exercise.|
Protest|an expression of disagreement or disapproval to something wrong or unfair|The protest in Selma helped African Americans gain the freedom to exercise the right to vote.|
Protestant|a member of the Western Christian Church whose faith is founded on the Reformation (movement away from the Catholic Church) and the acceptance in the Bible|As a part of religious reform, the Bible-reading Protestant rejected the authority of the Pope and many other Catholic traditions and beliefs.|
Protoplasm|an outdated term for the clear, fluid like substance that forms the living content of all animal or plant cells|Scientifically speaking, protoplasm is the living contents of a cell surrounded by a plasma membrane.|
Prototype|the original model of something serving as a typical example|The builders created a prototype for how the subdivision was to look.|
Protozoa|any of a large group of single cellular animals that lives in water or as a parasite|Using cilia to move around, the unicellular protozoa made its way through the marsh.|
Protract|to prolong in time or space|The committee voted to protract the discussions of an amendment to their mission statement.|
Protrude|to push out|The blow made the man’s teeth protrude from his mouth.|
Protrusion|something that protrudes or sticks out from something else|Within a few weeks of discovering the mass, the protrusion on the patient’s jaw had doubled in size.|
Protuberance|something that protrudes or sticks out from something else|A hairy protuberance from the woman’s nose stuck out just enough to make the neighborhood children think she was a witch.|
Protuberant|protruding; bulging|The eerie looking fish had a protuberant jaw that stuck out from the rest of his small body and was filled with bony teeth.|
Proud|feeling deep pleasure or satisfaction for one’s accomplishments|The proud father beamed as he watched his firstborn daughter walk across the stage at her college graduation.|
Prove|to show or demonstrate|The only way to prove that you did not use a calculator to answer the equation is to show your work on paper.|
Proven|shown or demonstrated|By showing up on time every day for a year, the worker had proven dependability.|
Provenance|origin or the source of where something derived from|Since the provenance of this dish came from Italy, many people wanted to go to Italy to taste the actual authentic dish.|
Proverb|a sentence that people often quote to which gives advice or state a universal truth|An old proverb says that an attorney who represents himself has a fool for a client.|
Proverbial|used often to describe something|Everyone in class knew the proverbial quote from the hit animated comedy.|
Provide|to give or supply|Militants refused to surrender or provide opposing forces with information about their mission.|
Providence|good management of resources needed for the future|Because of Jim’s providence, he and his wife have a nice retirement egg.|
Provident|demonstrating great care and consideration for the future|My financier told me that I needed to be more provident when it came to my spending.|
Providential|fortunate|It was providential that I moved out of the way before being struck by the oncoming vehicle.|
Province|a region within a country|Province leaders insist that the new energy plant will bring 3,000 jobs to the region within five years.|
Provincial|nan|Even though James had travelled all over the world, he still wore clothing which was quite provincial and outdated.|
Proviso|a conditional stipulation attached to an agreement|A proviso was added to the bill to make sure that the likelihood of theft would be diminished.|
Provocation|anything or anyone that incites a response| I walked away from a potential fight despite my enemy’s provocation.|
Provocative|tending to provoke or stimulate|When the editor read the provocative article which urged people to destroy government buildings, he insisted the writer redo the entire piece.|
Provoke|to trigger a reaction, often an angry one|The pictures of the victim’s body are sure to provoke feelings of anger within the jury.|
Provost|the senior administrative officer in a college or university|The provost at my college is in charge of all administrative functions, being the senior administrative officer there.|
Prow|the front part of a boat or ship|On the prow of ancient ships, the Chinese would pain eyes to protect sailors from evil and lead them through the darkness.|
Prowess|Skill or expertise in an activity or field|Christina used her hunting prowess to survive in the woods for a week.|
Prowl|to move around quietly in a place trying not to be heard or seen|I called the police when I noticed a masked man prowl through the neighborhood.|
Proxemics|the study of cultural, behavioral, and sociological effects of spatial distances between individuals|Proxemics is the study of how people use and perceive the physical space around them.|
Proximal|something that is nearby or close to something else|Since the stab wound was proximal to the heart, the doctors feared that it might have penetrated the outer layer of the man’s heart.|
Proximity|the nearness of one thing or person to another|Because Mary left her sandwich in close proximity to her dog, she did not have anything for lunch.|
Prude|one who is easily offended or shocked by rude things|I wouldn’t consider myself a prude, but I was offended at the comedian’s off-color jokes.|
Prudent|marked by wisdom or sound judgment|It is not prudent to go swimming during a hurricane.|
Prudish|too proper or modest in behavior or dress|My grandmother’s narrowminded and prudish viewpoints do not line up with today’s world views.|
Prurient|experiencing an undue amount of interest in things relating to sex|The prurient teenager would not stop looking at the adult magazines in the store.|
Pry|to look where one is not welcome; to be nosey|Her reputation was that she liked to pry into people’s private lives.|
Psalm|a sacred song or hymn used during worship|The gospel song is based on an old bible psalm about daily worship.|
Pseudo|someone or something fake trying to come off as the real thing|We were not duped by North Korea’s pseudo democratic elections.|
Pseudonym|a fake name often used by authors and famous people who want to avoid detection|The famous singer always checks into hotels under a pseudonym so her fans will not find her.|
Pshaw|an exclamation used to show disbelief or irritation|Pshaw, you had better run if there really is a bear in your tent!|
Psyche|an individual’s spirit, soul, or mind|When the old man lost his job to a college graduate, his psyche took a devastating blow.|
Psychedelic|describing the effects of drugs that produce hallucinations|Hallucinations may be the product of psychedelic drugs that make you see things that aren’t really there, such as LSD.|
Psychology|the study of the human mind|Studying psychology helped the teacher better understand the minds of her students.|
Psychosis|a severe mental disorder|After three doctor visits, the man suffered from psychosis due to his mind-altering hallucinations and obscure delusions.|
Psychosomatic|(of an illness) caused by mental problems, such as stress or anxiety, rather than physical problems|Due to the constant worry of losing his job, Bob’s psychosomatic headaches would be cured when he stopped worrying.|
Puberty|the phase of growth in which a person’s body makes the transition from child to adult|Most people go through puberty at roughly age thirteen to sixteen, or what is generally considered the ‘teenage’ years.|
Pubescent|associated with an individual who is near or has reached the phase of adolescence|The pubescent girls lined up to get an autograph from their favorite teen heartthrob.|
Publication|the act of making information or writing available|The editor is overseeing the publication of a new magazine for college students.|
Publicity|public attention, or something that is within the public eye|If you want more publicity as an author, you will need to work with good publishers to get your name out there for everyone to see.|
Publisher|a person or company prepares and issues written news, books, journals, or music for sale|The publisher will only agree to release the journal if the author signs over all rights.|
Pudgy|describes a person or body part that is fat or chubby|After gaining several pounds, Claire could no longer fit her wedding ring on her pudgy fingers.|
Pueblo|a series of clay or stone homes of many stories built by Native Americans and organized into a settlement|The beautiful burnt orange colors of the houses that made up the pueblo of the tribe dazzled tourists.|
Puerile|silly or childish especially in a way that shows a lack of seriousness or good judgment|Since my son is thirty-three years of age, I do not find his puerile behavior amusing.|
Puff|a small cloud of air, smoke, or vapor|Children love to let out a puff of breath in the winter because it creates a tiny cloud.|
Puffy|bloated and bulging|After falling off my bike, my leg was red and puffy from the infection under the skin.|
Pugilism|the practice of warring with fists|The inexperienced boxer had a lot to learn about the sport of pugilism.|
Pugnacious|Combative in nature; ready to fight|The pugnacious little boy constantly talks back to his mother.|
Puissance|the power, might, force or strength of someone or something|By overstepping his boundaries, William took his puissance as the company president and changed the century-old by-laws to fit his preferences.|
Puissant|having a large amount of authority or power|Because the dictator was puissant, he could do anything he wanted without seeking permission.|
Pulchritude|physical beauty|Because we all know that beauty is only skin deep, you should always look beneath the pulchritude on the outside to see what’s going on in a person’s heart and soul.|
Pulchritudinous|having great physical beauty|Jack loves to stand in front of his mirror, staring at his pulchritudinous face.|
Pulley|a simple machine designed to lift something very heavy|To raise a flag on a pole, the use of a pulley is mandatory in order to move the flag up and down.|
Pullulate|to be crowded or overpopulated|At the annual Tri-State Farmer’s Auction, the cows would pullulate in the small pen barely having any room to move around.|
Pulmonary|related to lungs|Another way of saying “pulmonary disease” is “lung disease.”|
Pulsate|to expand and contract rhythmically; to throb or beat|Every time Patricia saw her crush pass her in the hallway, her heart would rapidly pulsate as she would stare at him.|
Pulse|the throb from the heart|After running for a mile, I felt the pulse in my throat vibrate with the beat of my heart.|
Pulverize|to break into tiny pieces or destroy|The tiny wrestler knew his giant opponent was going to pulverize him.|
Pummel|to hit or strike heavily and repeatedly|After attacking the little old lady, she made the quick decision to pummel him with her purse.|
Pump|to force a substance (i.e., liquid, gas) to move in a certain direction by force|The little boy has just learned to pump gasoline into the car’s tank by squeezing the lever.|
Pun|a joke that makes use of one word with multiple meanings or words that sound the same but have different meanings|An example of a pun is ‘a bicycle can’t stand on its own because it’s two-tired,’ a joke that makes me groan every time I hear it.|
Punctilio|a fine point in exactness of conduct, ceremony or procedure. Strictness in observance of formalities|Without fail, the punctilio required during each of Ms. Layman’s garden parties was for the attendees to raise their glasses and give a cheer to the patron saint of married women.|
Punctilious|showing great attention to detail or correct behavior|Because my aunt is quite punctilious when it comes to table settings, every utensil must be turned properly.|
Punctual|prompt or on time|He was not known for being punctual, which is why they told him to arrive thirty minutes early.|
Punctuality|promptness for an appointment or event|Sarah’s boss knew the store would open on time due to Sarah’s punctuality for work.|
Puncture|to pierce something causing a hole or perforation|Using her finger nail to puncture the balloon, Rita hoped the loud pop would scare her little sister.|
Pundit|one who gives his opinion as an expert in a specific field|During the trial, the prosecutor will call upon a pundit of forensics to link the evidence to the suspect.|
Pungency|the condition of having a strong, sharp smell or flavor that is often so strong that it is unpleasant|The pungency of the onions caused us to cover our noses and gag when driving by the patch where the wild ones grow.|
Pungent|having an intense flavor or odor|When the pungent smell of rotten eggs filled the house, I held my nose.|
Punish|to put a penalty or consequence in place|New laws were put in place to punish those who continue to break littering laws.|
Punishable|describes and action or offense that one deserves punishment or penalty for committing|The student’s actions were punishable by suspension, but the principal decided to give them a warning instead.|
Punishment|a penalty that is imposed after a crime or offense has been committed|The only punishment that seemed to change the child’s behavior was having to walk laps at recess.|
Punk|a criminal or hoodlum|We watched in shock as a young punk covered the stop sign with bullets, laughing as he fled.|
Punt|a football kick where the ball is let go and kicked while still in the air|The player took the football and released it in order to punt the ball with his foot into the air.|
Punter|the football player who kicks the ball to the other team|During the champion football game, the punter kicked the pigskin to the opposing team after the fourth down.|
Puny|tiny and weak|People underestimate my strength because I appear puny.|
Pupil|a student, especially a young one|The pupil was very excited about their first day of middle school.|
Puppy|a dog that is 12 months or younger|The cute little puppy barked often and played with other puppies in the backyard.|
Purblind|lacking vision or insight into a situation|Even with scientific proof, purblind politicians have refused to accept that global warming exists.|
Purchase|to buy something with money|If you want to purchase tickets for the festival, you will need to bring forty dollars to the gate.|
Pure|clean and free of any contaminants|The dirty water was processed and made pure through the filtering system.|
Purely|entirely; completely|The man and woman insisted that their relationship was purely innocent and that an affair was not taking place.|
Purgative|cleansing, especially when referring to the ability to get rid of unwanted waste|The purgative laxative helped the constipated patient get rid of his body’s backed up waste.|
Purge|to get rid of something or someone|After he saw his parents making out in the back seat of their Buick, Kevin vowed that he would do whatever it took to purge the image from his brain.|
Purify|to cleanse something; to remove contaminants|Pumps were used to purify the dirty water that came from the pond.|
Purist|a perfectionist who believes in sticking to all of the rules|Dressed in a suit and tie, the purist raised his hand every time to answer each question the teacher asked.|
Puritan|a group of strict religious people who came to America in the 16th century|Worship was a significant daily aspect in the life of a Puritan with most of their time being devoted to church.|
Puritanical|practicing very strict moral or religious behavior|My parents are extremely puritanical and will not allow me to date.|
Purity|the state of being clean and clear; not mixed with anything else|The purity of the snow caused it to stand out with its dazzling whiteness.|
Purlieus|the area surrounding a place|The townspeople searched the purlieus of the area where the dog disappeared, hoping that they would be able to find him on the outer edge.|
Purloin|to take another’s belongings without permission|Because Eddie tried to purloin the woman’s purse, he spent the night in jail.|
Purport|to imply something is true although it is most likely false|The drug manufacturer knows it is against the law to purport claims about its product’s effectiveness.|
Purported|claimed that something was true without proof|The purported rumors were proven untrue, and the man who made the allegations against the celebrity was asked to apologize.|
Purportedly|assumed to be so; allegedly|The house is purportedly worth a million dollars, but will probably appraise for much more.|
Purpose|the reason for which something is done or created|The purpose of the veteran parade is to honor those who have served in the military.|
Purposeful|to do something for a reason|Every writer knows that proofreading is just as purposeful in the writing process as actually writing the work itself.|
Purposefully|doing something with a sense of purpose or in a determined way|The model purposefully avoids sweets and bread so that she can keep her weight down.|
Purposeless|irrational and pointless|Once I heard the story about the police officer being killed, I knew this was a purposeless act of violence.|
Purr|a low vibrating sound, usually made by a cat or a vehicle|Letting out a low purr, the cat let her owner know that she enjoyed being petted.|
Purse|a purse is a bag used to carry personal items|For the charity event, she wore a green chiffon dress and a matching purse on her shoulder.|
Pursuance|the following or carrying out of a plan|Though her parents though she should be a doctor, the sculptor decided to continue with her pursuance of an art degree.|
Pursuant|in agreement with or according to a law, request, or ruling|The sentencing will take place this Friday, pursuant to New Jersey law.|
Pursue|to follow urgently / to aim for|The cops had to pursue the suspect until they were able to capture him.|
Pursuer|someone or something that trails or follow someone or something else|Betty’s pursuer followed her around the dark corner even though she was running at top speed.|
Pursuit|the action of going after something or someone|The police officer is in pursuit of the escaped prisoner.|
Purview|area of authority or control|The accountant’s purview includes any of the company’s financial matters.|
Pushy|aggressive and tending to use forceful methods to get others to do what you want them to do|The pushy salesperson kept trying to sell his wares even though the people on the beach didn’t want to buy.|
Pusillanimous|lacking bravery or courage|The pusillanimous soldier cried because he was scared of the gunfire.|
Putrefaction|rotting; decay|Putrefaction of the animal made the area where it died smell horrible.|
Putrefy|to produce a strong odor while decaying|So many soldiers died during the war, with their decomposing bodies left to putrefy in the fields.|
Putrid|rotting, rotten, being in a state of putrefaction|Dealing with dead bodies, he encountered plenty of putrid odors.|
Puzzled|confused; perplexed|Footprints in the snow puzzled the hunters who mistakenly assumed they were alone in the forest.|
Puzzlement|a feeling of confusion or bewilderment|The student voiced his puzzlement when trying to solve the complex geometry problem.|
Pyramid|a structure with sloping sides that meets at the top and sits on a triangular or square base|A pyramid of delicious cupcakes was positioned on the triangular display.|
Pyre|a pile of flammable materials, often used for burning bodies|Over the pyre of wood in the backyard, we roasted marshmallows and hot dogs.|
Pyromania|a strong urge to start fire to things|Due to his obsession with pyromania, the criminal was sentenced to 15 years in prison for the arson of several properties.|
Pyrotechnic|related to the manufacture or use of fireworks|The rock concert’s finale included a pyrotechnic lightshow that lit up the night sky.|
Pyrrhic|a victory that is won but has devastating effects on the victor|Though the new mayor should have been happy to have won the pyrrhic election, the damage on his reputation made the win seem worthless.|
Qua|used to say “as” or “as a”|At the gallery, the work of art qua art is being displayed in a special showroom.|
Quackery|dishonest practices and claims to have special knowledge and skill in some field, typically medicine|Because of the medical quackery going on in the clinic, the dishonest practitioner was shut down.|
Quadrangle|a rectangular or square shaped courtyard|Overlooking the quadrangle, the children could not wait to leave their apartment and play in the square courtyard.|
Quadrant|one section of something that is divided into four parts|During the hurricane, the low-lying fourth quadrant of the city was hit much harder than the other three areas.|
Quadrennial|lasting or occurring every four years|The quadrennial election happens every four years.|
Quadriceps|A large muscle in the thigh (front) that is used to extend the leg or bend the hip|Stretching his quadriceps helped the runner prepare for the strain his leg would endure during the race.|
Quadrilateral|Four-sided|The quadrilateral shaped garden contained a different vegetable in each of the four quadrants.|
Quadruped|an animal that has four feet|My little girl likes to walk on her knees and hands like a quadruped.|
Quadruple|multiply by four|When the star player took the basketball court, the home team’s score seemed to quadruple within a short period of time from 10 to 40.|
Quadruplicate|to multiply something by four|Since there were four members in each group, we had to quadruplicate the craft supplies by four.|
Quaff|to hastily consume a beverage|The huge athlete was able to quaff down a gallon of water in less than two minutes.|
Quagmire|a situation from which it is hard to escape|Many young people do not realize the quagmire to which occasional drug use can lead.|
Quail|a small, short-tailed, commonly hunted bird|Known as a gourmet chef, Emeril Lagasse created a masterpiece of flavors by snipping off the wings and removing the feathers off the quail before roasting and serving it to the queen.|
Quaint|appearing old-fashioned in an appealing way|My grandmother’s quaint home is filled with knick-knacks from her childhood.|
Quaker|A nickname for a religious member of the Religious Society of Friends|The Quaker believer spent his nights reading the doctrine of the Inner Light.|
Qualification|a special skill or requirement that makes a person eligible for a position or activity|Credit qualification was required before the lender would approved the mortgage loan.|
Qualifier|a person (or team) that qualifies for something|As a third-round qualifier, the runner will go on to the Olympic games.|
Qualify|to become eligible or suitable for something|To qualify for a housing loan, the applicant had to raise his credit score by several points.|
Qualitative|associated with type or quality|The qualitative study will reveal the elements present in the compound.|
Qualities|attributes or characteristics of a person, place, or thing|Although her date had many of the qualities she desired in a husband, the woman could not get over his tendency to chew with his mouth open.|
Qualm| a feeling of doubt or uncertainty about whether you are doing the right thing|Under the influence of drugs, Matt had no qualm whatsoever about spending all of his money at the casino.|
Quandary|a state of doubt about what to do in a certain situation; a difficult situation|Mark is in a quandary about whether or not he should keep the money he found in the park.|
Quantifiable|able to be measured|Scientists used a calculator to average the quantifiable data gathered during the experiment.|
Quantify|to assign a quantity to|In my statistics class, we needed to quantify the probability of winning the lottery.|
Quantitative|pertaining to the measureable amount of something|After writing down everyone’s height in his 4th period class, the student analyzed the quantitative data to determine he was the tallest student in the class.|
Quantity|the amount of something|The store owner checked the quantity of tires and realized he needed to order more.|
Quantum|The smallest amount of something, specifically energy|Measuring the quantum amount of the object essentially destroyed it.|
Quarantine|a place where individuals or animals who have contagious diseases are held|Until it is determined whether or not the dog has rabies, it will be placed in quarantine.|
Quarrelsome|argumentative; confrontational|The younger brother’s quarrelsome nature resulted in constant arguments and the splitting of the family business.|
