Ungrateful|not grateful; not expressing gratitude|The man left a single dollar to his ungrateful son in his will.|
Unkind|mean; cruel|Girls on the playground often say cruel and unkind things to those they see as weak.|
Unknown|something that is still a mystery or uncertain|An unknown substance was found on the bottom of the scientist’s fossil discovery.|
Unleash|to set free from a restraint|After I went to unleash the dog who had been chained to his cage for years, the dog attacked the first person it saw and ran away.|
Unless|used to show an exception|Unless you turn in your homework, you will not pass this course.|
Unlike|different from; dissimilar|Unlike her glamorous mother, the tomboy preferred tennis shoes over heels.|
Unlikely|not very likely to happen; questionable|It is very unlikely that I will win the lotto, but I still like to play.|
Unload|to unpack or drop off|Movers helped me unload my furniture and even aided me in putting the beds back together.|
Unlucky|having or bringing bad luck or fortune|Friday the 13th is said to be an unlucky day that brings bad fortune.|
Unmarred|free from blemishes or stains|Babe Ruth’s ball was surprisingly unmarred, having almost no marks or blemishes.|
Unmentionable|forbidden or taboo|After my father left my mother, his name was unmentionable in our home.|
Unmistakable|unique; easily recognizable|The smell of rotting flesh is unmistakable and can even be recognized by those who have never been around a dead body before.|
Unmitigated|in its entirety; complete|Since we raised over a million dollars during the telethon, we considered the fundraiser to be an unmitigated success.|
Unmoved|not affected by emotion or other influence|The toddler threw a fit and cried for the toy, but his mother was unmoved by his tantrum.|
Unnatural|abnormal; strange|The peculiar woman’s bright orange hair looked so unnatural.|
Unnecessary|something that is not needed|Checking on her baby all through the night was unnecessary, but the woman felt better if she did it anyway.|
Unnerve|to make someone lose confidence; to discourage|In an effort to unnerve his foe, the politician brought up some of the less honorable things he had done in the past during their debate.|
Unnerving|causing fear, anxiety, or loss of courage|As her voice trembled and hands shook, the speaker realized just how unnerving it can be to talk to such a large crowd.|
Unnoticed|ignored or unseen|The hunter wore clothes that would help him blend into the woods and go unnoticed by the animals.|
Unobserved|not seen; overlooked|The robbers went unobserved through the forest, never being spotted by the frantic search party.|
Unobtrusive|not obvious|The reclusive man wanted to be buried in an unobtrusive area of the cemetery so people would not walk around his grave.|
Unofficial|not for sure or officially confirmed by the organization in charge|It’s still unofficial, but I am pretty sure the company chose me for the job.|
Unperceived|not noticed or recognized by the senses (sight, smell, taste, touch, hearing.)|The smell of the fire blazing through their home went unperceived by the sleeping family.|
Unperturbed|not concerned, worried, or disturbed|The unperturbed husband did not seem to care about his cheating wife or her string of affairs.|
Unpleasant|unsavory, distasteful, or disgusting|The unpleasant smell of rotten eggs crept out of the trash and hit my nose like a ton of bricks.|
Unpopular|disliked or not accepted by most people|Unpopular at school, the shy and lonely girl, didn’t have any friends to sit with at lunch.|
Unprecedented|previously never experienced or seen|Before the storm, there was an unprecedented demand for food supplies that left many stores empty.|
Unpredictable|describes something that is uncertain and not able to be predicted or foretold|The unpredictable weather was sunny one day and rainy the next.|
Unprepossessing|looking plain or ordinary|The unprepossessing bookshelf looked like any other bookstand, giving no hint of what lay behind its novels.|
Unpretentious|not attempting to impress others with intelligence, money, style, importance, etc; modest|The girl next door portrayed herself in an unpretentious way so that she was beautiful without striving for attention.|
Unprofessional|not showing behavior that is expected or standard in a particular setting|After continuing his inappropriate jokes and sexual harrassment, the store manager was fired for his unprofessional behavior.|
Unpromising|lackluster and unlikely to gain success|Her hopes of graduating were unpromising after she failed her final exams.|
Unpropitious|not favorable of likely to produce a good result|The candidate’s unpropitious speak is unlikely to win him any votes.|
Unproven|not proved|Your alien abduction claim is unproven and seems extremely unlikely.|
Unpunctual|not happening or doing something on time|Unpunctual guests were not allowed to enter after arriving at the event two hours late.|
Unquestionably|certain; not able to be disputed|The doctor will unquestionably perform the surgery, the only thing in question is the date.|
Unravel|to cause something to separate or come apart|The tassels on the end of the rug have started to unravel and will need to be replaced.|
Unreal|unbelievable, incredible|Winning the lottery is an unreal experience that most will only dream of.|
Unreasonable|extreme or excessive|The costs to rent a car in the city are unreasonable and make buying one seem cheaper.|
Unredressed|refers to a wrong or injustice that has not been righted|The girl’s unredressed murder still bothers her family since the killer has never been caught.|
Unrelenting|refusing to yield or compromise|The unrelenting storm continued to destroy the area and seemed as if it would never end.|
Unreliable|not able to be trusted or depended on|Since Ms. Watson proved she was unreliable to do her job, I would never call on her when I needed a substitute.|
Unremitting|continuing without any type of interruption or decrease in intensity|Jim and Edith could not agree upon a divorce settlement because of their unremitting anger towards each other.|
Unrepentant|showing no regret for one has done wrong|Even after being sentenced for his crimes, the smug kidnapper was unrepentant.|
Unrequited|not given back|I started to cry when I learned my love was unrequited.|
Unrest|a state of uneasiness, restlessness, or agitation|Unrest in the country began to grow after the leader began to censor what the newspapers could publish.|
Unruffled|composed; self-controlled|Even when the children won’t listen to her, the calm teacher remains composed and unruffled.|
Unruly|disruptive behavior that is wild and out of control|Police were sent to stop the unruly drunks from throwing bottles at cars passing by.|
Unsafe|dangerous; risky|Moving into the unsafe neighborhood required the renters to get both a gun and a security system.|
Unsatisfactory|not satisfying or good enough|An unsatisfactory number of people signed up for the play so it had to be cancelled.|
Unsatisfied|not pleased or happy with something|The editor was unsatisfied with the writer’s work and asked her to make several changes.|
Unsavory|unpleasant to smell or taste|Catching a whiff of the unsavory smell, Hannah quickly remembered that she had forgotten to take out the trash before leaving for vacation.|
Unscathed|untouched or not damaged|Despite the vase’s tumble from the shelf, it is unscathed.|
Unscrupulous|unconcerned about doing what is right|The unscrupulous teacher offered to raise her student’s grade if he gave her one hundred dollars.|
Unseen|hidden or out of sight|Waldo remained unseen in the picture until one of the kids finally spotted him.|
Unselfish|generous and willing to put other needs or wants before one’s own|The kidney donor’s unselfish gift helped the sick man stay alive for several more years.|
Unsheathed|pulled a knife or sword out from its covering|The warrior unsheathed the blade, raised it above his head and plunged it towards the enemy.|
Unsightly|ugly; hideous|Cinderella’s unsightly stepsisters were so ugly that their own reflections scared them.|
Unsolicited|not welcome or invited|The new mother wished she could stop family members from giving unsolicited advice on how to care for her baby.|
Unsophisticated|basic; not complicated or highly developed|The unsophisticated factory version of the vehicle sells for a much lower price than one purchased with all the bells and whistles.|
Unspeakable|to horrific or horrible to be expressed in words|The murders suspect was arrested for his unspeakable crimes, and the jury will soon hear about the horrible things he did.|
Unstable|not balanced or steady|The unstable chair crashed to the floor when the heavy farmer leaned back in it.|
Unstable|unsteady or wobbly|After years of wear and tear, the rocky table finally collapsed onto the floor.|
Unstinting|generously giving|The man showed his unstinting support of the business by writing several checks during hard times.|
Unsubstantial|lacking firmness or strength|It wasn’t until he fell from the cliff that the rock climber realized his unsubstantial rope was too thin for the climb.|
Unsubstantiated|not supported by evidence or proof|His unsubstantiated claim of being related to royalty could not be taken seriously, as he had no proof to support it.|
Unsullied|untainted; pure|The groom was happy to discover his wife was an unsullied virgin on their wedding night.|
Unsung|not praised or celebrated|An unsung champion, the nameless soldier was never even honored for his heroic acts.|
Unsure|not certain, having doubts about a situation|Because she was unsure of the answer, the puzzled girl didn’t raise her hand in class.|
Unsurpassed|unmatched or better than any other|The chef’s culinary skill was unsurpassed by any of the mediocre cooks in the kitchen.|
Unsuspecting|being naïve and unaware, especially of the presence of danger|The unsuspecting driver never expected to be carjacked in the middle of a busy roadway.|
Unsustainable|not able to be maintained for long periods of time|Although Tremaine is able to work 16 hour days right now, this kind of work schedule is unsustainable for long-term.|
Unsympathetic|uncaring and unwilling to show compassion to others|Cold and unsympathetic, Carl was selfish and only cared about his own problems.|
Untenable|not capable of being supported or maintained|The losing debate team had an untenable argument.|
Untenanted|describes a house or room that has no one living in it (vacant)|Because the home is untenanted, the landlord has plenty of time to fix up the vacant property.|
Untidy|messy and unorganized|A maid is needed to help the clean the untidy home.|
Until|before (a specified time)|I cannot go home from the hospital until my doctor gives the okay.|
Untimely|taking place at an unsuitable time|The president's untimely death has thrown the country into chaos.|
Unto|an old form of the word “to”|Do unto others as you would like them to do unto you.|
Untrammeled|free; not limited or restricted|The captured lion longed for the days when he lived untrammeled in the wide-open grasslands.|
Untrue|false; wrong|The rumor was untrue, but a lot of people believed the lie.|
Unusable|broken or unable to be used|Because it is unusable, the chef decided to throw the broken mixer into the trash can.|
Unused|something new that has not been used before|Please place any unused towels back on the rack for the next customer.|
Unusual|rare or uncommon|It isn’t unusual for the employee to take off from work since she likes to stay home at least once a week.|
Unusually|uncommonly; rarely happening|Unusually hot weather meant that there was swimming but no snow in November.|
Unutterable|to intense or horrible to be described with words|The man lashed out in an unutterable rage that scared everyone in the parking lot.|
Unvanquished|not beaten or defeated|Athens agreed to leave the city unvanquished as long as Sparta agreed not to attack again.|
Unveil|to reveal or show something|Even when the children won’t listen to her, the calm teacher remains composed and unruffled.|
Unveiled|revealed or showed something|Eli Whitney unveiled a special machine to the crowd that would change the way that cotton was processed.|
Unwarranted|not deserved or justified|Although the punishment seems unwarranted, the mother has the right to discipline her child as she sees fit.|
Unwary|not cautious or aware of danger|Although he should have been afraid of the wolf, the third pig seemed unwary.|
Unwavering|never doubted; always steady and on course|The runner was unwavering on his decision to run a marathon.|
Unwieldy|hard to relocate because of its size|The young boy found it difficult to hold the unwieldy ball because of its huge size.|
Unwind|to relax and let go of stress|After a long day at work, the waitress needed to put her feet up and unwind.|
Unwise|foolish; not smart|Even though she was book smart, the foolish girl continued to make unwise money decisions.|
Unwitting|ignorant or unaware|The unwitting buyer has no clue what her interest rate is or how long she will have to pay on the loan.|
Unwittingly|ignorantly or in a way that shows one is unaware|Not realizing she was sick, the passenger unwittingly spread her cold to the man sitting next to her.|
Unwonted|something not seen often; not ordinary|Since Bill rarely came to church, even the priest was shocked by his unwonted appearance at the service.|
Unworthy|not fit or deserving|The author is unworthy of the award because she copied her book from another writer’s ideas.|
Unwritten|not recorded in writing|Because the oral business agreement was unwritten, there was no paper to prove it existed.|
Unyielding|not flexible; not easily moved or swayed|My unyielding father refused to increase my allowance.|
Up|awake|The farmer’s wife was up with the sun, making sure to feed the chickens before six each morning.|
Upbeat|positive; cheerful|The cheerleader’s upbeat attitude got the crowd excited.|
Upbraid|to harshly criticize|Without a doubt, my parents are going to upbraid me for not passing any of my classes this semester.|
Upbringing|one’s childhood background|The thief didn’t have the best upbringing and many of his bad habits date back to his childhood.|
Upcoming|happening in the near future|While preparing for her upcoming wedding, the bride ordered fresh flowers and cake.|
Update|to keep someone informed|The doctor assured us that she would update us on dad’s progress every couple of hours.|
Upended|turned or set something upside down|The frantic woman upended her purse dumping all of the contents out in search of her keys.|
Upfront|direct and honest|It’s best to be upfront and honest with people about your true intentions.|
Upheaval|an abrupt disruption or change|The sudden closing of the interstate exit is going to be an upheaval for local residents.|
Uphold|to support or defend something|The mother coddles her grown son and will always uphold him, even when what he is doing is wrong.|
Upholstery|materials used to cover furniture|Leather upholstery was added to the seats of the car to give it a different look.|
Upkeep|the process of keeping something in good condition|Because our yard requires so much upkeep, we hired a landscaping company to keep it pretty.|
Uplift|to inspire and encourage someone|Nothing can uplift a sad child’s spirits like a two-scoop ice cream cone.|
Upon|a formal form of the word ‘on’|Upon receipt of this document, please give me a call to let me know it has made it to you.|
Uppity|snobbish, self-absorbed, filled with self importance|The elderly lady was an uppity woman who believed her breeding and social class made her better than others.|
Upright|sitting or standing in a straight position|I can never fall asleep if I am sitting in an upright position.|
Uprising|an act of resistance or rebellion|The slave uprising led to several of the revolting men and women to be freed by their masters.|
Uproar|a situation in which many people are upset or angry|Uproar over the art piece began after it was found to be a fake.|
Uproarious|exceptionally funny|The comedian’s jokes were so uproarious I laughed until my stomach began to hurt.|
Upset|emotionally troubled or stressed|News of her father’s death caused the girl to become very upset.|
Upshot|the final or end result of an event or situation|The upshot of the investigation is that the police will not face any charges.|
Upside|a positive benefit; an advantage|The only upside to staying in the crappy hotel is that the rooms are cheaper than any other place.|
Uptight|overly tense and anxious|Because she is so uptight, Liz spends most of her days worrying about things that can’t be fixed.|
Upward|moving towards a higher place|We continued to climb upward, only stopping when we reached the building’s top floor.|
Urban|related to a city|Urban farmers are finding ways to grow food in cities with little farmland.|
Urbane|marked by sophistication|Henry is an urbane traveller who has visited over eighty countries.|
Urbanity|being suave and sophisticated|The suave man’s urbanity made him a shoe-in with the young ladies as well as their mothers.|
Urbanization|the process by which cities grow|Urbanization of the town can only occur if large employers move into the area.|
Urchin|a young child that runs through the streets in dirty clothing, behaving badly|The little urchin ran through the streets of New York barefoot and looking for trouble.|
Urge|to strongly persuade|Even though my wife hates crowded events, I tried to urge her to go to the career fair because it would help her get a job.|
Urgency|a state requiring quick action|The urgency of the situation required an ambulance to be called right away.|
Urgent|very important and needing immediate attention|The bill collector left an urgent message in hopes that the debtor would call her back right away.|
Urgently|in a way that requires quick action|The telegram was sent urgently to quickly warn the other ship of the iceberg.|
Urn|a vase that is used to hold the ashes of a body that was cremated|After my grandpa was cremated, his ashes were placed in a floral urn for safe keeping.|
Ursine|resembling or relating to a bear|The hairy man resembled a grizzly and was as tall as any ursine in the woods.|
Usage|the action of something being used|The usage of a car allows us humans to travel great distances in a short amount of time, something that has helped us develop as a civilization quickly.|
Usage|the action of using something|Because of our high cell phone usage, we decided to upgrade to a better plan.|
Use|to utilize or make employ something for a purpose|The carpenter was able to use a saw to cut the boards.|
Useful|helpful; handy|My grandmother expects all children to be useful and help with household chores.|
Usefully|in a way that is beneficial or helpful|The man must take medicine for his failing kidneys to function usefully.|
Useless|not having value or purpose|If you won’t take the medicine that he gives you, going to the doctor is useless.|
Usher|a guide that shows someone to their seats|Guiding the man and women to their table, the usher let the couple know that their waiter would be there soon.|
Usual|normal; typical|We will give up our usual trip to the beach for a vacation to somewhere exotic.|
Usually|normally; typically|The woman usually cooks at home to save money, but tonight has decided to splurge on takeout.|
Usufruct|a law legal right by one person over the property of another|The man’s will gives his wife 30 year usufruct, but after that the house would go to his children.|
Usurp|to take over; to seize or use something without authority|Since Lisa could not attend the dance, Marie had plans to usurp the title of homecoming queen.|
Usury|the act of lending money at ridiculously excessive rates of interest|When borrowing money, check the interest rate for usury because you do not want to pay an extreme rate of interest.|
Utensil|a tool with a particular use, especially in a kitchen or house|The only thing needed to seal the deal is a writing utensil to sign the check.|
Uterus|the pear-shaped organ of a woman in which a baby forms before being born|The fertility doctor explained to the woman that she could not carry a baby in her uterus because it is unusually shaped.|
Utilitarian|useful and not simply for appearance|Because Ann sees her car only as a utilitarian asset that transports her, she is not concerned about its appearance.|
Utilitarianism|an theory that says actions that are harmful to certain individuals are justified if they help the majority|Because the focus is on the whole and not individual needs, societies practicing utilitarianism have laws like population control.|
Utility|useful and able to perform several different functions|The utility vehicle was designed to carry loads more efficiently than other types of trucks.|
Utilization|the use of something, usually in a practical way|For max utilization of the space, we need to buy compact storage containers.|
Utilize|to use something, usually in a practical way|If you utilize your time wisely, you will be able to finish all of your chores by lunch.|
Utilizer|someone who uses a situation or object to their benefit|Carrie is a heavy utilizer of Facebook and uses the platform to market her products.|
Utmost|greatest; ultimate|For a secret service agent, it is of the utmost importance that the President remains safe.|
Utopia|a perfect world|In Jane’s utopia, everyone would wait on her and call her Princess Jane.|
Utter|total or complete|The billionaire’s utter lack of arrogance makes him very approachable.|
Utterance|spoken word; something that someone says|Every utterance coming from the mouth of the accused thief made the king even more angry.|
Uxorious|describes a man who shows great (often extreme) submission or fondness towards his wife|The uxorious husband catered to his wife’s every whim, cooking her dinner at night and running her bath water in the morning.|
Vacancy|an opening or opportunity|Because there was no vacancy at the inn, Mary and her husband had to sleep in a manger.|
Vacant|available; unoccupied|I have to share a room with my brother since the only vacant one does not have air conditioning.|
Vacate|leave; move out of|The guards were ordered to never vacate their posts.|
Vacation|a period of rest or recreation in which a person stops working or going to school and focuses on fun|During his vacation in Mexico, the man spent most of his time relaxing in a hammock on the beach.|
Vacationer|someone out of town on a special trip|The vacationer spent most of her summer trip to Miami on the beach relaxing.|
Vaccination|injection of a special substance that is made of a weakened virus or disease that is used to prevent them from getting the actual illness|A vaccination schedule was set up so that the infant could receive all her needed shots.|
Vaccine|a special substance that is made of a weakened virus or disease that is used to prevent them from getting the actual illness|The very first vaccine was created by a scientist looking for a substance that would prevent people from getting smallpox.|
Vacillate|to waver between different opinions or actions; be indecisive|If you ask Paula to choose a restaurant for lunch, she will vacillate between restaurants forever.|
Vacuity|emptiness or blankness, often used to criticize someone or something because of lack|The Scarecrow’s vacuity led most people to assume that he didn’t have a brain.|
Vacuole|a small cavity within the cytoplasm of a cell that contains fluid|A vacuole is a small cavity of fluid inside a cell that keeps that fluid stored until it is needed by the cell.|
Vacuous|containing lack of thought or intelligence; containing nothing; empty|There is no substance to her vacuous claim on the property!|
Vacuum|to suck up dirt and other debris from a surface (usually carpet) using a household device with the same name|It took the party planner an hour to vacuum all the confetti littering the dance floor.|
Vagabond|a person who wanders from place to place without a home or job|Gandhi was a famous vagabond who wandered from place to place spreading words of love, independence, and nonviolence.|
Vagarious|having erratic and unpredictable behavior|When in a manic phase, the vagarious woman’s behavior was quite unpredictable.|
Vagary|an unpredictable action or behavior|When the temperature dropped to freezing conditions on a summer day, it was a vagary of the weather.|
Vague|not described well|My blind date’s vague description did not help me locate him in the crowded restaurant.|
Vaguely|not being clear|Because Amy was heavily sedated, she only vaguely remembered her hospital stay.|
Vail|to lower an item or oneself as a form of respect, acknowledgment, or mourning|Citizens vail the flag in mourning when important political figures pass away.|
Vain|without success|After Vera failed the class, it was obvious her long hours of studying were in vain.|
Vainglorious|overly proud of one’s own achievements; tending to boast about personal accomplishments|The vainglorious trainer spent more time flexing his own muscles than he did helping build his client’s.|
Vainglory|extreme pride in ones work that can be excessive and showy|The student was filled with such vainglory over his Harvard admission that he made several copies of his acceptance letter and sent them to all of his relatives.|
Vainly|without success|After staying up late to watch horror films with her friends, Aria vainly tried to fall asleep but was haunted by the bloody scenes from the movie.|
Vale|a large flatland usually between a mountain or rock formation|The children picked wildflowers and played in the wide vale between their cottage and the mountains.|
Valediction|saying goodbye with an action|Jane waited for his valediction, but his stormed out of house without a single word or wave goodbye.|
Valedictorian|a student, typically having the highest academic achievements of the class, who delivers the valedictory at a graduation ceremony|The valedictorian had an impressive GPA that earned her admission to all of the top 3 Ivy League schools.|
Valedictory|a big goodbye/farewell speech/announcement|Before the president leaves the White House forever, he makes a valedictory that is broadcasted on all major television networks.|
Valence|highly energized electrons that are used in chemical bonding|In order to figure out if two chemicals will bond, first you must find the valence by looking at the number of electrons involved.|
Valentine|a card sent, often anonymously, on St. Valentine's Day (February 14) to a person one loves or is attracted to; a person to whom one sends a card on Valentine's Day|Ariel confessed her love to her best friend in a valentine but was too scared to send it.|
Valet|a servant/employee who sees to the needs of others by performing chores like parking cars, dressing, or making plans|Mark handed his car keys to the valet, grabbed his suitcase, and went to check in at the hotel.|
Valetudinarian|a person who is unduly anxious about their health|Every time he felt even a little bit sick, the valetudinarian would immediately look up his symptoms on WebMD and schedule a doctor’s appointment.|
Valiant|displaying determination or courage|The valiant police officer was willing to take on the entire gang to save the little girl.|
Valid|of an argument or point having a sound basis in logic or fact|During their debate on current politics, Jenna brought up a valid point about the number of citizens who do not vote.|
Validate|to demonstrate the truth of something|In order to validate the story we had been told by our friends, we had to investigate the truth of the matter for ourselves.|
Validation|checking and approving the accuracy of something|After validation of your rental application is completed, we will show you which properties we have available.|
Validity|the state of being valid, authentic or genuine|The validity of the suspect’s story was questionable to those who thought he was lying.|
Valley|a land area that is typically long and narrow between two mountains or hills and dips into the ground usually by running water sources|The horses run through the lush green valley and pause to drink from the stream.|
Valorous|brave|In many fairy tales, knights are valorous warriors who enter into not battle with nothing but bravery and a sharp sword.|
Valuable|a thing that is of great worth, especially a small item of personal property|The elderly woman took an old painting to an expert to estimate its worth and was surprised at how valuable it was.|
Value|to hold something at high importance or appreciate it above other things|After living on her own during college, Brielle started to value all the small things her mother did for her, like laundry, washing the dishes, and cooking her meals.|
Value|the amount something is worth|The value of the ring was much higher than the collector expected, so he was able to sell it for a nice profit.|
Valve|a typically cylindrical device that can be opened and closed that is used to direct the flow of liquid or air|The firefighters connected the hose to the fire hydrant and opened the valve to release the water.|
Vandalism|action involving deliberate destruction of or damage to public or private property|The couple was charged with vandalism after carving their initials into a famous sculpture.|
Vane|a person who changes his mind easily|The vane woman in front of me at the drive-thru kept changing her order.|
Vanilla|ordinary and plain with no extra features or standards|This vehicle is too vanilla for a driver who likes a lot of bells, whistles, and exclusive features.|
Vanish|disappear from sight|The child watched in wonder as the magician made the coin vanish from behind his ear.|
Vanity|excessive pride in or admiration of one's own abilities, appearance or achievements|Because vanity had caused too many girls to be late for classes, all mirrors were removed from the restrooms.|
Vantage|a place or position affording a good view; an advantage|From my vantage point on the roof I could make out the advancing troops.|
Vanward|toward the forefront of an action or movement|Pointing vanward, the general instructed the soldiers to move toward the front of the line.|
Vapid|lacking liveliness; dull|To me, baseball is a vapid sport that quickly puts me to sleep.|
Vapor|a substance diffused or suspended in the air, especially one normally liquid or solid|Mariah breathed in the cleansing vapor of the steam room and instantly felt more relaxed.|
Vaporization|the rapid change of water into steam, especially in a boiler|Vaporization occurs when water is subjected to extreme heat and turns into steam.|
Vaporize|convert or be converted into vapor|If you boil water on the stove too long, it will vaporize and cook until the pan is completely empty.|
Vaquero|someone who rides atop a horse and herds farm animals from place to place typically in Spanish speaking regions|The vaquero rode his stallion quickly through the farmland to catch up to the heard of cows.|
Variability|constantly changing and inconsistent|Gas prices are known for their variability because they increase and decrease by the gallon every other day.|
Variance|at odds with or conflicting with|The girl’s confident pose was at a variance with her shaky voice.|
Variant|a form or version of something that differs in some respect from other forms of the same thing or from a standard|A variant form of the virus made traditional methods of treatment ineffective.|
Variation|something that is slightly different from the original|Rugby is a variation of football.|
Varied|showing different types or results|Scientists performed the experiment many times but every time the results varied.|
Variegated|having patches, spots, or streaks of different colors from the underlying or base color|Calico cats have variegated patches of fur.|
Variety|a number of different types of the item|The small bakery held a variety of cupcakes, pastries, and muffins in exciting flavors like cotton candy and passion fruit.|
Various|different types of the same basic item|Her shelves were filled with various books from medical dictionaries to popular fiction and everything between.|
Various|a variety of different forms of the same basic object or idea|Briana stared at the various flavors of chips and couldn't decide which one to buy.|
Varlet|a servant that often works as an attendant|The wealthy family hired a varlet to answer the door and usher in guests whenever they hosted important events.|
Vary|to differ; usually when making comparisons|Temperatures vary from city to city, even in the same state.|
Vascular|a system that transports fluids through a living creature|The vascular system is more commonly known as the circulatory system.|
Vasoconstriction|the shrinking of blood vessels that often inhibits proper circulation and increases blood pressure|In blistering cold environments, vasoconstriction of the veins causes blood flow to move to the center of the body and reduces odds of freezing to death.|
Vassal|a worker of a lord who is working off his debt in return for safety from the lord|When the vassal took an oath from the lord of the manor, he knew that his employer would require him to tend to the fields until his obligation was met.|
Vastly|to a huge or immense extent|Although humans and chimpanzees are related, they’re vastly different in appearance and mannerisms.|
Vat|a massive container used to hold liquid|They brewed the beer in a large vat and then transferred it into barrels to age.|
Vatic|predicting or describing what will happen in the future|The psychic’s predictions weren’t truly vatic but something that he tells to every customer.|
Vaudeville|a type of theatre entertainment in the 19th and 20th centuries, consisting of short performances by dancers, singers, and comedians|Singers, dancers, and jugglers stood by and prepared to perform their vaudeville acts.|
Vault|a typically spacious room used as storage for valuables|Archeologists stumbled upon an underground vault filled to the prim with ancient sculptures, gold, and other valuables.|
Vaunt|brag, boast, or excessively praise|China likes to vaunt its military strength, intimidating her neighbors.|
Vector|a line that usually veers and can be the result of force|Military aviators study the vector between their aircraft and the enemy in order to calculate how to intercept.|
Veer|to swerve or change direction|She helplessly watched the car in front of her veer into oncoming traffic and let out a breath when they quickly navigated back into the proper lane.|
Vegetarian|someone who chooses to abstain from eating meat|She became a vegetarian over the holiday when she gave up all meat for Lent.|
Vegetate|to exist in a meaningless, unchallenging, and lazy state|On the weekend, the tired student loved to vegetate in her room for hours just watching movies and eating popcorn until she fell asleep.|
Vegetation|plant life that often covers the expanse of an area|The rolling hills were filled with all sorts of vegetation.|
Vehemence|intensity and forcefulness|Because of his vehemence when talking about the topic, the Civil Rights leader was known for his intense speeches.|
Vehement|deeply felt; passionate|I was vehement about monitoring the actions of the police as they sought my husband’s killer.|
Vehemently|to do something forcefully and often passionately|The scorned young woman vehemently rejected her ex-boyfriend’s pleas to forgive him.|
