Galore|in a huge amount|Because there is food galore at the party, I know I will not go hungry.|
Geothermal|relating to the internal heat of the earth|Geothermal energy is created deep down in the earth and can provide heating and cooling for your home.|
Germ|the onset of an idea that can turn into something big and important|Most successful movies and novels start with a germ of an idea to become hits with the audience.|
Germane|relating to a subject in an appropriate way|Since we were running out of time, our professor asked us to limit our questions to those germane to today’s lecture.|
Germinate|to mature or develop|Without sunlight, the seeds will not germinate.|
Gerrymander|to separate an entity like a region or state into political divisions so that one party has an unjust advantage|The politician hoped to gerrymander the western states so his party could control electoral regions.|
Gestapo|the secret police of Nazi Germany that was organized during 1933|In 1933, Adolf Hitler became chancellor of Germany and the Gestapo were established as a secret police force.|
Gesticulate|to express a thought using gestures|When Jason got angry, he started to gesticulate his feelings with his hands.|
Getaway|a quick escape or departure|Driving the getaway car, the third masked man helped the other robbers make a quick escape.|
Getup|an outfit or costume|Dressed in an outrageous getup, the Halloween party goer knew he would win the best costume award.|
Gewgaw|something that is flashy or showy but ultimately useless or pointless|If you ask me, an expensive sports car is little more than a gewgaw, since it doesn’t do anything that a regular car doesn’t do with just a little less style.|
Geyser|a hole in the ground (natural spring) from which hot water and steam come out|Hiking up to the geyser, the group of tourists were amazed by how high the spring water shot into the air.|
Ghetto|an area in the city designated for imprisoning the Jewish people during World War II before being transported to a concentration camp|Many Jewish people died in their ghetto due to living in small quarters of their hometown and being exposed to disease.|
Ghoul|an evil spirit or undead creature that is believed to feed on corpses|The ghoul is a fictional undead creature that is usually the corpse of some dead person that wants to feed on the living.|
Ghoulish|unusually interested in death or destruction|The ghoulish individual had a sick fascination with death, which may have been what spurred him to commit those heinous crimes.|
Gibberish|babble or nonsense words or utterances|As the Martians landed on Earth, the people who encountered them said they couldn’t understand their gibberish when they spoke.|
Gibbet|a wooden structure used for executing criminals by hanging them|The spy was convicted for treason and hanged on a gibbet.|
Gibbous|a moon phase in which the illuminated part is greater than a semi-circle but not all the way full|The large, gibbous moon illuminated the night sky with only a small sliver missing.|
Gibe|an insulting comment|Jack never failed to make a gibe about his ex-boss who married his ex-wife.|
Giddy|displaying immense happiness|An overindulgence in alcohol made Edith feel giddy enough to dance on the dinner table.|
Gift|a present or some other thing given to someone as an act of kindness|When arriving at the party, the children each gave a wrapped gift to the birthday boy.|
Gifted|having a special talent or ability|From an early age, the gifted child was able to sing with perfect pitch.|
Gigantic|really big in size|The gigantic elephant is the largest land animal on earth.|
Gigantic|very large in size|The people were driven into despair when a gigantic tornado swept through their small town destroying many homes.|
Giggle|a gentle quiet laugh|While watching the premiere of a new comedy show I started with a smirk then a giggle, then a full out laugh.|
Gild|to make a light cover of gold or fake gold over something|Jewelers have a tendency to gild cheaper rings, necklaces and bracelets with the least amount of authentic gold just so they can call it gold jewelry.|
Gimcrack|something that looks nice but is of poor quality or make|The seemingly fancy dress that my sister bought is little more than a gimcrack, looking nice but being of rather low quality.|
Gimmick|a new concept or plan which gets noticed but really is worthless|The salesman’s gimmick was to lure teenagers into purchasing the new cell phone for its secret messaging system, but this feature really didn’t work.|
Gingerly|gently|After falling from the horse, he gingerly tried to stand on his throbbing foot, and found that he couldn’t.|
Girth|the distance measured around an object|According to the records, the girth of Sylvia’s waist was the smallest in the state at only eighteen inches.|
Gist|the main idea or point|Because Ken told his story in a confusing way, I could not get the gist of it.|
Given|having been provided or supplied with something|The boy was given a used car as a 16th birthday present.|
Glacier|a sizable piece of ice that travels in a downward path over a broad land area |The glaciologist spent thirty years studying the path of the slow-moving glacier.|
Glad|pleased; delighted in a thankful way|Although most people hate the wet weather, the local famers are always glad when it rains.|
Glamorous|stylishly fashionable|Dressed in a mink coat and long satin gown, the glamorous celebrity strutted down the red carpet.|
Glance|to look briefly at something|The driver gave a glance back as he moved into the passing lane.|
Glare|A fierce and angry stare|Giving off a killer stare, the icy inmate refused to let up his glare.|
Glaring|frowning; looking angrily|Glaring out at the crowd, the angry police officer ordered the protesters to leave immediately.|
Glasnost|the policy of providing more consultative and open information as a government|Many people prefer the glasnost policy in their government, because they do not like the idea of the government hiding things from them.|
Gleam|to shine brightly|After they were waxed, the building’s floors seemed to gleam with brightness.|
Glean|to gather information in pieces |From several library resources, Sara was able to glean enough information to write her research paper.|
Glee|intense happiness or joy|Smiling with glee, the child unwrapped his birthday gift.|
Gleeful|delighted and joyful|Laughs could be heard from outside their daughter’s bedroom door as she and her gleeful friends were having a slumber party.|
Glib|speaking easily but without thinking carefully; speaking in a smooth, easy way that is insincere|How could he have been so glib about such a traumatic event?|
Glibly|performed or said without any consideration or effort|Without thinking about her future, the secretary glibly contradicted her boss.|
Glibness|talk that is superficial and insincere|In a world of glibness and superficiality, the man’s humbleness is a rarity.|
Glide|to slide across a surface smoothly|As she began to glide on the ice, the skater moved with an air of gracefulness that was unmatched by others in the arena.|
Glimmer|a faint or flickering piece of something|Even after several back to back losses, the boxer still had a glimmer of hope.|
Glimpse|a brief look|Using my long distance lens, I was able to catch a glimpse of the celebrity.|
Glint|a small flash of light reflected off of a surface|Sun glint reflections caught the attention of those traveling across the desert in a caravan.|
Glisten|to shine|Rays began to glisten off the Hudson Bay as the morning sun rose over the water.|
Glistening|shining|Drooling from the stadium, the fan couldn’t help but notice the player’s shiny muscles glistening with sweat.|
Glitch|a sudden malfunction|A glitch in the system caused all of the computers to reboot automatically.|
Glitter|tiny pieces of reflective material that are usually used for decoration|Glitter lined the girl’s fancy prom dress to help it sparkle in the light.|
Gloaming|dusk; twilight|The thin crescent moon provided a hint of light in the night’s sky in the gloaming.|
Gloat|to take satisfaction in something that makes another person seem inferior|If you are the winner of a contest, you should not gloat and make your competitors feel inferior.|
Global|worldwide|A global outbreak of influenza wiped out millions of people from countries around the world.|
Globalization|the process by which businesses begin operating worldwide|The company can’t achieve globalization if there is no interest for their product in Europe or China.|
Gloom|poorly lit and hard to see through|Tommy stumbled through the gloom in his dark room and nearly tripped over his shoes.|
Gloomy|dim; dismal|Because the sky looked gloomy, I took an umbrella to work.|
Glorious|magnificent; wonderful|Kara stared up at the glorious sunset, amazed by how beautiful the setting sun looked over the mountains.|
Glory|honor, fame and pride|The humble champion refused to accept all of the glory and gave credit to his trainer.|
Glossary|a list that gives definitions of the tough or unusual words found inside book|In the back of the chef guide there was a glossary that explained some of the unique cooking terms.|
Glossy|something that is superficially attractive|That sports car is glossy and all, but a far less expensive car could still let you get around, so why did you buy it?|
Glum|looking or feeling unhappy; bummed out|The teenager used to have many friends, but now his negative and glum attitude made people hesitant to be around him.|
Glut|an amount in excess of what is normal or necessary|Since I love dramatic films, I can’t wait for the glut of superhero films to disappear.|
Glutinous|sticky or gooey|Wading through glutinous mud caused the hunters to get bogged down and their boots stuck.|
Gnarled|deformed or knotted |The rheumatoid arthritis had caused the once talented pianist’s fingers to become gnarled.|
Gnash|grind (one's teeth) together, typically as a sign of anger|The caged tigers gnash their teeth and lunge at the bars.|
Gnaw|to chew on something with persistence|The dog started to gnaw on his leash.|
Gnome|a tiny, make-believe creature that resembles an old man who has a beard and a pointed hat and are seen commonly as terra-cotta figures in gardens|Gretta was interested in the tiny little garden gnome whose eyes seemed to follow her through the rows of flowers.|
Go|to move or travel from one place to another|Every time I go to the store, I drive past a fruit stand with yummy grapes.|
Goad|provoke or annoy (someone) so as to stimulate some action or reaction|During lunch in the cafeteria today, my rival tried to goad me into a fight so I would get suspended from school.|
Goal|an aim or target that one wants to reach|The students set a goal to read at least 100 books by the end of the school year.|
Gobbledygook|complicated or technical language that is difficult to understand|My geometry teacher was speaking English, but it was all gobbledygook to me.|
Gobsmacked|astonished or utterly surprised|I was left gobsmacked when I say my large Mastiff sleeping on the couch in the living room, rendering the furniture one giant hairy mess.|
Godsend|a person or thing that serves as a blessing or benefit|Zell is such a godsend to Beth’s life because he always supports and encourages her to do her best.|
Godspeed|good tidings or good news|During the holidays, we send greeting cards wishing people Godspeed.|
Goer|a person who goes to a place or attends an event, especially on a regular basis|As an avid beachgoer, Janine tries to visit a few new shores every summer.|
Gold|a shiny, yellow colored precious metal that is used to make coins, jewelry, and other valuable items|The explorers searched for gold, but never found any precious metal in the colonies.|
Gong|a large, flat piece of metal that is circular and lets out a loud tone when struck with a hammer|A suspended gong is an Asian musical instrument that is played with a larger and softer hammer.|
Good|respectable and noble; supplies and resources|When the patient’s illness was cured, she realized she had a good doctor and nurse taking care of her.|
Goodies|things that are pleasing and wanted especially tasty food|Each year, children dress up in costume and go door-to-door getting goodies on Halloween.|
Goodly|large in size or amount|The nearest grocery store is a goodly distance away from our farm, so the walk there takes a while.|
Gooey|soft, sticky and viscous|Because honey is a gooey substance, it takes a great deal of work to remove it from a jar.|
Goop|a semi-liquid substance that is sticky and gooey|The mother rubbed the sticky goop from her toddler’s eye while he was suffering from a cold.|
Goose|a silly or goofy person|Trey is known for being a silly goose who always tries to make people laugh and giggle.|
Goosebumps|bumps on the skin from fear, cold, or extreme happiness|She got goosebumps whenever her crush whispered in her ear.|
Gore|blood that is from an injured person|The movie was pretty good even though it had too many blood and gore scenes for my taste.|
Gorgeous|something that is beautiful or especially attractive|The man was in love with the woman he saw because she was gorgeous, but even though she was beautiful he knew nothing about her.|
Gorgeous|beautiful and stunning usually in looks|As the gorgeous girl was spotted by the modeling agency, everyone knew she would be a model because no one could take their eyes off of her.|
Gormandize|to eat lots of food greedily|After sevearl hours without food, the hungry baby is ready to gormandize his next bottle.|
Gormless|stupid; without intelligence|The doofus sat in the corner with gormless expression on his face and a dunce cap on his head.|
Gossamer|a light and thin material |Through Carla’s gossamer sleeves, we could see her thin arms.|
Gossip|someone that enjoys talking about the private lives of others|My mother is a real gossip, constantly talking about other people behind their backs about all sorts of private things.|
Gouge|a hole, dent or tear in something|The refrigerator legs, left a gouge in the vinyl flooring when I moved it out to clean behind it.|
Gouging|to force people to pay more than they should; overcharge|Price gouging was wide spread on winter weather related items during the unexpected severe winter storm.|
Gourd|a fleshy large fruit with thick hard shell|Early man would use a gourd for a bowl, fishing net and musical instruments.|
Governance|a manner of governing or the act of governing|Because our system of governance in this town is so inefficient, we are looking into a new mayor in the next year or two.|
Government|the ruling body of a nation, state, or community|Each of the three branches of government share power, meaning no one section is in full control of national decisions.|
Governor|a person who is the leader of the government of a state|Though he talked a good talk, the governor of Louisiana was clueless on how to balance a budget and left the state bankrupt.|
Gown|a full-length, loose-fitting dress|Wearing a magical gown, Cinderella sashayed into the ball in search of her Prince.|
Gown|a long, close-fitting dress that a woman wears to events|The red carpet star war a chic gown and fancy shoes that complimented her dress.|
Grab|to take hold of something|Falling from the cliff, the mountain climber tried to grab the ledge but had not grip.|
Grace|elegance in movement|The dancer’s grace shined every time she danced on the stage.|
Graceful|having agile and fluid movement or speech|The sophisticated skater had a graceful air as she swirled around on the ice.|
Gracefulness|the state of moving elegantly|The woman’s gracefulness on stage caused her to look as if she was walking on air.|
Graciousness|kindness and warm courtesy|The graciousness in Mrs. Kennedy’s speech showed the crowd how kind she was.|
Gradation|a gradual transition from one phase or stage into another|Although ravens, crows, and blackbirds all come from the same family, they have a gradation in color and wing span.|
Grade|a level of quality, size and importance|I will only purchase the best grade eggs even though the cost is higher.|
Gradient|the curve of a road that increases in elevation forming a shape like a hill|Riders screamed as the rollercoaster paused on the highest gradient and then dropped straight down.|
Gradual|slowly or bit by bit|It is usually a bad idea to jump from a cold environment to a hot one, so you should look to heat yourself through gradual means if you’ve been out in the cold.|
Graduation|the act of receiving an academic diploma or degree|Before graduation, I took pictures with proud family members who had come to watch me receive my diploma.|
Graffiti|writing or images drawn somewhere in public (usually on a wall) without permission|Local gangs covered the train cars with graffiti symbols representing their cliques.|
Graft|corruption, specifically use of a politician's authority for personal gain|Many people believe the president is guilty of graft since his personal businesses will indeed benefit from his political position.|
Grail|the object of an extended or difficult quest|When the flat screen television first hit the market, it was the holy grail of the T.V. industry.|
Gram|a metric unit that is used to measure mass and is 1/1000 of a kilogram|The patient took a two gram does of the medication each morning before bedtime.|
Grammatical|related to the structure of a language (grammar.) |Mya’s writing teacher showed her how to correct her grammatical errors and make her language stronger in her paragraphs.|
Granary|a storehouse for grain|Part of the barn has been converted into a granary to store wheat.|
Grand|large and impressive|The Titanic’s grand staircase, large and ornate, was completely gone when the remainder of the ship were discovered in the 1980s.|
Grandeur|the state of being magnificent or overwhelmingly impressive|During the tour, the grandeur of the royal palace left me speechless.|
Grandiose|appearing to be impressive but not really possible or practical|The idea of throwing a party on top of the swimming pool seemed quite grandiose to everyone in the room.|
Grandstand|a covered seating area typically in a sports arena|The NASCAR enthusiasts peered from the shaded grandstand and watched the cars speed around the track.|
Grange|a farmhouse or homestead|Dusting his boots off, the farmer stepped into his grange after a long day on the ranch.|
Granite|stonework|Granite steps lead into an immaculate foyer where stonework continued into the sitting room.|
Grant|to consent to provide something that was asked for|Since the couple proved they had been working full-time for the past three years and had limited bills, the bank decided to grant them a house loan.|
Granted|allowed|Although the foreigner was granted entry the country temporarily, she had to leave when her visa expired.|
Graphic|related to visual art, especially drawing or lettering|The graphic design artist created a marketing photo using a high-tech visual art app.|
Grasp|to grip|He held her hand firm in his grasp and refused to let go.|
Grateful|thankful; appreciative |After failing the first test, the student was extremely grateful that her professor allowed a retake.|
Gratification|pleasure or satisfaction|No gratification was gained from the argument and both the husband and wife walked away unhappy.|
Gratis|without charge; complimentary|The homeless shelter provides food gratis for needy individuals.|
Gratitude|appreciation, thankfulness|Expressing her gratitude during her acceptance speech, the actress thanked her husband and parents for their support.|
Gratuitous|uncalled for; unwarranted; unnecessary|Even though I had been looking forward to seeing the movie, I walked out of the theater after thirty minutes because of so much gratuitous foul language.|
Grave|serious; critical|Because of her grave illness, the woman spent many weeks in the hospital.|
Gravel|cause annoyance in; especially by minor irritations|During an employee meeting, a department manager stood up and said “Don’t gravel your boss by being late to work every day or find another job.”|
Gravid|pregnant|The lizard was gravid with eggs soon after mating season.|
Gravitas|a dignity of manner or behavior; a leadership quality|A leader must have gravitas and be capable of commanding respect from others.|
Gravity|the force that attracts objects towards the center of the Earth|Newton discovered the force of gravity when an apple was pulled down from the tree he was sitting under.|
Graze|to scratch the surface of something|Thankful that the bullet was only able to graze his chest, the police officer took off after the suspect.|
Grazing|eating small portions of food throughout the day instead of large meals|The queen was grazing over fancy hors d'oeuvres all day and was too full to eat dinner.|
Grease|oil; lubricant|Grease was used to stop the squeaky wheel from whining.|
Great|large in size or dimensions|The great pyramids of Giza tower over the other stunning wonders of the world.|
Greatest|largest in size, number, or degree|The mastiff was the greatest of all the dogs at the park.|
Greatness|having superior and distinguished quality|The model’s greatness could not be overshadowed by others on the runway.|
Greed|the desire to have more than what one needs|The gator’s greed showed as he ferociously devoured a second piece of prey.|
Greedily|showing a selfish desire to have more and more of something|Staring at the third little pig greedily, the wolf couldn’t wait to have another pork chop for supper.|
Greedy|showing a selfish desire for more of something|The greedy billionaire had plenty of money but still stole from anyone who could increase his wealth.|
Greenhorn|a person that is a beginner or new to an activity|Veteran bingo players noticed that the greenhorn could not keep up with the fast caller.|
Gregarious|fond of the company of others; sociable.|When you walk in a room, you radiate gregarious energy, surely to brighten all gloomy souls.|
Grid|an object containing spaced bars that are parallel to or cross each other|When pressed down, the grid created perfect parallel lines across the waffles.|
Gridlock|a situation in which nothing is progressing or moving forward|Thanks to an accident occurring at a major junction, three sections of the city have been put into gridlock, with no one being able to move an inch.|
Grief|deep sorrow and distress|The death of her cat sent the woman into a period of grief.|
Grievance|an aggravation or complaint|Janet’s grievance against her neighbor has turned into a civil lawsuit.|
Grieve|to mourn or be upset over a loss|Taking the time to grieve the loss of a loved one is an important part of the healing process.|
Grievous|very serious and often causing a lot of pain or suffering|Hearing that you have cancer is always grievous news.|
Grim|dreary; miserable|The soldiers were grim after losing many of their comrades in battle.|
Grimace|a facial expression that usually indicates strong dislike or pain|Whenever I think of the time I wasted with my cheating ex-girlfriend, I cannot help but feel a grimace forming on my face.|
Grime|a thick layer of dirt|Grime and debris covered the floor of the construction site.|
Grimly|to do something in a cold or stern manner|Disappointed by the results, the bitter candidate grimly conceded.|
Grin|a smile|When he realized that he won the prize, a grin appeared on the man’s once sullen face.|
Grind|to crush something into small pieces|Using a machine to grind the coffee beans took a lot less time than pounding them by hand.|
Griot|a West African traveler who keeps the oral history of a tribe through storytelling, poetry, and other forms of entertainment|Wise and astute, the Nigerian griot was known for his tales of long ago.|
Grip|a tight hold|Holding onto the balloon with a tight grip, the toddler refused to share his inflatable.|
Gripe|to complain|The only thing the finicky patron could find to gripe about was the dull silverware.|
Grippe|Influenza; flu|Grippe symptoms caused the ill patient to run a fever and sweat profusely.|
Grisly|prompting panic or horror|After the accident with the meat cutter, Katie refused to let anyone see her grisly face.|
Gritty|courageous; brave|The gritty warrior refused to bow down, even in the face of death.|
Grizzled|having hair with gray streaks in it|His grizzled beard was no longer black like it was in his youth.|
Grizzly|a type of brown bear that is extremely large and lives in North America|The grizzly bear came into the clearing on its hind legs and roared at the hunters making a run for their truck.|
Groan|a low, mournful sound uttered in pain or grief|The boy began to whimper groan about going to school, making his parents suspect that something was not right.|
Groggy|being so tired and weak that one is unable to think or walk correctly|After taking the strong painkillers, the patient was groggy and could barely stay awake.|
Groove|a long, narrow channel or depression cut parallel to the grain onto a surface|The window screen slipped out of the groove within the frame and I had to quickly place it back in before it fell three stories to the ground.|
Grope|to feel around blindly for something|The homeowner began to grope around in the dark in search of a flashlight or candle.|
Groped|searched without light or certainty|In the dark, I groped for the light switch.|
Gross|disgusting, nasty|When I observed my skinned knee, a gross white slime oozed from beneath the scraped skin and blood.|
Grotesque|extremely ugly and strange|Diego pressed his face against the window so that what we saw was a grotesque distortion resembled some alien life form.|
Grotto|a small cave or cavern with attractive features|My best friend and I took a two hour adventure tour into a grotto which we could climb and crawl within it using supplied gear.|
Grouch|a moaner and complainer|My teenager will often become a grouch by whining when I simply ask him to clean his room.|
Groundless|with no basis in reality or no evidence of being the case|You have complained of poor customer service yet have not actually spoken to an employee yet, thus your complaint is groundless.|
Group|a number of people or items that are gathered together|A group of birds flew together over the bay.|
Grouse|a small, chubby brown bird that is hunted for food and sport|While perched on the cable wire, the large brown grouse made the wire dip due to his plump bod.|
Grove|a typically isolated small group of trees|While waves of grass made up the majority of the open plains, there is a small grove made up of a dozen trees or so to the west.|
Growl|A low, threatening sound usually made by an animal|Letting out a low growl, the dog let her owner know that someone was outside the door.|
Grown|the state of being already aged or progressing to a later level in development; finished growing|Oranges are grown year round in Florida.|
Growth|the process of increasing in size|Growth of our business has led us to search for a larger office space.|
Grudge|an intense feeling of dislike or animosity towards an individual who has treated you unfairly|It’s hard to not hold a grudge against the girl who bullied me for four years in high school.|
Grudgingly|in a manner expressing lack of desire|After losing our bet, my sister grudgingly agreed to do my chores.|
Gruel|a thin, runny version of porridge made by boiling oats in water or milk that is usually considered unpleasant|Though it looked disgusting, the starving man knew better than to pass up a bowl of gruel.|
Grueling|requiring great effort; extremely tiring|For over a year, Jake prepared for the grueling triathlon.|
Gruesome|triggering disgust or horror|The scary movie was filled with lots of gruesome scenes that made my stomach queasy.|
Gruff|severe in tone or manner |Although the old man pretends to be gruff, he is really warm and kind.|
Grumble|to whine about something|Grandpa likes to grumble about how rude it is that children are always on their cellphones at the dinner table.|
Grumpy|ill-tempered or unhappy|I am always grumpy in the early morning, rarely saying a word and frowning at everyone who bothers to look my way.|
Guarantee|assurance within an agreement that specific conditions be satisfied |Two days before the Super Bowl, my husband bought a new television that was on sale with a guarantee it will be delivered and set up before the game.|
Guardian|someone who is legally responsible for another person such as a child whose parents have died|After my brother, a single father of two boys was sent to prison for twenty years, I became the guardian of my nephews.|
Gubernatorial|associated with the office of governor|After the results of the gubernatorial election have been counted, we will have our new governor.|
Guerrilla|relating to the wartime strategy of a group or person who is not part of a traditional military|The guerrilla forces have been chased into the mountains by the country’s military.|
Guess|to give a response to a question or situation when you don’t really know the answer|The professor had us guess the answer to the question even though we weren’t totally sure.|
Guest|a person invited to visit someone’s home or to attend an event|Each guest was sent an invitation to let them know what time to arrive at the party.|
Guffaw|a noisy spurt of laughter|After the comedian told a funny joke, he was pleased to receive a large guffaw from the audience.|
