Aardvark|a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites|The long-eared aardvark slept all day and ate insects all night.|
Accomplishment|a goal or success that is achieved because of hard work|Being the first one in my family to graduate from college is an accomplishment that I’m very proud of.|
Accord|agreement or concurrence of opinion|The entire table was in accord that mozzarella sticks would be the appetizer.|
Accordance|to be in compliance with something or someone|The company refunded the customer’s money in accordance with their request based on the company’s money back guarantee.|
Accordingly|in a suitable way|Once the payment is received, we will process your order accordingly.|
Accosted|forcefully confronted|When the man accosted me with a gun, I quickly handed over my purse.|
Account|a statement of facts or occurrences|He gave a very vivid and often shocking account/description of his time in prison.|
Accountability|the state of being accountable; responsible for|Their lack of accountability has corroded public respect for business and political leaders.|
Accountable|held as liable for a person or thing|The boy lied because he didn’t want to be held accountable for breaking his neighbor’s window.|
Accounting|the system of recording and managing financial transactions and accounts|The millionaire hired an accounting firm to take care of his financial accounts.|
Accoutrement|an accessory used in a specific situation or for a specific task|The only accoutrement missing from my kitchen is a hand mixer.|
Accredit|to bestow official approval upon |During the ceremony, the dean will accredit students who met the graduation requirements.|
Accreditation|formal endorsement of a person, school program, or organization|When the school lost its national accreditation, it saw its enrollment dramatically decline.|
Accretion|act of increasing by natural growth|The accretion of traffic accidents and drunk driving was attributed to the opening of the new downtown mall.|
Accrue|increase|Even though a traditional savings count will accrue a small amount of interest every year, other types of investments are better hedges against inflation.|
Acculturation|a course by which a person’s or group’s culture is altered as a result of contact with another culture|Many immigrants have forgotten their native cultures because of acculturation in their new countries.|
Accumulate|to pile up or collect|I will accumulate wealth due to disciplined investing.|
Accuracy|the state of being correct or precise|The archer’s accuracy is spot on and he always hits his target.|
Accurate|without mistakes|Since you did not type in the accurate pin number, you cannot withdraw funds from the ATM.|
Accurately|exactly, precisely|It's still not possible to accurately predict the occurrence of earthquakes.|
Accusation|a charge or claim against someone in which they are accused of doing something wrong or illegal|The defendant denied the accusation and held firm that he was not guilty.|
Accusation|a charge or claim that someone has done something illegal or wrong|An accusation of murder was made against the man, but there was no evidence to prove he killed his friend.|
Accusatory|blaming a person or group for something|My wife’s accusatory questions are starting to disrupt our marriage.|
Accuse|attribute blame to someone|Due to Peter’s location at the time of the incident, the police would accuse him of being an accomplice to murder.|
Accustom|to make familiar by use|I blinked repeatedly, trying to accustom my eyes to the bright light from the sun.|
Acerb|sour, bitter, and sharp in taste|The bitter lemon’s acerb taste caused the toddler to frown.|
Acerbic|expressing harsh or sharp criticism in a clever way|After John heard his teacher’s acerbic comments, he was not motivated to complete his project.|
Ache|continious, but not strong pain|The doctor was able to diagnose Mark’s illness based on the symptom being a sharp pain instead of a small ache in his head.|
Achieve|to successfully get or accomplish|I will achieve my goal through patience and diligence.|
Achievement|a thing done successfully|I consider it an achievement that I learned to control my spending.|
Achromatic|for something to be colorless usually with black, white and grays|Since the house was newly built, it looked like nobody lived in it due to it achromatic walls and stark rooms.|
Acidulous|harsh in manner or flavor|The acidulous drink burned my tongue.|
Acknowledge|to confirm or admit the truth about something|The president will acknowledge the soldiers’ suspicious deaths during his address to the nation.|
Acknowledgment|the act of recognizing or admitting the truth of something|There is great acknowledgment in America that minimum wage levels are too low.|
Acme|the highest peak that is reachable|At her acme, the singer was making over thirty million dollars a year.|
Acoustic|relating to sound or hearing|Enjoying the sound of the acoustic guitar, the crowd nodded along and moved closer to the band.|
Acquaint|to become at ease with|The faculty mixer is the perfect time for you to acquaint yourself with your teachers.|
Acquaintance|a person one knows slightly but not well|Ms. Smith was embarrassed that she didn’t know the name of the acquaintance who recognized her at the store.|
Acquainted|familiar with a specific subject or person|If you are acquainted with the hiring manager, I would love to give him a copy of my resume.|
Acquiesce|to agree or express agreement|While I did not want to go to the show with Laura, her begging eventually caused me to acquiesce.|
Acquiescent|willing to acquiesce, accept or agree to something without objection, protest or resistance|More often than not, he possessed an acquiescent nature, which made it easy to work alongside him in combination with his quick thinking and street smarts.|
Acquire|to obtain something|You will need a great deal of money to acquire the valuable painting.|
Acquisition|the thing acquired or gained; a gain.|Because he was marrying her, there would be an acquisition of all of her real estate.|
Acquisitive|eager and capable of making acquisitions |While I am somewhat acquisitive and can afford to buy anything I want, I try to only purchase things I need.|
Acquittal|a setting free from the charge of an offense or verdict|After the defendant learned of his acquittal, he jumped for joy.|
Acquitted|found innocent of a charge or accusation|Even though the judge believed the defendant was guilty, he could say nothing when the jury acquitted the man of all charges.|
Acrid|bitter and unpleasant in taste or smell|The acrid fumes from the plant made my eyes water.|
Acrimony|a sharp and bitter hatred|Her acrimony for her neighbors manifests itself with shouting and stomping.|
Acrobat|an athlete who performs acts requiring skill, agility and coordination.|The watchers held their breath as the acrobat crossed the tightrope.|
Acronym|a term created out of the first letters of a multi-word phrase|In history class, the students learned the acronym NATO stands for the North Atlantic Treaty Organization.|
Acrophobia|an unusual dread of elevated places|Because I have acrophobia, I never ride anything other than the Ferris wheel at the amusement park.|
Acropolis|a stronghold or sanctuary used for defensive and religious purposes in ancient Grecian cities|In the middle of the city, an acropolis of stone walls was erected to act as a shelter during times of war.|
Across|from one side to another|Swimming across the wide river left the stranded paddler gasping for air.|
Action|combat; battle|The movie was full of action, with most of the scenes containing fighting or warfare.|
Activate|to trigger or start something|If you want to use the new debit card, you have to call a new number and activate it.|
Activism|a strategy of undertaking direct action to achieve a social or political goal|Protesting the war is a type of activism.|
Activist|a person who campaigns for some kind of social change|The political activist spent hours trying to convince us to vote for Ted.|
Activity|something that people do, usually with a particular aim or goal in mind|The teacher brought all of the paper, glue, and other items needed for the students to complete the crafting activity.|
Actual|Real or concrete|Although there is actual proof that they existed, some still don’t believe in dinosaurs.|
Actuality|the state of existing; existence|Although it was thought that no one had been working on the project, in actuality Barbara had been trying to get things of the ground for a long time.|
Actuate|to trigger a movement or action|The teenager touched the screen to actuate the mobile app.|
Acuity|sharpness in relation to thought, vision, or hearing|In order for my daughter to get into the school’s gifted program, she had to take a mental acuity test.|
Acumen|experience or expertise in something|John’s business acumen, along with his computer skills, made him an asset to the software company.|
Acupuncture|a medical practice in which thin needles are inserted into specific points of the body as a way to relieve pain or treat disease|As soon as the acupuncture needles entered the man’s spine, he felt relief from his pain.|
Acute|extremely pressing; critical|Because my appendicitis was an acute issue, the nurse took me directly into an emergency station for treatment.|
Acuteness|sharpness; insight|The boy’s acuteness made him an excellent chess player.|
Adage|old saying that has come to be accepted as truth over time|He gets tired of all the same old sayings, so he is always trying to come up with a new adage.|
Adamant|refusing to be persuaded; cannot change one's mind|Robert, a first year physics student, is adamant in his decision to peruse a career in engineering.|
Adamantine|unyielding; firm and unbreakable|The hero was adamantine and stuck to his values no matter what problem he faced.|
Adapt|get used to something new or change to fit|When James relocates to a different side of the country, he will have to adapt to a new weather pattern.|
Adaptable|able to change|When dogs live in the wild, their bodies must be adaptable to the environment or they will suffer.|
Adaptation|an alteration that makes an animal or thing more suitable for a certain environment|This adaptation of the novel was written so the story could be performed as a play.|
Addend|a number added to another number|I asked our math teacher to help me with the addend in my math problem.|
Addendum|something to be added; especially text added as an appendix or supplement to a document|Maria’s article was written in 1965, but it was updated with an addendum in recent years.|
Addict|someone that is obsessed with something to an extent where they suffer withdrawal without it|My baby brother is a sugar addict, unable to go even two hours without consuming some sort of sweet to sate his obsession.|
Addictive|something that is easy to be addicted to; easy to develop a reliance on|This game is extremely addictive, having roped me into playing it for over six hours even though I only planned to play for one.|
Additional|added or extra|Additional charges will be added if you do not pay the bill on time.|
Additionally|used in the place of ‘also’ or to introduce extra facts|We started out with just one floor, but additionally, another was added.|
Addle|to cause a person’s thoughts to become jumbled or confused|Is it true smoking marijuana can addle your brain and make it difficult for you to concentrate?|
Addled|incapable of thinking in a clear manner|Because my grandmother is in her mid-nineties, she is a bit addled at times and requires the aid of a personal caregiver.|
Address|a description of the location of a property|The pizza delivery man had no problem finding my address to deliver my order.|
Adduce|to produce as support during a discussion or argument|During the trial the defense attorney will adduce evidence to show the defendant’s innocence.|
Adduction|the act of bringing a body part usually an arm or leg inward to the middle part of the body|When the patient’s adduction of her knee up to her waist caused agonizing pain, the doctor recommended that she return to standing straight on her two feet.|
Adept|very good at doing something that is not easy|Mark is an adept juggler who can easily manager four balls in the air without dropping one.|
Adequacy|being satisfactory or acceptable|The adequacy of the program is being questioned since few seem to graduate after starting.|
Adequacy|the quality of being sufficient, adequate or able to meet the needs|It’s important to review the adequacy of your medical insurance coverage each year.|
Adequate|enough; good enough|Adequate water intake is necessary for your body to function properly.|
Adhere|conform to or follow rules exactly|When I tell you to sit down, adhere to my order!|
Adherence|faithful support for a cause |The teacher demanded the students adherence to the rules while in her classroom.|
Adherent|a material that sticks to other things or a person who supports a particular party, person, or set of ideas|The adherent properties of Super Glue are so strong that some people have had to go to the ER to get un-stuck from something.|
Adhesion|a substance’s ability to attach to another substance|For sturdier adhesion, apply hot glue to the sequins prior to attaching them to the leotard.|
Adhesive|sticky|Mom does not like to use Elmer’s glue because she claims that our project requires a stronger adhesive.|
Adieu|a farewell, a goodbye; especially a fond farewell, or a lasting or permanent farewell|We bid each other adieu after the movies by giving one another a hug.|
Adjacent|lying next to, close, or contiguous; neighboring|When the opposing attorneys asked for a sidebar with the judge, the jury was sent to wait in an adjacent area.|
Adjoining|next to or joined with something else|The travelers requested adjoining rooms so that they would be beside each other.|
Adjudge|to view or determine something in a particular manner|Because of your drug problem, the court will probably adjudge you to be an unfit mother.|
Adjunct|something that is joined or added to another thing, but not part of the whole|My math teacher was adjunct faculty and did not work for the school full time.|
Adjure|request or urge someone to do something|I had to adjure myself to stay awake, despite having not slept in two days.|
Adjust|to change something a little so that it fits or works better|The distraught teacher preferred her students to adjust their attitude before she initiated her next plan of referring those students to the office.|
Adjustment|a small change that improves something or makes it work better|The academic advisor made an adjustment to the college student’s classes so that it would fit better with her work schedule.|
Adjutant|A military officer that is an administrative assistant to a senior officer|Lieutenant Tirado is my adjutant, taking care of administrative duties when my position as a Colonel demands my attention.|
Administer|to supply or give out something|The nurse will administer pain medicine every four hours.|
Administer|to give, handout, or dispense|A nurse came into the patient’s hospital room to change his sheets and administer his nightly medication.|
Administration|the process of running some sort of organization|I do not wish to work in administration because I do not like being in charge of other people, though I still have to order around a few people in my work.|
Admirable|worthy of respect and admiration|The colonel is an admirable man who has won numerous medals of valor.|
Admiration|a sentiment of esteem and respect|When the teacher retired, she was given a gold watch in admiration of her fifty years of service to the county.|
Admire|to hold a thing or person in high esteem|As a former soldier, I admire all the men and women who are currently serving in the military.|
Admissible|something that is allowed or considered appropriate|Judge Taylor declared the evidence against the defendant admissible in court which became detrimental to the defense’s case.|
Admit|to acknowledge that something is real, valid, or true|It took the woman a long time to admit she has a drinking problem.|
Admittedly|certainly; definitely|The joke was admittedly risky but the crowd didn’t seem to mind much.|
Admonish|to scold; to warn strongly|Do not admonish him for being gay!|
Admonition|a warning or reprimand given with advice|Gerald’s admonition against the other police officers served as a warning to those doing wrong in the organization.|
Admonitory|conveying a warning|The teacher’s voice had an admonitory tone as she told the students to stop talking or lose recess.|
Ado|trouble, difficulty, or complications|There was a great deal of ado in trying to stop the committee from cancelling the school talent show, but all of the trouble was worth it since we succeeded.|
Adobe|sundried bricks made of clay|The village dwellings were adobe style and were crafted from clay and water.|
Adolescence|the time period when a young person becomes a grownup|When children reach the period of adolescence, they crave freedom to make their own choices.|
Adonis|a very handsome young man|“Look at that Adonis,” the girl giggled to her friend as the handsome new freshman walked into the cafeteria.|
Adopt|a legal process to take care of another’s biological child as your own|Many childless couples will adopt the less fortunate children from around the globe.|
Adoptive|related to someone through adoption (becoming a parent or child of someone not by birth)|The little girl’s adoptive parents gained legal custody of her when she was just two weeks old.|
Adoptive|related through adoption|Because her adoptive parents were so wonderful while raising her, the young woman had no desire to meet the birth family who had given her up.|
Adorable|charming and easy to love because it is so attractively cute|With an adorable smile, the delightful toddler stole the hearts of everyone in the room.|
Adoration|deep love, devotion, and respect|The young man’s adoration for the new girl in class was evident when the teacher called him out for staring at her.|
Adore|to idolize or worship something, or to love it very much|My mother loves to adore me in public even though I find it embarrassing, praising me in front of everyone as if I were still a child.|
Adorn|make more attractive or beautiful|George likes to adorn his office with expensive paintings so that everyone knows how wealthy he is.|
Adornment|an ornament or decoration that adds attractiveness|The plain tree need an adornment, so a silver star was added to the top.|
Adrenaline|a chemical produced by your adrenal glands that gives you a rush of energy when you are frightened, excited, or angry|I had a rush of adrenaline as I jumped out of the airplane.|
Adrift|uncontrolled floating on water |The U.S. Coast Guard located two boats adrift in the ocean after a storm passed through.|
Adroit|clever or skillful|The child was an adroit pianist at an early age.|
Adscititious|additional or external; coming from an outside source|The supplemental information was adscititious and wasn’t a part of the original investigation.|
Adulation|great praise for someone, often more than what is deserved|Although Jason was a famous celebrity, he was very uncomfortable with the adulation from his fans.|
Adulterate|to make a substance less pure by adding something else to it|If you want to adulterate your alcoholic drink, you should add some water to it.|
Adultery|sexual activity between a married person and someone other than their spouse|The attorney’s marriage was ruined by his decision to commit adultery with his secretary.|
Adulthood|the state or condition of being fully grown or mature|In the United States, a child reaches adulthood at the age of 18.|
Adumbrate|to create an outline or a faint shadow |With assistance from the victim, the sketch artist will adumbrate a picture of the robbery suspect.|
Advance|before; ahead of time|The concert goers bought their tickets in advance so they wouldn’t end up with terrible seats.|
Advanced|progressive; complex or of a higher order|Advanced courses are offered for students who want to progress quickly in a subject.|
Advantage|a condition or circumstance that gives someone a greater chance of success|The thief took advantage of the light security on New Year’s Eve to empty every cash register in the mall.|
Advantageous|helpful or useful and likely to make you more successful|It would be advantageous for the couple to buy the bedroom set while it was on sale.|
Advent|the coming or arrival of something|With the advent of the internet, working from home has become a real phenomenon.|
Adventitious|not natural; foreign|The weird-looking plant is adventitious and not native to this country.|
Adventure|an exciting or dangerous experience|Setting off on an adventure, Peter Pan hoped to avoid any pitfalls that would put him in the hand of Captain Hook.|
Adventuresome|adventurous or prone to going on adventures|My adventuresome friend is constantly looking for ways to explore new places, see new things, and meet new people.|
Adventurous|daring; brave|Bold and adventurous, the dare devil was always looking for a new exploit to undertake.|
Adversary|one's opponent in a contest, conflict, or dispute|I will destroy my adversary during our battle.|
Adverse|negative, harmful, or unpleasant|Jim’s adverse reaction to the drug was so intense that we rushed him to the hospital.|
Adversely|in a negative or bad way|If the medicine adversely changes your health, you should stop taking it immediately.|
Adversity|a difficult situation or condition; misfortune|Because of the five-year drought, the farmer experienced a long period of adversity.|
Advert|an advertisement|The newspaper advert announced position openings at the local potato plant.|
Advertise|to provide information about a person or goods and services to influence others |Retail stores advertise their sales products by using the newspaper, radio and television to attract customers into their stores.|
Advice|an opinion recommended or offered, as worthy to be followed; counsel|Beatrice hates to take advice from anyone, which is why she is doomed to fail in everything that she does.|
Advisable|worthy of being recommended; desirable|It is advisable to fill your tank before heading out on a trip so that you do not waste time worrying about where to find the nearest gas station.|
Advise|to offer suggestions to a person or group|Could you please advise me on the best way to get to the interstate?|
Advisement|advice that is both carefully considered and thought out before given|The homeowners association calls meetings for neighborhood members to voice their opinions on important issues that they were record, take under advisement, and use to make decisions for the community in the future.|
Advisory|an official announcement that usually serves as a warning to the public|The city government released an advisory during the hurricane warning all residents not to go outside.|
Advocacy|the practice of supporting someone to make their voice heard |Recently the gun advocacy groups have spoken to Congress with hopes of change to current gun laws.|
Advocate|to publicly support a particular policy or way of doing things|Any good doctor will advocate healthy eating for his patients.|
Aegis|under the influence or protection of a specific individual, body, or government|As a young salesman, Stan worked under the aegis of his father who emphasized the value of treating customers fairly.|
Aerate|to cause air to circulate through something|The cleaners needed to aerate the room to get the strong odor out.|
Aerial|happening in the air|An aerial view of the city showed just how cluttered and crowded the metropolitan area looks from above.|
Aerie|a nest built in a high place by a predatory bird |While hiking in the hills, we spotted a hawk leave it’s aerie on the cliff.|
Aerobic|activity used to strengthen the heart and lungs by making them work hard for several minutes|The aerobic component of the test consists of a strenuous one-mile hike.|
Aerodynamics|the study of air and how it works when an object moves through it|Birds have a natural understanding of aerodynamics that allows them to fly through even the windiest conditions.|
Aeronautics|the science of flight|A Boeing 727 was donated to the college’s aeronautics program for further flight studies.|
Aerosol|substances confined under pressure and typically released in the form of a spray|A well-known form of aerosol is Febreeze, which is a spray that is released from under pressure to eliminate bad odors.|
Aerospace|the atmosphere of the Earth and the region of space around it; the industry concerned with aircraft, missiles, satellites and spacecraft|From the aerospace department of the scientific company, many reports revealed their aviation problems were due to human error.|
Aesthete|one who strongly appreciates beauty, art and music|The aesthete obtained box tickets to the opera.|
Aesthetic|concerning or characterized by an appreciation of beauty or good taste|Our aesthetic enjoyment of the art show was increased by the presence of the open bar.|
Afar|in a distant area|Everyone could tell that the stranger came from afar due to his unknown accent.|
