Buoy|a float in water that is used to mark something|To alert boaters of the hazard ahead, a small buoy was used to mark the sandbar near the surface.|
Buzz|a low hiss with a “z” sound|At first I didn’t hear the buzz from the bees until I got closer to the bee hive around the corner.|
Buzzard|a hawk-like bird of prey that soars high with wide wings and a round tail|The buzzard circled around the dead deer carcass and zoomed in to snatch some of the meat with his talons.|
Buzzkill|a person or thing that stops others from enjoying themselves|Taylor’s constant talk about religion and other depressing subjects made him a total office buzzkill.|
By-product|a secondary product or result that's produced in the making or doing of something else|Dorothy was told that a by-product of her pregnancy was nausea and vomiting, but that it would subside after her first trimester.|
Bygone|associated with an earlier period of time|These days getting married before having a baby appears to be the concept of a bygone era.|
Bypass|to go around something|While driving home, I decided to bypass the construction work and take a different route.|
Bystander|a person who is present during a situation or event but not directly involved|A bystander witnessed the wreck and called the police to assist.|
Byzantine|complex; hard to comprehend|Because the plot was revealed in a byzantine manner, it was difficult to understand.|
Cabal|a collection of people who come together to work against something or someone |Hundreds of workers formed a cabal to demonstrate their dissatisfaction with the firm’s healthcare plan.|
Cabalistic|of or relating to a cabal; secretive and cliquish|In earlier generations, cabalistic studies flourished in Eastern Europe, especially amongst the Hasidic Jewish population.|
Cabinet|a cupboard with drawers or doors that are used to store household items|All of the dishes should be washed and dried before being placed into the cabinet.|
Cable|a thick rope or cord that usually has wire in the middle|The television repairman ran a wired cable from the back of the television into the wall.|
Cachinnate|the act of laughing, snorting, or physically putting all energy into laughter|At one of the funniest parts of the film, the audience began to cachinnate with such force that guests in the other theaters could hear them.|
Cachinnation|convulsive, loud laughter|The evil witch continued her wild cachinnation as she pretended to be conversing with a funny demon.|
Cackle|laugh resembling the cry of a hen or goose|The comedian makes me laugh so hard I cackle like a witch!|
Cacoethes|an uncontrollable urge or desire to do something inadvisable|Kelsey had a cacoethes for pulling pranks at church.|
Cacography|bad handwriting	|Since your cacography is difficult to read, you should definitely type your essay.|
Cacology|a bad choice of words or pronunciation|In a classic case of cacology, the speaker said several words that didn’t make sense in context.|
Cacophony|an unpleasant mixture of loud sounds|Sometimes, it seems as though the dogs in our neighborhood bark together to create a cacophony that wakes me up every morning.|
Cadaver|a lifeless body that is used for research|In medical school, each student gets his own cadaver on which to practice.|
Cadaverous|similar in appearance to a corpse; pale and skinny|When I looked at the cadaverous cat who was dying of starvation, I couldn’t stop the tears from falling.|
Cadge|to convince a person to give you something at no charge|By flirting with the bartender, the pretty girl was able to cadge free drinks.|
Cadre|a group people specially-trained people for a particular purpose or profession|The late night comedian is very selective when it comes to choosing candidates to join his cadre of speechwriters.|
Caducity|frail old age; senile|His weak eyesight combined with his caducity puts him out of the workforce.|
Cagey|uncommunicative; unwilling or hesitant to give information|Coca Cola acted in a very cagey fashion when I attempted to find out the ingredients of their soft drinks.|
Cahoots|secretly working together to commit crime or dishonest activity|Jack and Barry were in cahoots when they conspired to shoot up the mall.|
Cajole|persuade someone to do something; convince with gentle pleading; sweet-talk|Why did I ever let my friends cajole me into eating sushi?|
Cajolery|flattery and gentle pleading done on purpose to persuade someone to do something|No amount of cajolery could convince Doris to hand us the keys to her car, so we took it for a ride without permission.|
Calamitous|involving catastrophe|A calamitous accident destroyed the driver’s chance of winning a major race.|
Calamity|a situation that results in extreme suffering|The approaching hurricane is sure to be a calamity that will affect the lives of millions.|
Calculated|referring to an action committed with full awareness of its consequences|When you weigh the pros and cons of an action before doing it, you are taking a calculated risk, with full understanding of the implications of your decision.|
Caldera|a large, volcanic crater that is created after part of a volcano collapses|The circular caldera is located at the summit of the volcano and is sunken in from the collapse.|
Caliber|the worth of an individual’s character or his level of ability|Only dancers of the highest caliber will be invited to perform for the president.|
Calibrate|to quantify in a careful and detailed manner |The hospital pharmacist knows how important it is to calibrate the IV medications correctly.|
Calisthenics|simple exercises that are performed by people to stay fit but don’t require the use of equipment|Doing jumping jacks is my least favorite part of my weekly calisthenics class.|
Call-out|an occasion when someone is asked to come to a person’s home to do a job or help with a task|The vet answered the call-out but charged the family a fortune to see their sick pet in their home.|
Call|to cry out or summon someone|Grandmother will call all the children inside when it’s time to eat breakfast.|
Calligraphy|elegant handwriting that is often created with a particular kind of brush or pen|My sloppy handwriting could never be confused with the refinement of calligraphy.|
Callipygian|having attractive or shapely buttocks|When it comes to physical attractiveness, many people prefer someone callipygian, rather than someone with too much flab on their rears.|
Callipygous|having a proportionate and well-shaped rear end|The callipygous girls in the videos were hired because of their shapely rear-ends.|
Callous|showing or having an insensitive and cruel disregard for others|There is so much crime in this country that many people have become callous about it and tend to look the other way.|
Callow|immature, lacking in life experience|Since the callow baker was new to cake decorating, she did not know how to properly frost the multi-layer cake.|
Calm|relaxed and showing no feelings of anger or anxiousness|A beach is a relaxing place that makes everyone who visits it feel calm.|
Calumniate|to voice untrue accounts about an individual or group|In an attempt to prevent the mayor’s reelection, someone has been using the Internet to calumniate the city leader’s family.|
Calumnious|slanderous or defamatory|The calumnious tabloid article painted a slanderous tale of two star crossed lovers.|
Calumny|a false statement made to damage someone’s reputation|The editor refused to publish the calumny that could possibly destroy the politician’s career.|
Camaraderie|good friendship and trust among members of a group|Because of the camaraderie they shared, the soldiers trusted each other with their lives.|
Cameo|a tiny role in a film that is performed by a famous individual|The actor’s cameo had him onscreen for less than two minutes.|
Camouflage|a means or attempt to conceal something |The robbers wore large coats to camouflage their weapons from the security guards.|
Campaign|a set of steps taken to achieve a certain goal|Since we have not raised any money, it’s fair to say the fundraising campaign has not been a success.|
Canal|an artificial waterway or channel|Divers searched the canal for the missing vehicle they fear is deep-down in the channel.|
Canard|a phony report or story|The newspaper was sued for publishing a canard about a popular celebrity.|
Cancel|to decide or announce that something planned in advance will no longer take place|Because her husband wasn’t feeling well, Brenda decided to cancel their dinner reservations at the fancy restaurant.|
Cancer|the disease caused by an uncontrolled division of abnormal cells in a part of the body|Cancer forms when abnormal cells rapidly divide.|
Candid|truthful and straightforward|Because the politician made a candid speech, he earned the respect of the voters.|
Candidacy|the state of being considered for a position|Meeting all the qualifications for candidacy, the well-known business owner decided to run for mayor.|
Candidate|someone being considered for a particular position|Each candidate had to give a two-minute speech explaining why he or she should be class president.|
Candor|the state or quality of being frank, open, and sincere in speech or expression|Because the realtor was an honest woman, she replied with candor about the damage to the house.|
Cane|a short stick or staff that people use to help them walk|The elderly woman staggered to her mailbox, using the cane for balance.|
Canister|a container with a lid that is used for keeping dry products|The little girl reached into the cookie canister and grabbed several chocolate chip cookies from the jar.|
Canker|a fungal disease of trees that causes damage to the bark|When trees are under stress, they are more susceptible to canker and other fungal diseases.|
Cannon|a large, mounted gun that is used to fire heavy projectiles|Invented in China during the 12th century, the first cannon was used along with gunpowder as a weapon of war.|
Canny|displaying good sense and judgment |The canny man would not buy the used car until it passed his mechanic’s inspection.|
Canonical|following or according to the rules|The canonical composer always made sure that his hymns fit in with the church’s regulations.|
Canonize|to regard something as being of utmost importance or significance|In religion, people tend to canonize the words of their most significant religious figure, holding them as holy and indisputable.|
Canopy|a cover of some type that is used as a roof, either for decorative purposes or as shelter|We’re going to install a canopy on our back porch so we can enjoy the outdoors on rainy days.|
Canorous|pleasant sounding|Belting out a canorous tune, the singer’s beautiful voice seemed to entrance everyone around.|
Cant|the unique vocabulary used by a specific group of people|The older woman did not understand the modern cant spoken by her grandchildren.|
Cantankerous|easily angered, always complaining or arguing and difficult to get along with|Since Congress is such a cantankerous group, no one expects them to pass any new legislation this year.|
Canto|a section or stanza of a lengthy poem|“Samuel, please read the next canto in the poem,” the teacher told the moaning student who would be reading for the next three pages.|
Canvas|a type of hard, rough cloth used for making sails, tents, and as a surface to be painted on|The artist was painting a canvas backdrop for the school play.|
Canyon|a deep gorge that usually has a river running through it|The trail took the hikers down into a deep canyon with lush, green woods.|
Capability|the power, skill, or ability to do something|TJ has the capability to finish the race, but he will need to push himself to run faster.|
Capable|able and competent|The man in the wheelchair insisted that he was capable of taking care of himself.|
Capacious|having the ability to hold a great amount|When Janet bought a capacious home, she was finally able to use all the furniture she had been keeping in storage.|
Capacitate|make someone capable of a particular action or legally competent to act in a particular way |Years of school capacitate the lawyer to give great legal defense to his client.|
Capacity|the total amount an object can hold|The water bottle’s capacity is thirty-two ounces.|
Caper|a silly stunt or activity|Grandpa Joe insisted he was too old for that type of caper and wouldn’t sing karaoke with us.|
Capillary|associated with the tiny vessels of blood that link the arteries to the veins|Whenever Jane has a nosebleed, she knows a capillary vessel has burst.|
Capital|goods, monetary assets, and other things that can be used to produce income|Your brain is the capital that will allow you to do well in school so you can obtain a profitable career.|
Capitol|a building in which the state or national legislature meets|Senators met at the US Capitol building in Washington, D.C. to discuss new laws.|
Capitulate|to give in; to surrender under certain terms|After seeing himself on the news, the escaped convict decided to capitulate to avoid being shot by a police officer.|
Capitulation|act of giving up or giving in|After months of violence, the president’s troops were able to force capitulation from the exhausted rebels.|
Caprice|an impulsive act|Because John did not think before acting, he could spend the next ten years in prison for a silly caprice.|
Capricious|sudden behavior change|Because of his capricious nature, Jeremy found it hard to keep a steady job.|
Caption|a title or short explanation under a picture in a book or magazine|Below the picture of the bear, a caption gave both its scientific and common name.|
Captivate|to catch and hold someone’s attention; mesmerize |The siren was able to captivate sailors with her enchanting voice.|
Captivating|very interesting and capable of grabbing your attention|Because a waterfall is so captivating, people can sit and watch it for hours.|
Captivity|the state or period of being imprisoned, confined, or enslaved|Protestors shouted that keeping the zoo animals in captivity violated their basic rights.|
Carafe|a large pitcher or container used to hold a beverage or wine|Since we were drinking glass after glass of the Dom Perignon, we decided to ask the waiter to leave the carafe of the wine at the table since we still wanted more.|
Carapace|the outer shell of an arachnid, crustacean, or turtle|Patterns on the turtle’s carapace are changing over time, with his shell becoming duller as he ages.|
Caravan|a group of travelers, animals, or vehicles traveling together|We decided to organize a caravan to attend the state championship.|
Caravansary|a crowd of individuals travelling around together or an establishment where caravans rest overnight|Our church group felt blessed when we found a caravansary that could shelter our large party overnight.|
Caravel|a small sailing ship developed and used by the Portuguese and Spanish during 15th and 16th century exploration|With its gently sloping bow and single stern castle, the caravel was easily distinguishable from other 15th century ships.|
Carbohydrate|a sugar, starch, or cellulose that is a food source of energy for an animal or plant|After stuffing my mouth with sugar, I was warned that increased carbohydrate levels can make my body sick.|
Carcass|the body of a dead person or animal|On our cross country road trip, we passed a deer carcass on the road.|
Carcinogen|a substance or agent that can cause cancer|A known carcinogen that can be found in the liver has caused untold suffering all over the world.|
Cardiac|relating to the heart|Cardiac arrest, or a sudden stop of the heart, is caused by irregular electrical impulses that make the ventricles of the heart quiver instead of pumping blood.|
Cardinal|fundamental; of the greatest importance|The therapist addressed the cardinal rule of marriage which is to always compromise on issues and once that is accomplished everything else will fall into place.|
Cardiovascular|relating to the heart and blood vessels|High sodium levels are related to a heightened chance of cardiovascular related death since sodium negatively effects the heart and impedes blood flow.|
Careen|to move swiftly in an uncontrollable manner, sometimes from one side to another side|If you drive too fast in dangerous weather, your car may careen off the road.|
Career|a job or occupation that a person does for an extended period|I want to take on a career in teaching, but my parents insist that I become a doctor.|
Carefree|easygoing and relaxed|The carefree beach-bum skated through life without a worry or care.|
Carin|man-made mound of stones, used as landmarks |Hikers were relieved to see a cairn of stones in the wilderness that led them in the correct direction on the trail.|
Carnality|pertaining to physical or sexual desires|Racy in nature, the lyrics of the song are lascivious and full of carnality.|
Carnival|a seasonal or roaming fair which usually has many fun attractions|As the carnival was being set up at the state park for this week, passersby could tell that a roller coaster and several spinning rides would be included.|
Carnivore|any living creature that eats meat|The tiger is a carnivore who kills his own food.|
Carouse|to take part in a drunken get-together|On most weekends the fraternity brothers carouse with the wild sorority girls.|
Carousel|a circular carnival ride that has horses or cars that children sit on while it circulates|Children laughed and giggled as the carousel went round and round.|
Carp|to find fault or quarrel with someone constantly|Edith’s husband decided to leave, saying that he couldn’t stand her tendency to carp and complain constantly.|
Carping|having the tendency to complain or criticize|My carping mother-in-law is constantly criticizing my housekeeping skills.|
Carpool|a process in which multiple people ride in one person’s car to minimize travel cost|Because Mr. Cooper has a minivan, we decided to carpool with him so we could save gas and only drive one car.|
Carriage|a buggy-like means of transportation with four wheels which usually transports people and is pulled by horses|With each clomp of the ponies’ hooves and swish of the wheels on the road, the passengers knew that this carriage would get them to their destination.|
Carrier|someone who holds or has something|Designated as the carrier of the manual, Kevin felt important to be a part of this club by being responsible for the club’s essential book.|
Carrion|flesh of a deceased animal|We could smell the carrion left by hunters even before we stumbled upon it during our trek up the mountain.|
Cartel|group of businesses or nations that collude to fix prices|Oil conglomerates run a cartel to keep prices high.|
Cartilage|a strong but flexible material found in some parts of the body|After being tackled by the opposing linebacker, the running back suffered from swelling cartilage around his rib.|
Cartographer|an individual who specializes in the creation of maps|Fortunately, the cartographer added a legend to his map to make it easier for people to understand.|
Cartography|the science of producing maps |Since Greg was an expert in cartography, he quickly located the inaccuracy in the map.|
Carve|to cut a material into a finished work|Dustin used a hammer and chisel to carve out his name in the wood.|
Cascade|something that occurs in rapid succession or in a series|Once the vampire television show became a hit, a cascade of vampire programs appeared in the primetime lineup.|
Casino|a place where a person goes to play games or gamble money|Card dealers at the casino can get some of the big spenders to keep playing even after they’ve lost several thousand dollars.|
Cast|actors who perform a role in a series, play, or movie|The cast of a new television show was excited to receive their first Emmy award.|
Caste|a class hierarchy determined by a person’s heritage|In the tribe, there is a caste system based on skin color with the darker-skinned people comprising the lower class.|
Castigate|to criticize someone or something severely|My mother was a cruel woman who never missed an opportunity to castigate my father.|
Casual|relaxed, easygoing, and informal|Tyrone dresses in a casual way to work, despite the fact that everyone else in the company wears a suit and tie.|
Casualty|a person who is hurt or killed in a war or accident|They warned us that if an employee fails to wear his hard hat and a casualty occurs, we could face jail time.|
Casuistry| a way of arguing in a misleading or deceptive manner|The salesman used casuistry in an attempt to convince me he had the best deal in town.|
Catachresis|the misuse of words on purpose, usually as a stylistic writing effect|When writing, the author used a catachresis when he replaced “stuffed” with “stuck”.|
Cataclysm|an abrupt forceful event|A severe attack upon the Internet could cause a cataclysm in the financial world.|
Catacombs|underground cemeteries with tunnels and rooms where the dead are kept|The Catacombs of ancient Rome were underground burial places built in 2nd century AD.|
Catalog|a list, usually of goods or services for sale or items that are available to be used|Every Christmas, the family received a Sears’ catalog with pictures of popular toys inside.|
Catalyst| a person, thing, or event that quickly causes change or action|The enzyme was the catalyst that triggered the chemical reaction.|
Catalyze|to bring about a change|Dr. Martin Luther King Jr. used sit-ins and marches to catalyze laws in the US.|
Catapult|to hurl, launch, throw or propel|At the first sound of the alarm clock, I catapult out of bed and race through my morning chores.|
Cataract|cloudy area in the eye's lens|After complaining that she could not see properly, Rachel was informed that she had a cataract on her left eye that was blurring her vision.|
Catastrophe|a disaster of huge proportions|My teenager needs to realize losing her lipstick is not a catastrophe.|
Catastrophic|associated with a major disaster|The catastrophic wreck on the highway involved over forty vehicles.|
Catatonic|motionless and unresponsive|A catatonic fear immobilized Drew, preventing her escape.|
Catchy|likely to attract attention or interest|The show’s catchy theme song made the television program memorable for everyone who watched it.|
Categorical|stated in a definite manner|My father’s categorical denial let me know there was no need to ask again.|
Categorize|to place something in a class or group based on its attributes|I decided to categorize this homework as math because it has a lot of math in it despite being assigned by the science teacher.|
Category|a class or division of people or things that have similar characteristics|Which category does a tomato fall into: fruit or vegetable?|
Cater|to provide food professionally for a special occasion|We cater lunches for groups of 20 or more.|
Caterwaul|a shrill wailing or screeching noise|The caterwaul the cats outside were making grated on my ears and made me wish I had earplugs.|
Catharsis|the process of releasing strong emotions and feelings|Sometimes the act of taking a break away from the world will help a tired person experience the catharsis he or she needs to deal with everyday life.|
Cathartic|providing psychological relief through the open expression of strong emotions|Because journal writing allows me to express my emotions, it is a very cathartic process for me.|
Cathexis|the obsessive concentration of one’s thoughts and emotions on a person, event, or object|Because of his cathexis with his blanket, the obsessed toddler refused to sleep without it.|
Catholic|extensive and widespread in choices and activities|As the busy young woman chose from the catholic events displayed, she could pick from sports to crafts to dancing and everything in between.|
Cattle|cows and bulls that are raised and are usually kept for their meat or milk|The cattle roamed the ranch, chewing on grass and mooing at everything in sight.|
Catty|spiteful and mean in the way that one behaves or speaks|Most of the junior high girls were catty and spent their free time gossiping about others.|
Cauldron|a large bowl shaped pot used for cooking over an open flame|When our family went camping we would often use a cauldron to slowly cook our stew for dinner.|
Causality|a producing means or power|Once the missionaries realized the causality of the child deaths in this third world country was malnutrition, they pleaded with their church to supply money for food.|
Cause|to make something happen|The police could not figure out what would cause the friendly woman to kill her neighbor and then herself.|
Caustic|extremely sarcastic or critical|The comic’s caustic jokes offended quite a few people.|
Cauterize|to burn the skin around a wound to stop bleeding or prevent infection|To stop the patient from bleeding, the doctor had to use a hot iron to cauterize the wound.|
Caution|acting carefully to avoid danger or mistakes|We must proceed with caution if we do not want to get caught by the guards, so move quickly and quietly.|
Cautionary|something that serves as a warning to others|My brother’s foolishness while driving his go cart served as a cautionary tale to anyone that didn’t want to end up in a similar wreck.|
Cautious|careful; watchful|Remaining cautious, the police officer shined his flashlight slowly into the abandoned building.|
Cavalcade|a procession of things, usually related to movement|The president’s cavalcade included several sports utility vehicles, six police cars, and a police motorcycle unit.|
Cavalier|displaying a lack of worry|Bryan will regret his cavalier attitude about studying when he fails to graduate on time.|
Cavalry|soldiers in a certain part of the army who ride horses into battle|As the cavalry was called in, they mounted their stallions and descended into the valley to confront the enemy.|
Caveat|a warning of the limits of a particular agreement or statement|The caveat of the contract includes a penalty fee if the loan is not repaid on time.|
Cavern|a large cave or chamber|Sleeping in the toasty cavern, the bear slumbered all winter.|
Cavernous|vast; spacious|Over ten thousand people filled the cavernous building, packing the vast stadium to capacity.|
Cavity|an empty space within something that is usually used for something unexpected|The star-crossed lovers hid secret letters in the small cavity in their favorite oak tree.|
Cavort|to move around in an excited fashion|The boys cavort around the pool while watching bikini-clad girls.|
Cease|to put an end to something|Once the treaty is announced, the fighting on the border should cease.|
Ceasefire|an agreement between two warring factions to stop fighting|When it was obvious they he had no chance to win World War Two, the Nazis agreed to a ceasefire, ending the war on the European front.|
Cede|to give away authority to a government, group, or person|When Matt became terminally ill, he had no choice but to cede control of his company to his daughter.|
Celebrate|to recognize a special day or event by taking part in special activities|This week we will celebrate my little brother’s birth with a huge party and a delicious cake.|
Celebratory|feeling or expressing happiness and joy|We are having a celebratory party for my brother, who just graduated from twelfth grade as the valedictorian of his class.|
Celerity|quickness of motion; speed|The slave will be punished if his celerity is not fast enough for his master.|
Celibacy|the state of voluntarily being unmarried, sexually abstinent, or both|The sister’s vow of celibacy was not understood by her family members but was respected.|
Cellar|an enclosed underground space under a building |Because the lowest room in the building is the safest in a tornado, we immediately went downstairs from the kitchen to the cellar.|
Celsius|a measurement of temperature in which 0 is the freezing point, and 100 is the boiling point|The weatherman used a thermometer to determine the temperature for the day in Celsius.|
Cement|to firmly bind or join something together|The newlywed couple hoped that their new baby would further cement their marriage.|
Censor|to remove inappropriate or objectionable content|Although her mother attempted to censor her music collection, the girl continued to download explicit songs.|
Censorious|extremely critical|Jill is a bully who constantly makes censorious statements about her coworkers.|
Censorship|the practice of removing content viewed as inappropriate |Censorship has allowed the government to prevent the media from airing criticisms of its leadership.|
Censurable|deserving censure or blame|The movie was censurable, due to the extreme violence that was unsuitable for minors.|
Censure|an official reprimand|If Bart receives another censure from his boss, he will more than likely lose his job.|
Census|a certified tally of a population in a specific region|According to last year’s census over five hundred thousand people live in our city.|
Centennial|the hundredth anniversary of an event or happening|The centennial celebration of the railway was held in Lincoln Nebraska, with much pomp and glamor.|
Centerpiece|an object or project that takes a central position or importance|Placing the centerpiece at the middle of the table, the decorator prepared the home for the Thanksgiving feast.|
Centigrade|centigrade temperature scale|In chemistry, we needed to convert the boiling point from Fahrenheit to centigrade.|
Central|essential or significant|After reading the story, the central character consistently fought against the villain throughout the story.|
Centrifugal|moving away or advancing from an axis or center|Because I love freshly squeezed juice, I bought a centrifugal juicer that pulls the liquid from the pulp.|
Centrifuge|a piece of machinery that spins rapidly in order to create a force which separates substances |In the nuclear plants, scientists take every precaution as they separate uranium in a centrifuge.|
Centripetal|moving towards the center|The centripetal star is slowly accelerating towards the middle of its solar system.|
Centurion|a commanding soldier in Ancient Rome who lead groups of 100 soldiers|The Roman centurion lead his group of one hundred soldiers into battle.|
Century|a period of 100 consecutive years|Our grandmother was born in the nineteenth century, which spanned from January 1st 1801 until December 31st 1900.|
Cerebral|involving the brain or intellect|Because of Adam’s intellectual sense of humor, he is the only one who ever laughs at his cerebral jokes.|
Ceremonial|relating to or used for formal religious or public events|The priest wears a formal ceremonial robe when he is baptizing children.|
Ceremony|a formal event held on a special occasion|Preparing for the upcoming ceremony, the pastor rehearsed his speech for the nuptials.|
Certain|absolute, without question|Science has proven that it is absolutely certain that the sun is what allows us all to stay alive here on planet Earth.|
Certificate|a document containing certified facts|Karen was able to receive a copy of her birth certificate after the original was destroyed in a house fire.|
Certify|to guarantee that something is true in an official way|A piece of paper was issued to certify the diamond was real.|
Certitude|the condition of being certain or sure about something|Unfortunately, the witness could not describe her attacker’s face with certitude.|
Cessation|the termination of something|The arrival of several police cruisers brought a quick cessation to the gang fight.|
Cesspool|a circumstance or place that is corrupt and/or filthy|Because the bar is filled with drug addicts and killers, it’s a real cesspool.|
Chafe|to worry or fret|My protective father tends to chafe whenever I go on a date.|
Chaff|of very little value|The pawn store owner refused to buy the thief’s chaff because it was worthless.|
Chagrin|a feeling of being frustrated or annoyed because of failure or disappointment |To her chagrin, Jill placed second in the beauty pageant.|
Chair|a seat that a person sits in that usually has a back and four legs|Plopping down in the chair, the man prepared to relax and watch TV from his recliner.|
Chalice|a large cup or goblet that is used to drink wine|Raising his jeweled chalice and tapping the cup with his knife, the king made a toast to the success of his kingdom.|
Challenge|a demand to battle in a match or brawl|As the two men challenge the obnoxious younger man to a fight, he agreed and all three of them headed out of the establishment into the street.|
Chamber|a compartment or space|Calling the attorney’s into his chamber, the judge used his private room to counsel both sides.|
Champion|a person who has defeated all rivals in a competition|Standing on top of the platform, the Olympic champion received a gold medal for his win.|
Chance|a possibility or likelihood|There is always a chance that the baker will run out of donuts, but the likelihood is much higher on Mondays.|
Changeable|easy to be changed or replaced|The traveler bought a changeable ticket that could be swapped for a different date if needed.|
Changed|altered; made different|Although she changed her original classes to a few different courses, the student still wasn’t happy with her altered schedule.|
Changeling|a boy or girl who is replaced with another child either on purpose as part of a scheme or by accident|In order to make the mother believe her daughter had been found, a changeling was sent in as a substitute who closely resembled her daughter.|
Channel|a passage that water or other liquids flow through|A channel was created between the two rivers so that goods could be transported across the waterway.|
Chant|rhythmic speaking or singing of words or sounds|"USA! USA! USA!" is a chant you hear from Americans at some political rallies or sports events.|
Chap|of the skin become cracked, rough, or sore, typically through exposure to cold weather; a cracked or sore patch on the skin|She always carried extra lip balm in her purse during cold weather because the frigid air made her lips chap.|
Chaperone|to watch and ensure the safety of another individual|Parents chaperone the children at the school dance.|
Characteristic|trait|The only characteristic the man got from his father was his dark eyes.|
Characterize|to describe|The company is refusing to characterize the event as a PR nightmare, but their stocks have dropped significantly.|
Charade|a sham or farce|Keeping up the charade, my family continued to pretend that they weren’t going to throw my little sister a surprise party.|
Charisma|charm; attractiveness|The politician earned a lot of female votes because of his winning smile and charisma.|
Charismatic|having a convincing charm that inspires others to believe what you say|The charismatic cult leader convinced his followers he was the only path to heaven.|
Charitable|generous in giving to those in need|Charitable donations were made to help those who lost their homes during the flood.|
Charity|the voluntary giving of money or assistance to those in need|A charity run is being held to raise funds for the city’s homeless population.|
Charlatan|a person who falsely pretends to know or be something in order to deceive people|The charlatan pretended to be a doctor so he could go into the hospital and steal prescription drugs.|
Charm|the ability to persuade, delight or arouse admiration |Rose soon learned from her new boss that her charm is why she was chosen for the hostess job.|
Chart|to record information|The nurse used pen and paper to chart all of the patient’s vital signs for the night.|
Charter|a government-issued document that provides a group or individual with certain rights |The king’s charter gave the colonists the right to set up residence in the new world.|
Chary|apprehensive about doing something|Because Vera was chary about going in the old house, I agreed to go in with her.|
Chase|to run after or pursue someone or something|The dog tried to chase the cat up the tree, but the kitty got away.|
Chaste|wholesome; pure in thought|Because I am very religious, I told my boyfriend we could do nothing more than exchange chaste kisses.|
Chasten|to punish or reprimand in order to correct |As a parent, I don’t feel spanking is a good way to chasten your kids.|
Chastise|to criticize someone harshly for doing something wrong|If you bully someone in Mrs. Marshall’s class, she will chastise you and keep you after school.|
Chastity|the condition of remaining pure and chaste|The nun took a vow of chastity as part of her commitment to remain pure.|
Chateau|a huge house or manor that is most often seen in France|My chateau in France is a huge manor.|
Chatoyant|describes a gemstone that has a reflective streak or cat's eye effect in the center|Each of the chatoyant minerals had a luminous band in the center.|
Chattel|personal property that can be relocated|A slave was once considered to be an owner’s chattel.|
Chatter|trivial talk or chit chat|Full of gossip, my nosy neighbors’ chatter could be heard on my front porch.|
Chauffeur|one who drives a car as an occupation|I’ll have the chauffeur drive me to the store tomorrow.|
