Exhibitionist|an individual who uses his or her behavior to catch peoples’ attention|The female rapper is an exhibitionist who attracts attention by wearing revealing clothing.|
Fantasy|a pleasant thought of an unlikely enjoyable situation|When she was young, I often found my daughter Kendra in her room withdrawn into her own fantasy world.|
Farce|a ridiculous situation or event|Many argue that the government today is a mere farce of what it started out as.|
Farcical|bizarre or outlandish|Critics described the farcical play as an absurd piece of writing that could have only been created by an intoxicated playwright.|
Fare|the fee an individual is charged in order to be transported somewhere |The airline fare will set me back by eight hundred dollars.|
Farewell|goodbye to one who is departing|Tearful onlookers waved farewell to the departing soldiers heading to Afghanistan.|
Farfetched|unlikely; unbelievable|The idea that the losing team could come back and win was farfetched, but we held out hope.|
Farouche|wildly fierce while remaining unapproachable by others|The farouche canine growled and snarled as he backed away from those trying to capture it.|
Farrago|a collection containing a confused variety of miscellaneous things|The present gun law is a farrago of nonsense as most of it is unenforceable.|
Farther|referring to a larger physical distance|We have to walk farther than usual today because there was construction work on our usual route to school.|
Fascinate|to capture and hold someone’s attention or interest|The idea of a president that would strengthen the middle class seemed to fascinate those listening to the speech.|
Fascination|intense intrigue or interest in something|My fascination with the stars as a child led me to become an astronomer later in life, as I just love studying those stars and learning more about them.|
Fascism|a government that is ruled by a powerful dictator having control of everyone/everything|When the mayor discussed the possibility of a local curfew, the citizens immediately accused him of fascism.|
Fascist|related to a government system led by a dictator with complete power|The fascist regime has taken over the area and is ruling the city with an iron fist.|
Fashionable|popular; stylish|It took much persuading to convince my aunt that her bell-bottom jeans and platform shoes are no longer fashionable.|
Fast|moving at high speed or capable of high speed|People who love to go fast could experience no greater thrill than the supersonic flight of a fighter jet.|
Fasten|to make something secure or attached|Stuffing himself at the dinner table left the man unable to fasten his belt when he got up.|
Fastidious|concerned about accuracy and detail; hard to please|My mother was a fastidious woman who always had a complaint on her lips.|
Fatal|causes death or leads to a disaster|Dropping a fatal dose of poison into the goblet, the evil queen smiled down at her deathly elixir.|
Fatalist|one who maintains that all events have been predetermined, and that one cannot prevent things from happening|As a fatalist, the woman refused to believe that luck had anything to do with the events in her life.|
Fatality|death resulting from an accident or disaster|Fatality rates for motorcycle crashes is over 27 times that of automobiles.|
Fated|decided in advance; destined|Keith believes he is fated to have an alcohol addiction because his mother was an alcoholic.|
Fateful|important; momentous|Until the fateful meeting with Martin Luther King Jr., the activist never knew the impact of nonviolent protests.|
Fatherhood|the state of being a father to a child|Although he knew nothing about caring for children, the man threw himself into fatherhood.|
Fathom|to penetrate for understanding|Since I have always done my work, I cannot fathom why my boss just fired me.|
Fathomless|too great to be measured|The depths of the ocean seemed fathomless, reaching deeper than any man could measure.|
Fatigue|weariness brought on by exertion|During the fifteen-mile hike, one of the hikers collapsed from fatigue.|
Fatiguing|tiring; exhausting|We enjoyed the free cruise, but the mandatory seminar was fatiguing and took a lot of our time.|
Fatuity|pointless foolishness and stupidity|Even in his 40’s, the irresponsible man spent most of his salary on video games and other fatuity.|
Fatuous|lacking intelligence; stupid|Buying a car without negotiating down the price is a fatuous move.|
Faulty|defective and not functioning properly|Faulty wiring within the kitchen walls sent the house into flames.|
Fauna|wildlife of a specific area|The forest’s fauna are safeguarded by local wildlife life protection laws.|
Favor|preference for something more than its counterpart|Grandmother tended to favor boys over girls.|
Favorable|positive; showing approval|Favorable weather conditions brought both tourists and locals to the beach.|
Favoritism|showing partiality and preferential treatment|Showing favoritism between her children caused the mother’s oldest son to resent her.|
Fawn|to seek favor or approval by giving extra attention or praise|It was interesting to watch the greedy woman fawn over the wealthy old man.|
Fawning|giving attention in an overly flattering manner|Even the female reporters were smiling wildly and fawning over the handsome actor.|
Faze|unnerve; disturb|Negative comments aimed at the politician did not faze his nerves of steel.|
Fealty|an official acknowledgment of loyalty|When the president took his oath, he swore fealty to the nation.|
Fearful|experiencing a feeling of fear|Fearful of airplane rides, the terrified passenger braced herself for takeoff.|
Fearless|bold and unafraid|Fearless in the face of danger, Mala Yousafzai spoke up for the right of girls to be educated.|
Fearlessness|feeling no sense of fear|Priding themselves on fearlessness, neither of the brave warriors would retreat from battle.|
Fearmongering|the spreading of frightening rumors with the intention of causing fear or chaos|Fearmongering by the media caused the citizens to fear a nuclear war that wasn’t even looming.|
Fearsome|frightening or scary|Few creatures of the American forests are more fearsome than the Grizzly Bear, a hulking beast with massive teeth and claws.|
Feasible|to do without too much difficulty; possible|Driving with your eyes closed is not feasible.|
Feast|a large meal that is usually part of a celebration|Patrons brought in enormous platters food for a large feast in honor of St. Joseph.|
Feat|a deed of courage, endurance, skill, or cleverness|The man was honored when the king learned of his feat.|
Feather|a soft, thin outgrowth that covers the body of a bird|The bird’s soft feather detached from its wing and slowly floated down to the ground.|
Feature|a distinctive aspect of something|The most notable feature of his face was the piercing blue eyes that were as vivid as the sky itself and just as vast.|
Febrile|associated with a fever|The mother gave her febrile son acetaminophen to bring down his body temperature.|
Feckless|someone who is irresponsible or ineffective|Larry was such a feckless manager that the company was forced to declare bankruptcy.|
Fecund|intellectually productive or inventive|The computer programmer was a fecund person who could quickly identify and solve problems.|
Fed|supplied someone or something with food|As a volunteer, the days when she fed the homeless were most rewarding.|
Federal|relating to a state of government in which several states are united but are independent in internal affairs|The United States is an inherently federal government with many separate yet unified states working together.|
Federal|related to the central government|The federal court judge will rule on cases where crimes against the government were committed.|
Fight|to produce a positive outcome; defeat or achieve something|Jake arrived early at the community walk event to support the fight to stomp out homelessness.|
Figment|something that is believed to be real but only exists in imagination|My young daughter claims to have a unicorn as a best friend, but such a thing is clearly a figment of her imagination.|
Figurative|not accurate in meaning; as a form of speech|If you use figurative language, you are not speaking literally but rather in a manner meant to produce a reaction.|
Figuratively|not literally|Jim told the judge that when he spoke of chopping off Scott’s head, he meant it figuratively and not physically.|
Filch|to take illegally|The pickpocket was able to filch three wallets while on the subway.|
Filial|pertaining to a son or daughter|Frank has a filial affection for the uncle who raised him.|
Filibuster|a delaying tactic; a long speech given in order to delay progress or the making of a decision|The senator will filibuster to prevent a vote on the bill.|
Filigree|a delicate and intricate ornamentation made from twisted gold or silver wire|When the man went to purchase a gift for mother’s day, he chose a silver filigree necklace.|
Filler|a short article or ad in a newspaper or magazine|Reader’s Digest magazine uses unique jokes for a filler and will often pay their readers for the use of them.|
Filthy|extremely dirty|Because she never cleans her filthy home, the lazy housewife’s house is caked in dirt.|
Finagle|to acquire something by deception or scam|In order to finagle getting the candy from his father before dinner, the little boy explained to his dad that mom was serving dinner at a much later time.|
Finale|the grand end of something especially a show or piece of music |I was on the edge of my seat last night while watching the finale of my favorite television show.|
Finality|a final or unchangeable condition|I could not stop crying when I realized graduation was the finality of my high school life.|
Finance|to pay for something or provide monetary support for it|A politician that is truly interested in a particular cause will finance that cause with their own money.|
Financial|related to money matters|Because of financial problems, the struggling family can no longer waste money on things like going out to eat or to the movies.|
Finery|expensive objects or clothing|The evening dress designer’s finery is sold for several thousand dollars each in her high-end shop.|
Finesse|skillful handling of a situation|The chess champion played the game with a finesse that allowed him to easily beat all the other players.|
Fingerprint|the mark made on something from the tips of the fingers|After analyzing the fingerprint that was left at the crime scene, Detective Jones determined that it was left by the criminal when he put his naked hand on the table.|
Finicky|overly fussy and particular in regards to taste or standards|The finicky toddler refuses to eat anything other than chicken strips and French fries.|
Finish|complete something or task; a final end|On school days, Kathleen needs to finish her homework before playing outside.|
Finite|having limits|They had only a finite amount of gas, which is why they had to turn the generator off during the day.|
Firebrand|someone who is passionate about a social or political cause and tries to make people feel the same by stirring up emotions and instigating trouble|Because he was labeled a firebrand, the protester was not allowed to attend the rally.|
Firm|solid; refusing to bend|The firm steel-rod could not be broken except under intense pressure.|
Firmament|the body of the sky|According to many versions of religious scripture, God molded man from the firmament of the sky and placed him on Earth.|
Firsthand|obtained personally or directly (usually referring to information drawn from a source)|Survivors of the plane crash gave firsthand accounts to the news reporter once they were released from the hospital.|
Fiscal|associated with financial affairs|My daughter lacks a sense of fiscal duty and rarely pays her bills on time.|
Fission|splitting something into two or more parts|Nuclear fission is made by separating one atom or combining two different atoms.|
Fissure|a narrow opening or crack|The homeowners were dismayed to discover a fissure in the foundation of their home.|
Fisticuffs|a fight that involves using fists as weapons|While the two men were outside engaging in fisticuffs, the woman they were fighting over left the bar with another man.|
Fitful|unsteady; erratic |Jim was tired when he woke up after a fitful night of sleep.|
Fitness|a state of healthy physical condition|Fitness is an important part of your life, making sure your body stays healthy so you can live a longer and happier life.|
Fixture|an object or device permanently attached to the wall of a structure|Replacing the brass light fixture in the old house by installing a modern ceiling fan made the house look newer.|
Fizgig|a young woman who acts silly and flirty|The playful fizgig threw herself at any man at the bar who took notice of her.|
Fizzle|to finish something or die out slowly|Karen’s and John’s argument about money began to fizzle out when a bonus check just arrived in the mail.|
Fjord|a lengthy but thin body of water stretching through steep bluffs on either side|Sailing proved difficult for the expert boaters when they tried to cruise through the fjord without hitting the rocky sides.|
Flabbergasted|overwhelmed by amazement|As a single mother on a tight budget, I am flabbergasted by the huge cost of video games.|
Flaccid|short on force or strength|The flaccid wind did not stir the chimes on the front porch.|
Flagellate|to punish by severely whipping for a certain purpose|American citizens feared the courts would flagellate them for vandalizing cars in Singapore leaving strap marks on their backs.|
Flagellum|a long tail-like part of a cell that helps it move|Biologists analyzed the flagellum under a powerful microscope to determine if it provided assistance to a cell’s function.|
