Phew|to convey a sense of relief, fatigue, surprise, disgust when something hard is finished or no longer worried about something|“Phew, that was a close call and glad the car moved back into its proper lane before she hit us.”|
Pining|to yearn or long for something or someone|While her husband was deployed overseas, Melia was missing and pining for him until he came home.|
Pinion|wing of a bird|The crow’s injured pinion left it unable to fly properly.|
Pinnacle|the uppermost level achievable|At the pinnacle of her career, Gail was on the cover of every entertainment magazine.|
Pinpoint|to find precision and accuracy|Emergency workers are trained to pinpoint people trapped in collapsed buildings or forests.|
Pious|deeply religious|The students running around naked at Berkley Catholic University do not seem very pious.|
Pipe|a tube that is used to transport fluid|Since a water pipe burst, we had no running water until it was repaired the next day.|
Pipeline|a long pipe, usually underground, for transporting oil and gas|Installing the underground pipeline created hundreds of jobs in the community.|
Pippin|an apple|We made a fruit cobbler with my favorite dessert apple, the pippin.|
Piquancy|agreeably pungent to the taste|I was disappointed the Mexican restaurants salsa has no piquancy whatsoever and ask the waitress to remove this from the bill.|
Piquant|appealing or delightful|We were thrilled when we arrived at the piquant bed and breakfast on our honeymoon night.|
Piracy|the practice of hijacking, stealing, or reproducing the works and goods of another person|Piracy is a difficult crime to punish because it is often committed online.|
Pirate|the act of stealing or reproducing a copyrighted work for profit|Many people pirate games and music from the internet by downloading them illegally and free of charge.|
Pirogue|a pirogue is a long narrow canoe|They paddled across the river in the narrow pirogue.|
Pirouette|a ballet move that requires spinning on foot with the raised foot pressed against your knee|The pirouette is a famous spin move used in both ballet and figure skating.|
Piscine|anything about or related to fish|Fishing is a distinctly piscine activity.|
Pistil|the feminine parts of a flower, consisting of the stigma, ovary, and style that are responsible for producing seeds|Similar to humans, flower seeds are formed in the pistil of a female flower.|
Pit|a large hole in the ground|He fell into a pit that was over fifty feet deep.|
Pitch|the degree of highness or lowness used in a musical performance|The range of her pitch was high in some parts of the song and low in others.|
Pitcher|a large container with a handle and a spout used for holding liquid|Because mine is the best, Mom asked me to make a pitcher of sweet tea to serve our guests.|
Pitfall|potential problem, difficulty, or danger|The experienced programmer did not expect the pitfall that would occur when trying to install the new software.|
Pith|spongy tissue in animals and plants|The heart of a watermelon is the best part because he pith tastes the best.|
Pithy|using few words in a clever and effective way|A popular speaker, Janet was known for her pithy sayings.|
Pitiable|pitiful; pathetic|The business man’s unfortunate fall from grace to homelessness made him pitiable to most.|
Pitiable|deserving pity or sympathy|Even though Mary lost her job, I don’t find it to be pitiable because she has already found a better one.|
Pitied|to have feelings of sadness or sorrow for others|Even though he was a Union soldier, the private pitied the confederate homeowners who lost everything during the war.|
Pitiful|producing pity|As soon as Kate heard the stray cat’s pitiful cries, she took fresh water and food outside.|
Pitiless|ruthless, unmerciful, and without remorse|The judge was pitiless when sentencing the murderer to the death penalty.|
Pity|sorrow or sympathy| I feel pity for the homeless people who don’t have a warm place to sleep in the winter.|
Pivot|to turn or rotate on a fixed point|During the recital, the ballerinas pivot on their tiptoes simultaneously to the speed of the music.|
Pivotal|of crucial significance|The fighter planes gave pivotal assistance to the ground forces that were surrounded by the enemy.|
Pixelated|divided into pixels (a picture)|If you blow up the size of a picture without changing the resolution, it will become pixelated.|
Placate|to appease or pacify|I tried to placate the sad little boy by giving him a cookie.|
Place|to put something in a particular position|Trish asked her maid to place the new vase of flowers in the center of the desk.|
Placebo|a substance with no medical effect that is given either to patients or individuals involved in a drug trial|Because I was given a placebo during the drug test, my medical condition did not improve.|
Placement|a job, post or position to which someone is assigned|Happy with his new placement, the former janitor was delighted that he was promoted to a sales rep in just a year.|
Placid|not easily upset or excited|Even when the emergency room was packed with patients, the staff remained placid and calmly did their duties.|
Plagiarism|using another’s work without having permission or giving credit|The teacher accused Jerry of plagiarism because she knew he could never write such an exceptional paper.|
Plain|not luxurious or fancy; ordinary|After trying on many outfits for a dinner date, Holly finally decided to wear a plain black dress.|
Plaint|a legal complaint against someone made to the court|Once I submitted my complaint and was filed, the judge entered the plaint in the court record.|
Plaintiff|in court the individual who claims someone else is responsible for a misdeed|After the plaintiff fell on the grocery store’s wet floor, she filed a lawsuit hoping the damages would cover her medical bills.|
Plait|braid|The young woman ahead of me in line wore her hair with a plait running down her back and tied at the end.|
Planetary|relating to planets, or the orbital motion of planets|Mandy asked her teacher, “What are the odds of an asteroid or comet hitting the planet Earth and causing a planetary devastation?”|
Plangent|having a loud mournful sound|When Allie plays the violin she creates a tone that is melancholy and plangent, at times quite painfully beautiful.|
Plankton|small organisms that float in the ocean and serve as a food source for many marine animals|Jellyfish are a common type of plankton that can push themselves forward in the sea but can’t swim against current.|
Plantation|a large area where crops are grown|The slaves labored on the cotton plantation while their owner enjoyed a life of leisure.|
Plants|a group of living organisms that have leaves, stems, and roots which needs water and sun to live|My sister Belinda removed the dead leaves to expose a tiny shoot of a new plant.|
Plastic|generic term used in the case of polymeric material that can be shaped into different forms|Because glass can break so easily, the children eat off of flexible plastic plates.|
Plasticity|changeability|Because of the brain’s plasticity, a child who grew up in China can adapt to the English language once he or she has migrated to the U.S.|
Platform|a raised surface that supports standing people or things|The speaker stood up on a raised platform so that the crowd could see him.|
Platitude|something that has been said so often that it is not interesting anymore|Because I have heard your platitude a hundred times, it means nothing to me now.|
Platonic|describing a relationship without sexual intimacy|My partnership with Alice is strictly platonic because we are both happily married to other people.|
Platoon|a group of people working together towards a common goal|My friends and I formed a small platoon during our paintball match, working together to defeat the opposing team.|
Plaudit|a showing of approval or applause|As my daughter accepted her award, she blushed upon hearing the principal’s gracious plaudit.|
Plausible|something appearing reasonable or probable|When Jason forgot to do his homework, he tried to come up with a plausible excuse his teacher would believe.|
Play|to take part in an activity|All of the children wanted to play the game, but only a few could take part at one time.|
Play|act in a manner such as one has fun|“Can I go out and play, now that the clouds have gone away?”|
Playful|fond of play or fun|Our sons kindergarten teacher eases her students shyness by being playful and making everything seem like a fun game, even when lining up for lunch.|
Playwright|a person who writes plays|Shakespeare is quite possibly the most well known playwright in the world.|
Plea|an urgent or especially emotional request|The wounded soldier made a plea to his comrades to get him back home, but there was no need to beg as they would never leave him behind.|
Plead|to make a case for|The first time offender will plead for a short prison sentence.|
Pleasant|giving pleasure; pleasing in manner; nice|Because Laura is such a pleasant person to be around she is always making new friends.|
Pleasanter|more friendly or agreeable than something else|Mrs. Hart is the pleasanter of the two teachers, but Mrs. Clark is friendly as well.|
Pleasantries|polite remarks, usually made by people when they first meet to show they are friendly|As they passed through the streets, the women smiled and exchanged pleasantries with one another.|
Please|to make someone happy|It is impossible to please everyone, so I just focus on keeping myself happy.|
Pleasing|satisfying; giving pleasure|The mother’s pleasing voice lulled her baby into a gentle sleep.|
Pleasure|enjoyment; happiness|Most people enjoy watching television, but I draw pleasure from writing stories.|
Plebeian|not worthy of the upper classes; ordinary|There is no way the plebeian could afford the country club’s expensive dues.|
Plebiscite|an election in which individuals cast votes in favor of or against a major proposal or candidate|Do you think voters will come out for the presidential plebiscite this year?|
Pledge|a promise|I made a pledge that I would go on a date with him, so I can't back out now.|
Plenitude|abundance, plenty|Despite a plenitude of money, the oil tycoon lived very economically.|
Plenteous|plentiful; abundant|Saturday night’s huge pot of spaghetti was plenteous.|
Plenty|enough|There is plenty of smoked ham leftover from lunch, so there’s no need to cook any more meat.|
Pleonasm|to use more words than necessary|His book was mostly pleonasm because half of it was filled with unnecessary wording.|
Plethora|an excess of|I don't see why my mother wants more shoes when she already has a plethora of them.|
Pliable|easily bent or formed|Even though the hose seemed pliable, Henry wasn’t able to curve it around the corner of the house.|
Pliant|easily manipulated or controlled by people|When the slaves were not pliant, their owners would punish them.|
Plication|fold or crease|The dress had a small crease and plication in it, but it was soon smoothed out.|
Pliers|a hand tool used to hold objects firmly|The mechanic used pliers to loosen the bolt because it was too tight to use his hands.|
Plight|nan|Because he was homeless and penniless, Jason’s plight was a miserable one.|
Plinth|a block of stone or wood that is used as the base of a pillar or statue|Raising the pillar higher, the wood plinth helped sturdy the base significantly.|
Plodding|slow and heavy walking|Since Sam grew tired from running, he was seen plodding slowly toward the end of the race.|
Plop|a thud sound of something being dropped|The baseball fell out of the pitcher’s hand, and it made a plop and thump sound as it hit the ground.|
Plot|to plan secretly in order to carry out an illegal or harmful idea|The mob members had to plot behind their boss’s back so that he would not find out about their plans to kill him.|
Plough|a farm tool that breaks up earth and soil|We used a plough to till the soil before we planted cotton.|
Plow|a tool used to cut ground before planting|Using the plow to loosen the garden’s soil was much easier than tilling by hand.|
Pluck|to quickly remove something from its place|To shape them perfectly, Paula used her brand new tweezers to pluck excess hair from her eye brows.|
Plucky|brave and determined|The plucky preschooler stood up to the bully who was taking his friend’s lunch.|
Plug|an obstruction blocking something|He used a cork to plug the bottle.|
Plum| an oval-shaped reddish-purple colored fruit|When I ate a plum, the maroon colored skin stained my fingers.|
Plum|a purple fruit related to a peach that is fleshy and oval shaped|The little boy picked the pit out of the plum after biting into the sweet flesh of the juicy fruit.|
Plumage|extravagant dress|The vivid plumage on the ice skater’s costume received more attention than the athlete's routine.|
Plumb|to explore or delve into|Using the Internet, you can easily plumb your essay topic before writing the paper.|
Plumb|straight and vertical|When cutting her client’s hair into a bob, Missy made sure it was plumb all the way across.|
Plumber|a person who installs and repairs water supply and sanitation pipes|A plumber specializes in installing and maintaining systems used for water, sewage, and drainage.|
Plume|a cloud of smoke, dust, or vapor that spreads into the air|A plume of steam rose up from the place where the geyser bubbled.|
Plummet|to drop abruptly|When the housing bubble burst, many people saw their property values plummet.|
Plump|having a full, rounded shape|The farmer and his wife picked the plump looking chicken for their meal instead of the skinny one.|
Plunder| to take forcefully usually during a time of disorder|During the protest riots, angry citizens began to plunder goods from closed stores.|
Plunge|to fall|Off the diving board, Emily decided to plunge into the deep end of the pool for a quick swim.|
Plural|a category in grammar that refers to more than one|According to the grammar book, the plural of the word mouse is mice.|
Pluralism|where two or more sources of power exist|Pluralism is a system in which two or more states, groups, or principles coexist together.|
Pluralistic|related to a system in which multiple things coexist together|The solar system is pluralistic in nature, having multiple celestial bodies operating within it.|
Plurality|a great amount or number|When a plurality of people rushed into the store, the cashiers were overwhelmed.|
Plus|additional|The first graders are learning single digit addition like three plus five equals eight.|
Plush|anything that is soft, comfortable, or luxurious|Taking a seat in the hotel lobby’s plush armchair, the tired traveler knew it would be impossible to stay awake much longer.|
Plutocracy|a political system governed by the wealthy|Because it is not operated by the wealthiest people, our political system is not a plutocracy.|
Pluvial|relating to rainfall|The city, which was previously in a drought, is now more pluvial thanks to the constant rainfall.|
Ply|reinforced with fabric, yarn, or rope|Because of the shredding strings in our blanket, I could tell the ply would soon unravel.|
Plymouth|a town in Massachusetts founded by Pilgrims in the early 1600s|Plymouth is a town in Massachusetts, United States named after Plymouth, England.|
Pneumatic|applying air pressure to labor or move|I wear a pneumatic boot that uses air to cushion my injuries.|
Pneumonia|illness of the lungs|The woman’s diagnosis of pneumonia explained why she could not breathe easily.|
Poach|to cook by simmering in a small quantity of liquid|Mom chose to poach the egg in a small amount of water instead of frying it in bacon grease.|
Poaching|the illegal capturing or hunting of animals|Because of poaching, the hunted African Rhino is now at risk of being extinct from the earth.|
Pocket|a small pouch sewn in someone’s clothing|A few hours after the little boy put the candy bar in his pocket, a melted chocolate stain could be seen on the front of his pants.|
Pococurante|not feeling concerned|Due to her pococurante attitude toward the homeless, the woman simply walked by the starving children on the streets.|
Pod|a little cluster of animals|While touring the zoo, the children observed a pod of pelicans settled close to each other.|
Podiatrist|a foot doctor|The sandals model consulted a podiatrist to get the wart removed quickly before her next modeling job.|
Poet|a person who writes poems|Edgar Allen Poe gained notoriety from being a poet and short story writer using scary elements.|
Poetic|Related to or used in poetry (a rhythmic style of writing)|The song’s rhyming lyrics had a poetic style and feel to them.|
Poetic|relating to poetry|Taking poetry classes in college will open up the students mind to eventually write poetic songs, a passion for many.|
Poetry|a literary work that uses style and rhythm to express feelings|Dr. Seuss’s books are some of the best current examples of rhyming poetry.|
Poetry|the class of literature comprising poems|Darlene’s young daughter has a flair when it comes to writing poetry and maybe one day will write children books.|
Pogrom|massacre, mass murder|The holocaust was a mass pogrom of Jews and other minorities.|
Poignant|something that touches your emotions deeply|Because the poignant movie reminded me of my painful childhood, it made me cry.|
Point|a spiky and tight edge|Chef Henry used the point of a knife to tear a small hole in the plastic bag so that he could get inside it.|
Pointless|to have no reason for something|When the elderly couple was murdered, many people felt that the crime was pointless because the couple would help anyone.|
Poised|having self-confidence and self-assurance|Poised and confident, the valedictorian delivered a commencement speech that was just as entertaining as it was inspiring.|
Poison|a dangerous and deadly substance|Chocolate is a poison to dogs because it will cause them to get really sick and possibly die.|
Poisonous|pertaining to a dangerous and deadly substance|Every camper was warned to stay inside their cabins since a poisonous snake was seen crawling around nearby.|
Poke|to nudge sharply|When the man began to doze off during the minister’s Sunday sermon, his wife decided to poke him in the ribs to wake him up.|
Polar|pertaining to the top and bottom areas of the Earth|As the white polar bear foraged for food in the snowy woods, it was always difficult for any animal to survive at the North Pole.|
Polarity|the state of having two opposite or contradictory attributes, tendencies, opinions or ideas|The marked polarity of Jason and Kevin’s political positions makes it impossible for them to come to terms on any single issue.|
Polarization|the act of separating or making people split into two groups with opposite opinions or positions|Division and polarization of member’s beliefs occurred when the group discussed hot-topic issues.|
Polder|a piece of low lying land that was once covered by water, but has been reclaimed and protected from further submersion with dikes|A polder is a piece of land that used to be covered by water, but was converted back to land by human hands.|
Pole|a long round piece of wood, plastic or metal|Due to the strong winds today, a tree hit a power pole and knocked it down across the road.|
Polemic|a written or verbal attack on an individual or thing|The political candidate posted a polemic on his blog that mocked his rival’s lack of community service.|
Police|civil government forces tasked with detecting and preventing crime and maintaining public order|The police are often called on to investigate disturbances in residential neighborhoods.|
Policy|a rule or guideline|Our school policy states that students can only bring their lunch from home if they have a doctor’s excuse.|
Polio|an infectious viral disease that can cause paralysis by targeting the nervous system|Polio was once a dangerous rampant disease, but it has since been cured and is a significantly reduced threat.|
Polis|a city state in ancient Greece|Athens was the most famous polis in Greece and is known as the birthplace of democratic government.|
Polite|behavior that is respectful of other people|If you want people to like you, you should probably be polite to them.|
Politeness|behavior that takes other people’s thoughts and feelings into account and respects them|A person’s first impression of you is often dependent on your politeness.|
Political|relating to the government or public affairs|The head of the government in any country holds a political position regardless of how much power they wield or if they are the only ones in control.|
Political|government related|The political ads urged voters to cast their ballots for the Republican candidate.|
Politician|an individual with a professional career in politics|The President of the United States is a politician.|
Politics|activities and policies related to the governance or running of a country|Taking on a career in politics, the young man decided to follow his father’s presidential footsteps into the White House.|
Polity|a politically organized unit, something that has a government|Our school wanted to organize a polity run by the student body.|
Poll|a survey of people’s opinions or choices regarding a certain subject.|The United States uses a poll to determine which politicians their citizens vote for.|
Pollen|a typically yellow dust like substance emitted from male flowers that carries the gamete necessary to fertilize female seeds|You can often see the yellow tint of pollen floating through the air in spring.|
Pollination|pollen movement from one part of the flower to another part|In order for a plant or flower to produce seeds, pollination must occur between two flowers.|
Pollutant|something that infects or contaminates the air, the ground or bodies of water|Once the EPA realized that the factory was the main pollutant of the river’s water, they were heavily fined.|
Pollute|unclean or impure water, air or area|Factories are one of the known culprits that pollute the air through fossil fuel emissions.|
Pollution|substances that are harmful and toxic to the natural environment|Carcinogens are a form of pollution that harm Earth’s atmosphere.|
Pollyanna|a cheerful person who naively tries to find the good in everything|A naïve Pollyanna, Little Red Riding Hood skipped through the woods blissfully unaware of the danger.|
Pollyannaish|describes a cheerful person who naively tries to find the good in everything|Wishful thinking and Pollyannaish daydreaming left the trusting girl constantly disappointed.|
Poltergeist|an unseen ghost which makes noises and causes disruption, especially by causing physical objects to move or fly about|Fearing the poltergeist would keep her up all night with his howling and scary noises, the girl wore earplugs to bed.|
Poltroon|one who acts in a cowardly manner|The poltroon was the coward who sent an anonymous hate letter to the president.|
Polychromatic|having many colors|Using my array of chalks, I created a polychromatic artwork on the sidewalk for everyone to enjoy.|
Polygamy|a way of life in which a person, usually a male, has more than one significant other or spouse|Having more than one spouse is an act of polygamy.|
Polygon|a plane shape with at least three straight sides and angles|Stop signs are a polygon shape that always have eight sides.|
Polygraph|a device used to determine when someone is lying or telling the truth based on their body’s reactions|When the FBI agent wanted to know if his daughter’s new boyfriend had ever committed a crime, he hooked him up to the machine to conduct a polygraph analyzing the boy’s trembling answers.|
Polymath|a person who knows a lot about many different subjects|A history polymath, the professor, knows everything there is to know about world wars and dynasties.|
Polymer|a material comprised of tiny molecules which are connected together|The scientist will combine molecules to create a synthetic polymer.|
Polyp|a cluster of benign cells that forms a small bundle and extends from organs, tissues, etc., on living organisms|When the young singer found out she had polyps on her vocal cords, she knew she would have to get surgery and her hopes of going on tour were obliterated.|
Polyphonic|describes a sound that contains two or more voices or notes sounding at time|The polyphonic song was performed by two of the best voices in the world-renowned choir.|
Polysemy|the condition of a word or symbol having more than one meaning or connotation|Polysemy word patterns can be confusing since the words are spelled the same but have different meanings.|
Polysyllabic|describes a word that has more than one syllable|Polysyllabic words containing more than one syllable are usually more difficult for young readers to pronounce.|
Polythene|a type of plastic made into thin sheets or bags and used to keep food fresh or to keep things dry|Perforated polythene was used to create plastic coverings to keep runners dry during rainy races.|
Pommel|the rounded end on the hilt of a sword or dagger|If your sword breaks, you could always hit the enemy with the pommel of your sword.|
Pommel|the rounded knob on a horse's saddle that a rider grips with one hand|Holding on to the saddle’s pommel, the rider tried desperately to keep himself from falling off of the bucking horse.|
Pomp|magnificent display with impressive decorations, music, clothing, etc.|The prom committee focused on blowing everyone away with pomp.|
Pompadour|a hairstyle in which the hair is combed into a high mound or roll at the front of the head|The actor’s 1960’s ensemble wasn’t complete without a dirty white t-shirt, a pompadour hairstyle and a cigarette.|
Pomposity|arrogance; self-importance|Lacking the pomposity of the previous queen’s, her majesty was humble and not arrogant.|
Pompous|having or exhibiting self-importance|The millionaire was a pompous man who believed he should never wait in line for anything.|
Pond|a small body of water that is usually shallow|Every Sunday without fail, the boy and his father would go fishing in the pond located behind their house.|
Ponder|to think about something seriously|Because my father debates every decision, he will ponder before deciding if I can take part in my friend’s mixed gender sleepover.|
Ponderable|something that is important enough to be contemplated|Many news reporters were covering the ponderable news stories that the country’s citizens would deem vital to their lives.|
Ponderous|very boring or dull|The students grew silent when they realized they would have to sit through a ponderous three-hour lecture.|
Pontificate|to speak in an arrogant tone, particularly for a long period|If you dare to question the professor, he will give you an evil look and then proceed to pontificate on a totally different subject.|
Pool|a large container of water used for recreational or athletic purposes|The mansion had a kidney-shaped pool in the backyard as well as a hot tub in the fenced-in area.|
Poor|to be deprived of food, money or goods|Poor children could be seen on the streets of India begging tourists for anything they could get.|
Pop|to burst quickly with a little sound|When the man would pop the cork off the champagne bottle, everyone at the party looked over at him.|
Pope|The highest official in the Catholic Church|On Easter, the pope conducted several masses for the Catholic people in the area.|
Popinjay|a conceited person who focuses on their appearance|After looking in the mirror for an hour, the popinjay wanted everyone to admire her beauty just like she did.|
Poppet|a figure that symbolizes an individual and is used to cast spells on that particular person|The witch doctor constructed a poppet of her target and used it to make the person ill.|
Popular|to be liked or admired by many people|I can tell John is popular because everyone loves him.|
Popularity|having the admiration and acceptance of others|Over time the popularity of tattoos has become apparent due to the many pictures inked on people’s skin.|
Populate|to occupy or fill a place with people|The rabbits were able to populate the area very quickly by having kittens back to back.|
Population|the number of living beings in one area of any particular group or faction|The population of China is over one billion people.|
Populism|support for the rights and powers of ordinary people|Promoting populism meant that the candidate played on the naïve notions of the poor working class.|
Populous|highly populated|The populous city contained residents of every ethnicity.|
Porcelain|a hard rock-like clay that is fired and then sealed|When my young daughter reached for the porcelain doll off the store’s shelf, she accidentally broke it when it fell on the ground.|
Porcine|relating to or looking like pigs|The porcine children continued to fight over the leftover soup like a trough of slop.|
Pore|to scan or examine intently|After I was given the manuscript for my first title role in the play, I began to pore over the script for hours.|
Porous|easy to move through because of the presence of small gaps|Because the castle had porous security, the assassin found it quite simple to sneak inside and murder the king.|
