Column|a-pillar or post that stands upright and is shaped like a cylinder|Each column of the tall plantation home had lights wrapped around its cylindrical form.|
Conciliate|make calm and content; placate |Before mediating between the two parties, the judge attempted to conciliate the plaintiff to prevent unnecessary litigation.|
Conciliatory|To regain (friendship or goodwill) by pleasant behavior; to reconcile|The mediator made a conciliatory statement which helped the two parties find common ground.|
Concise|short; not lengthy|The concise exam was greatly appreciated by the exhausted students who had studied all night for the test.|
Conclave|a private meeting in which the discussions are kept secret|The conclave of politicians was held on a Friday, giving the attendees the weekend to mull over the sordid details of their discussions.|
Conclude|to come to a decision or judgment|The teacher will probably conclude I am not listening to her lecture because I have my eyes closed.|
Conclusion|the end, finish, or finale of an event|The conclusion of our meeting came at seven o’clock, an hour after we had started and a full thirty minutes longer than we had planned.|
Concoct|to make something using cleverness or ability|My mother is a talented chef who can concoct a gourmet meal out of sandwich meats.|
Concoction|something created from scratch|I could not wait for the bartender to finish my delicious concoction.|
Concomitant|happening at the same time as something else|Because the contractor and decorator agreed to concomitant work schedules in the final stages of construction, the house was ready to show well ahead of time.|
Concordance|agreement; accord|The newest scientific data was in concordance with the last test and also the one before that.|
Concourse|a large open space inside or in front of a public building where people can gather such as a train station or airport|Once travelers pass through the airport security screenings, they’re allowed to enter the concourse.|
Concrete|solid, real, or tangible, something physical that can be touched|While thought may not be tangible, the human brain is a very concrete thing that can be touched and felt.|
Concubine|a woman who lives with a man as a mistress but has a lower status than his wife/wives|Though he loved his concubine the most, the king decided long ago just to have one wife.|
Concupiscence|an intense desire, often describing a sexual craving|Jared shouldn't get married until he can rein in his concupiscence and control his sexual cravings.|
Concur|to agree with something|With no other facts on hand, I can only concur with your statement.|
Concurrence|when things are happening at the same time|During the sentencing, the judge ruled that the guilty party’s two sentences would run in concurrence and be served at the same time.|
Concurrent|occurring at the same point in time|Since my anniversary and my mother-in-law’s birthday are both on August 12, the two events are concurrent.|
Concussion|the result of a really hard hit to the head, causing a temperary loss of function|Falling onto the hiker’s head, the boulder caused a concussion.|
Condense|to decrease size or volume|John managed to condense his education and previous job skills to one page on his resume.|
Condescending|showing that you are more important than others|Rick said this condescending remark at work today: "I'm better than all of you!"|
Condign|fair, fitting, and deserved|The judge’s job was to make sure that the sentence was condign for each crime.|
Condiment|a sauce such as mustard or ketchup that adds flavor to food|Condiment packets were handed out to every person who wanted ketchup on their hotdog.|
Condition|a disorder or illness|Although she tried to hide her skin condition under make-up, the girl’s eczema caused her to be picked on in class.|
Condone|to accept and allow|We will not condone disorderly conduct at church.|
Conducive|to cause or produce something|The declining number of available positions are conducive for the highest unemployment rate in decades.|
Conduct|the way one acts or carries themselves|Because we are going to be visiting a nursing home, we hope all of you students will conduct yourselves in a kind and polite manner.|
Conduction|the process by which sound waves travel through another material|The conduction of sound through the air is what allows us to hear all of the noise around us, since we wouldn’t hear anything if the sound didn’t travel to our ears from its source.|
Conductive|associated with a material that carries heat or electricity|The conductive wiring may feel warm to the touch because of the electricity it’s carrying.|
Conductor|a person who is in charge of a group of performers or ticket collection on a train|During the performance, pay attention to the conductor to ensure you’re playing in tune with other orchestra members.|
Conduit|a means of getting something to another place or person|For many slaves, the underground railroad was a conduit of freedom.|
Confabulate|to chat or talk to someone in an informal way|Chatty Cathy will confabulate with anyone willing to hold a conversation with her.|
Confederacy|a group that has formed to participate in an activity or to work towards a common cause; term generally used in the United States to refer to the Southern states during the Civil War period |To unite against union forces, the Southern states formed a confederacy.|
Confer|to discuss|Since the doctors are unfamiliar with my symptoms, they will confer on a diagnosis.|
Conference|a formal meeting in which people gather to talk about specific ideas or problems|A conference was held last weekend to teach struggling writers how to improve their skills.|
Confess|to admit that you are at fault or have committed some wrongdoing|Many people go to a priest to confess the things that are wracking them with guilt, and by doing so alleviate themselves from that guilt.|
Confession|an admission of something one has done that was wrong or illegal|The kid’s killer confession shocked the small town who never thought him capable of such a crime.|
Confide|to share information in secret|I often confide my secrets to my best friend because I know she will not tell them to anyone.|
Confidence|a belief that you can trust something or someone fully|The wife’s confidence in her husband was shattered after she discovered his affair.|
Confidentiality|rules regarding the keeping of something secret or private|Even with confidentiality rules in place, company workers still shared private information.|
Confinement|being locked inside or forcibly kept inside somewhere and not allowed to leave|By consenting to confinement in an institution, the patient hoped that she would finally get the medical treatment she so desperately needed.|
Confines|boundaries or limits of a space|It did not take the dog long to escape the confines of the backyard.|
Confirm|verify truth or accuracy|Bank tellers tried to confirm the man’s deposit but showed no record of the transaction.|
Confirmation|confirmation is the action of confirming something|A confirmation code was sent by email verifying the online furniture purchase.|
Confirmed|describing someone who is firmly established in a set of ways or practice|The young man is a confirmed bachelor, having been single for almost three years now and not looking to marry anytime soon.|
Conflagration|conflict or war|It seems as though the conflagration in the Middle East has been going on for centuries.|
Conflate|to blend two or more things into one whole|Every time she gets a cold, Sandy seems to conflate it with some other illness.|
Conflicting|contradictory; inconsistent|Laughing while she cried, the woman had conflicting emotions about her daughter leaving for college.|
Conform|to fit in with standard practices or behaviors|Because of Janet’s low self-esteem, she tried to conform alongside the cool kids by imitating their fashion styles.|
Conformist|an individual who follows accepted practices|As someone who refuses to be a conformist, I go out of my way to take the path less frequently chosen.|
Confound|to mix up or confuse|If the nurse does not read the labels, she will confound the medications and possibly harm patients.|
Confrere|a fellow profession or fraternity member|The student quarreled with his confrere about who would be president of the fraternity.|
Confront|to face or stand up to|After arriving home to a broken window, the woman decided to confront the babysitter about what happened.|
Confrontation|the act of confronting or challenging another especially face to face|She had a heated confrontation with her parents over homework.|
Confucianism|an ancient philosophy of respect and kindness based on the teachings of Confucius|Confucianism promotes the idea that people should be both virtuous and honest.|
Confuse|to mix up; to puzzle; to bewilder|I always confuse my neighbor’s twin girls as they look and dress alike.|
Confusion|the state of uncertainty and not understanding what is going on|As a way to avoid confusion while traveling, Johnny made sure to write down clear directions.|
Confute|to prove something wrong|Certain that she could find evidence, the young lawyer set out to confute the witness’s story against her client.|
Congeal|to change from a liquid to solid state|They refrigerated the liquid gelatin so it would congeal before they ate it.|
Congenial|pleasant and enjoyable|Mark is a congenial host who always makes everyone feel welcome.|
Congenital|existing since birth|Due to a congenital heart condition that ran in their family, the parents were worried about their unborn child.|
Congeries|a jumbled collection of things|The woman’s spare room was littered with a congeries of boxes and bags.|
Congested|crowded and blocked|Moving through the congested city, the cars honked their horns loudly as pedestrians darted across the roadway.|
Congestion|accumulation; buildup|My doctor gave me antibiotics after my nasal congestion turn into a sinus infection.|
Conglomerate|a big corporation composed of several small firms that operate as a single business|The billionaire’s conglomerate includes restaurants, convenience stores, and a chain of hotels.|
Congregate|to gather as a unit or group|During the summer teenagers often congregate at the beach.|
Congressional|relating to congress|A congressional convention was held to discuss federal policies.|
Congruity|harmony or agreement|Having worked together for years, the congruity of the team made them a shoe-in for the state competition.|
Congruous|in agreement|Expecting her mother to be congruous with her plans to move out, the young woman was shocked when she disapproved|
Coniferous|a tree or bush bearing cones and green leaves that do not fall in the winter|Even though the tree was classified as coniferous, it had a peculiar color that was far from evergreen.|
Conjectural|based on thoughts and ideas not backed by evidence; hypothetical|The prosecutor knew the jury would have doubts about his conjectural theory of the crime.|
Conjecture|an opinion or idea formed without proof or sufficient evidence|The jury rejected the attorney’s conjecture about the defendant’s motive because of a lack of evidence.|
Conjoin|unite; combine|With only one set of handcuffs, the officer had to conjoin the two suspects.|
Conjointly|together|As the octopus began seize its prey, all eight tentacles worked conjointly to finish the job.|
Conjugal|of or relating to marriage, or the relationship of spouses|The inmate received weekly conjugal visits from his wife.|
Conjugate|to combine or fuse two things together, typically referring to words such as ‘can’t.’|In the English language, we conjugate many different words for convenience, such as ‘won’t’ for ‘will not.’|
Conjugation|the process of changing a verb’s form to show person, tense, number, etc|In this form of conjugation, the word ‘help’ changes to ‘helped’ to show the past tense.|
Conjunction|the act of joining two or more occasions together|In April a city in Georgia will sponsor a city clean- up to embrace a more environmentally-conscious perspective called Living Green in conjunction with Earth Day.|
Conjuncture|a combination of events that create a crisis|A conjuncture of highly unlikely weather events leads to a devastating spring snowstorm.|
Conjuration|a magic spell|The witch’s conjuration led to many demons being released on Halloween.|
Conjure|to bring into existence, sometimes by magic|The magician was able to conjure a rabbit out of his empty top hat.|
Conjured|summoned unexpectedly as if by magic |The woman conjured the evil spirits to get revenge upon the men who killed her daughter.|
Conjurer|a person who practices magic|The conjurer was able to turn the man into a monkey with a wave of her wand.|
Connate|inherit beliefs or ideas existing in a person since birth|The boy had a connate love for music since he was born.|
Connection|one that links things together|A connection from the computer to the wall allowed the secretary to access the internet.|
Conniption|a fit, fuss, or tantrum|My father had a conniption when he realized that I had not made all A’s for this semester of school.|
Connivance|the act of allowing an illegal action to take place|The clerk’s connivance allowed her to watch idly by as her supervisor stole thousands of dollars from the bank.|
Connive|to conspire or plan|The billionaire did not believe his greedy children would connive to murder him.|
Conniving|discreetly working to complete a dishonest task|Alan’s wife is a conniving woman who only married him for his money.|
Connoisseur|an expert on a particular subject|Because the psychologist talks to many individuals, she considers herself to be a connoisseur of people and their relationships.|
Connotation|suggested or implied meaning|Even though skinny technically means the same thing as slender, it has a connotation that is less favorable.|
Connote|to imply something in addition to what is apparent |To an atheist, the image of a cross does not connote anything other than a perpendicular design.|
Conquer|to overcome and take control of something|Members of the group decided to rebel after seeing that no one was listening to their ideas.|
Conqueror|a person who takes control of a place by force|Alexander the Great was a conqueror who dominated Greece, Egypt, and Persia.|
Conquest|victory gained through combat|The diner’s conquest was to eat the entire 64 ounce steak in one sitting.|
Consanguinity|a familial relationship or close connection|The results of the blood test showed there was no consanguinity between Ed and the man he had always referred to as his papa.|
Conscientious|working hard and careful to do things well|Carrie is a conscientious worker who completes every task.|
Conscious|aware|I became conscious of the crisis when the photographs of the terrorist attack were displayed on the news.|
Consciously|doing something deliberately, with awareness|While on a diet, the woman chose every meal consciously.|
Consciousness|cognition, awareness of the mind of its own existence in the world|The stream of consciousness is what allows us to continue to think, and constantly question our place in the world.|
Conscription|the system of forcing individuals to serve in the military|Because of John’s moral beliefs, he refuses to take part in the conscription that would require him to bear arms.|
Consecrate|to announce something is sacred or devoted to a specific purpose|After high school, the young men will consecrate their lives to the church and serve as missionaries for two years.|
Consensus|general agreement about something|When the judge learned the jury had not reached a consensus on the defendant’s guilt, he sent the group back into the room for further discussion.|
Consent|permission for something to happen|Fraud charges were filed after the woman used a friend’s credit card without her consent.|
Consequence|something that occurs as a result of an action|My daughter’s consequence for breaking curfew was a loss of her mobile phone privileges for two weeks.|
Consequent|happening as a result of something|Because it was last minute, our reservations were consequent on restaurant availability.|
Consequential|significant; important|The partial footprint was consequential in solving the case.|
Consequently|occurring as a result of an action|At the hotel, we take safety very seriously, and consequently, we have security officers on duty twenty-four hours a day.|
Conservation|the smart consumption of organic resources|Since we only have so much water on this planet, it is important we devise conservation methods now.|
Conservationist|a person who advocates for the preservation and protection of the environment|The conservationist wrote letters to the loggers urging them to stop cutting down the trees.|
Conservatism|a political philosophy that favors traditional values and a small government and opposes social change|Countless Republicans showed up to the forum where they discussed conservatism and the perks of small government.|
Conservatory|a school that focuses on music and other arts|The conservatory applicant’s style of music made her a shoe-in for admission.|
Considerable|of a decent size or to a great extent|After receiving a considerable number of calls each day, the district attorney’s office has decided to reopen the investigation.|
Considerate|concerned about the feelings and rights of other people|The considerate man held his umbrella over the elderly woman’s head.|
Consideration|careful thought or deliberation|You must take the price into consideration before buying a car from the dealership.|
Consign|to pass something to another individual so the item can be sold|To make extra money, some women in my neighborhood consign their used baby garments to a clothing store.|
Consignment|goods sent for sale|We purchased a vintage sofa on consignment.|
Consist|to be made up of or composed of|Many sandwiches consist of peanut butter and jelly, but you can also make them with ham or cheese and a number of other ingredients.|
Consistency|texture; feel|After jaw surgery, the consistency of the patient’s food could not be solid.|
Consistent|always acting or behaving in the same way; unchanging|He was consistent, always arriving at the diner at exactly 9:15 every morning.|
Consolation|comfort or reward given to someone who has lost something or someone |The court’s decision to award me two million dollars in damages was no consolation for the loss of my husband.|
Console|to provide a person with comfort when he or she is struggling emotionally|I tried to console my best friend when her husband died.|
Consolidate|to put together|To save money on airline fees, my husband and I will consolidate our clothes so they fit in one suitcase.|
Consolidation|the act of combining several actions into one|The consolidation of all our household debt into one loan was a wise choice.|
Consoling|comforting and calming|After the child began to cry due to being lost, an older woman was consoling him by telling him that everything would be fine.|
Consonance|harmony, compatibility or agreement|The consonance of the committee was clear when they voted to unanimously elect a new treasurer.|
Consort|a partner or associate with whom one shares something|My consort will finish the presentation for me.|
Consortium|a group of individuals, businesses, or associations that work in a coordinated effort|When the consortium of doctors from across the globe meet, its members will discuss the best way to contain the virus.|
Conspicuous|very easy to notice|It would be inappropriate for you to wear such a short conspicuous dress to your father’s funeral.|
Conspiracy|the act of at least two individuals working in a covert manner to complete a task|The group was arrested for conspiracy to kill a law enforcement officer.|
Conspirator|part of a group that agree to do an unlawful or unethical act|The evil conspirator watched with glee as his harmful plan unfolded.|
Conspiratorial|suggesting something private is being confided|At one time or another during the game, each team will form a conspiratorial huddle to discuss its game strategy.|
Conspire|to make covert plans to perform an illegal or bad deed|Some poor people believe politicians conspire to keep them in dire financial straits.|
Constant|nonstop; ceaseless; for a long duration|The Earth is in constant motion as it spins on its axis.|
Constellation|a collection of stars that form an identifiable pattern|People can use the figure shaped by a constellation to recognize specific stars.|
Consternation|a feeling of worry, shock, or fear - often happens when something unexpected happens|I sleep in consternation not knowing where my keys are.|
Constituency|voters that elect representatives based on area or interests|Most of the constituency in California voted for the democratic candidate.|
